utilization_gpu,memory_used,memory_total,time,
1 , 9961 ,11264 , 1.09,
0 , 9961 ,11264 , 2.14,
0 , 9961 ,11264 , 3.19,
0 , 9961 ,11264 , 4.23,
0 , 9961 ,11264 , 5.28,
0 , 9961 ,11264 , 6.33,
0 , 10155 ,11264 , 7.38,
3 , 10367 ,11264 , 8.45,
32 , 10367 ,11264 , 9.51,
5 , 10367 ,11264 , 10.57,
6 , 10367 ,11264 , 11.64,
7 , 10367 ,11264 , 12.71,
7 , 10367 ,11264 , 13.78,
7 , 10367 ,11264 , 14.84,
7 , 10367 ,11264 , 15.91,
6 , 10367 ,11264 , 16.98,
7 , 10367 ,11264 , 18.05,
7 , 10367 ,11264 , 19.12,
7 , 10367 ,11264 , 20.18,
7 , 10367 ,11264 , 21.26,
7 , 10367 ,11264 , 22.33,
7 , 10367 ,11264 , 23.38,
7 , 10367 ,11264 , 24.45,
7 , 10367 ,11264 , 25.52,
7 , 10367 ,11264 , 26.59,
7 , 10367 ,11264 , 27.66,
7 , 10367 ,11264 , 28.73,
7 , 10367 ,11264 , 29.8,
7 , 10367 ,11264 , 30.87,
7 , 10367 ,11264 , 31.94,
7 , 10367 ,11264 , 33.01,
7 , 10367 ,11264 , 34.09,
7 , 10367 ,11264 , 35.15,
7 , 10367 ,11264 , 36.22,
7 , 10367 ,11264 , 37.29,
7 , 10367 ,11264 , 38.36,
7 , 10367 ,11264 , 39.43,
7 , 10367 ,11264 , 40.5,
7 , 10367 ,11264 , 41.57,
7 , 10367 ,11264 , 42.64,
7 , 10367 ,11264 , 43.72,
7 , 10367 ,11264 , 44.79,
7 , 10367 ,11264 , 45.86,
7 , 10367 ,11264 , 46.95,
5 , 10367 ,11264 , 48.02,
6 , 10367 ,11264 , 49.1,
6 , 10367 ,11264 , 50.17,
6 , 10367 ,11264 , 51.24,
7 , 10367 ,11264 , 52.32,
7 , 10367 ,11264 , 53.39,
7 , 10367 ,11264 , 54.47,
7 , 10367 ,11264 , 55.54,
7 , 10367 ,11264 , 56.62,
7 , 10367 ,11264 , 57.69,
7 , 10367 ,11264 , 58.76,
7 , 10367 ,11264 , 59.84,
7 , 10367 ,11264 , 60.91,
7 , 10367 ,11264 , 61.99,
7 , 10367 ,11264 , 63.07,
