utilization_gpu,memory_used,memory_total,time,
1 , 9961 ,11264 , 1.1,
0 , 9961 ,11264 , 2.15,
1 , 10031 ,11264 , 3.2,
1 , 10127 ,11264 , 4.25,
0 , 10175 ,11264 , 5.31,
0 , 10211 ,11264 , 6.38,
1 , 10311 ,11264 , 7.44,
1 , 10359 ,11264 , 8.51,
57 , 10367 ,11264 , 9.57,
100 , 10367 ,11264 , 10.62,
98 , 10367 ,11264 , 11.68,
99 , 10367 ,11264 , 12.74,
100 , 10367 ,11264 , 13.8,
98 , 10367 ,11264 , 14.86,
71 , 10367 ,11264 , 15.92,
8 , 10367 ,11264 , 16.98,
8 , 10367 ,11264 , 18.05,
17 , 10367 ,11264 , 19.11,
17 , 10367 ,11264 , 20.17,
17 , 10367 ,11264 , 21.25,
0 , 10367 ,11264 , 22.31,
17 , 10367 ,11264 , 23.37,
16 , 10367 ,11264 , 24.43,
16 , 10367 ,11264 , 25.49,
1 , 10367 ,11264 , 26.57,
17 , 10367 ,11264 , 27.64,
60 , 10367 ,11264 , 28.7
