utilization_gpu,memory_used,memory_total,time,
0 , 47141 ,49140 , 1.09,
0 , 47141 ,49140 , 2.15,
0 , 47141 ,49140 , 3.2,
0 , 47141 ,49140 , 4.25,
5 , 47461 ,49140 , 5.34,
19 , 47703 ,49140 , 6.42,
5 , 47703 ,49140 , 7.49,
6 , 47703 ,49140 , 8.57,
5 , 47703 ,49140 , 9.65,
5 , 47703 ,49140 , 10.73,
3 , 47703 ,49140 , 11.8,
5 , 47703 ,49140 , 12.88,
7 , 47703 ,49140 , 13.96,
6 , 47703 ,49140 , 15.03,
5 , 47703 ,49140 , 16.11,
6 , 47703 ,49140 , 17.19,
5 , 47703 ,49140 , 18.26,
6 , 47703 ,49140 , 19.34,
6 , 47703 ,49140 , 20.42,
6 , 47703 ,49140 , 21.49,
5 , 47703 ,49140 , 22.57,
4 , 47703 ,49140 , 23.66,
6 , 47703 ,49140 , 24.74,
7 , 47703 ,49140 , 25.82,
5 , 47703 ,49140 , 26.9,
6 , 47703 ,49140 , 27.98,
5 , 47703 ,49140 , 29.08,
7 , 47703 ,49140 , 30.16,
4 , 47703 ,49140 , 31.24,
1 , 47703 ,49140 , 32.33,
6 , 47703 ,49140 , 33.43,
6 , 47703 ,49140 , 34.51,
6 , 47703 ,49140 , 35.59,
5 , 47703 ,49140 , 36.68,
6 , 47703 ,49140 , 37.76,
5 , 47703 ,49140 , 38.84,
6 , 47703 ,49140 , 39.92,
6 , 47703 ,49140 , 41.01,
6 , 47703 ,49140 , 42.09,
