utilization_gpu,memory_used,memory_total,time,
2 , 23163 ,24576 , 1.09,
0 , 23163 ,24576 , 2.13,
0 , 23163 ,24576 , 3.17,
0 , 23163 ,24576 , 4.21,
0 , 23163 ,24576 , 5.26,
0 , 23163 ,24576 , 6.32,
3 , 23447 ,24576 , 7.37,
31 , 23569 ,24576 , 8.43,
6 , 23569 ,24576 , 9.49,
6 , 23569 ,24576 , 10.55,
7 , 23569 ,24576 , 11.61,
7 , 23569 ,24576 , 12.67,
7 , 23569 ,24576 , 13.74,
7 , 23569 ,24576 , 14.8,
7 , 23569 ,24576 , 15.86,
6 , 23569 ,24576 , 16.92,
7 , 23569 ,24576 , 17.98,
7 , 23569 ,24576 , 19.04,
7 , 23569 ,24576 , 20.11,
7 , 23569 ,24576 , 21.18,
6 , 23569 ,24576 , 22.24,
7 , 23569 ,24576 , 23.31,
7 , 23569 ,24576 , 24.37,
7 , 23569 ,24576 , 25.43,
7 , 23569 ,24576 , 26.5,
7 , 23569 ,24576 , 27.56,
7 , 23569 ,24576 , 28.62,
7 , 23569 ,24576 , 29.68,
7 , 23569 ,24576 , 30.74,
7 , 23569 ,24576 , 31.8,
7 , 23569 ,24576 , 32.87,
7 , 23569 ,24576 , 33.93,
7 , 23569 ,24576 , 35.0,
7 , 23569 ,24576 , 36.08,
6 , 23569 ,24576 , 37.15,
7 , 23569 ,24576 , 38.21,
7 , 23569 ,24576 , 39.28,
7 , 23569 ,24576 , 40.35,
7 , 23569 ,24576 , 41.42,
7 , 23569 ,24576 , 42.49,
7 , 23569 ,24576 , 43.56,
7 , 23569 ,24576 , 44.63,
7 , 23569 ,24576 , 45.7,
7 , 23569 ,24576 , 46.77,
5 , 23569 ,24576 , 47.83,
6 , 23569 ,24576 , 48.9,
6 , 23569 ,24576 , 49.96,
7 , 23569 ,24576 , 51.03,
7 , 23569 ,24576 , 52.09,
7 , 23569 ,24576 , 53.16,
7 , 23569 ,24576 , 54.22,
7 , 23569 ,24576 , 55.29,
7 , 23569 ,24576 , 56.36,
7 , 23569 ,24576 , 57.43,
7 , 23569 ,24576 , 58.49,
7 , 23569 ,24576 , 59.56,
7 , 23569 ,24576 , 60.63,
7 , 23569 ,24576 , 61.69,
7 , 23569 ,24576 , 62.76,
