utilization_gpu,memory_used,memory_total,time,
1 , 23165 ,24576 , 1.1,
2 , 23289 ,24576 , 2.15,
1 , 23367 ,24576 , 3.21,
0 , 23385 ,24576 , 4.27,
1 , 23437 ,24576 , 5.33,
1 , 23543 ,24576 , 6.4,
1 , 23569 ,24576 , 7.46,
87 , 23569 ,24576 , 8.52,
97 , 23569 ,24576 , 9.58,
28 , 23569 ,24576 , 10.64,
10 , 23569 ,24576 , 11.71,
19 , 23569 ,24576 , 12.77,
12 , 23569 ,24576 , 13.83,
18 , 23569 ,24576 , 14.89,
19 , 23569 ,24576 , 15.95,
12 , 23569 ,24576 , 17.02,
19 , 23569 ,24576 , 18.08,
12 , 23569 ,24576 , 19.14,
18 , 23569 ,24576 , 20.2,
12 , 23569 ,24576 , 21.26,
19 , 23569 ,24576 , 22.33,
18 , 23569 ,24576 , 23.38,
12 , 23569 ,24576 , 24.44,
75 , 23569 ,24576 , 25.5,
