utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 9961 MiB, 11264 MiB,62.88 ,6.8,1.11,
0 , 9961 MiB, 11264 MiB,62.74 ,6.6,2.17,
0 , 9961 MiB, 11264 MiB,62.92 ,6.7,3.22,
0 , 9961 MiB, 11264 MiB,62.78 ,6.5,4.28,
0 , 9961 MiB, 11264 MiB,62.86 ,6.7,5.34,
0 , 9961 MiB, 11264 MiB,63.10 ,6.7,6.4,
0 , 9961 MiB, 11264 MiB,62.70 ,7.1,7.45,
0 , 9961 MiB, 11264 MiB,62.64 ,7.0,8.51,
0 , 9961 MiB, 11264 MiB,62.73 ,6.7,9.57,
1 , 10215 MiB, 11264 MiB,62.93 ,6.7,10.64,
3 , 10431 MiB, 11264 MiB,101.63 ,6.9,11.72,
37 , 10431 MiB, 11264 MiB,83.27 ,6.9,12.8,
11 , 10431 MiB, 11264 MiB,76.35 ,8.0,13.9,
9 , 10431 MiB, 11264 MiB,65.48 ,9.1,14.98,
9 , 10431 MiB, 11264 MiB,65.50 ,7.1,16.06,
9 , 10431 MiB, 11264 MiB,65.87 ,7.1,17.15,
9 , 10431 MiB, 11264 MiB,65.59 ,6.9,18.24,
9 , 10431 MiB, 11264 MiB,68.07 ,7.1,19.33,
9 , 10431 MiB, 11264 MiB,65.57 ,6.8,20.42,
9 , 10431 MiB, 11264 MiB,65.77 ,6.9,21.5,
9 , 10431 MiB, 11264 MiB,65.98 ,7.5,22.59,
9 , 10431 MiB, 11264 MiB,66.96 ,7.4,23.68,
9 , 10431 MiB, 11264 MiB,68.14 ,7.0,24.76,
8 , 10431 MiB, 11264 MiB,66.05 ,7.0,25.85,
8 , 10431 MiB, 11264 MiB,67.83 ,6.9,26.94,
9 , 10431 MiB, 11264 MiB,65.84 ,6.8,28.03,
8 , 10431 MiB, 11264 MiB,66.02 ,7.2,29.11,
8 , 10431 MiB, 11264 MiB,65.94 ,7.8,30.22,
8 , 10431 MiB, 11264 MiB,65.04 ,6.7,31.3,
9 , 10431 MiB, 11264 MiB,65.68 ,6.9,32.4,
9 , 10431 MiB, 11264 MiB,67.26 ,6.9,33.48,
9 , 10431 MiB, 11264 MiB,66.63 ,6.8,34.57,
9 , 10431 MiB, 11264 MiB,66.02 ,7.1,35.67,
9 , 10431 MiB, 11264 MiB,66.68 ,6.9,36.76,
8 , 10431 MiB, 11264 MiB,65.95 ,7.5,37.84,
9 , 10431 MiB, 11264 MiB,65.63 ,7.3,38.93,
8 , 10431 MiB, 11264 MiB,65.76 ,6.8,40.02,
9 , 10431 MiB, 11264 MiB,67.11 ,7.0,41.11,
9 , 10431 MiB, 11264 MiB,67.94 ,6.8,42.19,
9 , 10431 MiB, 11264 MiB,65.74 ,6.9,43.28,
9 , 10431 MiB, 11264 MiB,65.58 ,6.8,44.37,
