utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 11264 MiB,20.63 ,5.6,1.07,
0 , 3 MiB, 11264 MiB,20.42 ,2.7,2.11,
0 , 3 MiB, 11264 MiB,20.55 ,4.3,3.15,
0 , 3 MiB, 11264 MiB,20.50 ,4.4,4.19,
0 , 3 MiB, 11264 MiB,20.55 ,4.6,5.23,
0 , 3 MiB, 11264 MiB,20.62 ,5.3,6.27,
0 , 3 MiB, 11264 MiB,20.60 ,5.1,7.31,
0 , 3 MiB, 11264 MiB,20.68 ,5.3,8.35,
0 , 3 MiB, 11264 MiB,20.57 ,8.9,9.39,
0 , 3 MiB, 11264 MiB,20.55 ,8.0,10.43,
0 , 3 MiB, 11264 MiB,20.99 ,3.4,11.77,
0 , 3 MiB, 11264 MiB,20.31 ,10.5,12.81,
0 , 3 MiB, 11264 MiB,20.01 ,10.1,13.86,
0 , 3 MiB, 11264 MiB,19.62 ,10.1,14.91,
0 , 3 MiB, 11264 MiB,18.98 ,10.0,15.97,
0 , 3 MiB, 11264 MiB,19.45 ,9.8,17.0,
0 , 3 MiB, 11264 MiB,19.51 ,9.9,18.05,
0 , 3 MiB, 11264 MiB,19.71 ,10.2,19.1,
0 , 3 MiB, 11264 MiB,19.46 ,9.9,20.16,
0 , 3 MiB, 11264 MiB,19.66 ,10.6,21.2,
0 , 3 MiB, 11264 MiB,19.19 ,10.5,22.25,
0 , 3 MiB, 11264 MiB,19.60 ,10.2,23.31,
0 , 3 MiB, 11264 MiB,19.62 ,10.0,24.35,
0 , 3 MiB, 11264 MiB,19.78 ,9.8,25.4,
0 , 3 MiB, 11264 MiB,19.47 ,10.1,26.45,
0 , 3 MiB, 11264 MiB,19.75 ,11.3,27.5,
0 , 3 MiB, 11264 MiB,19.38 ,10.1,28.55,
0 , 3 MiB, 11264 MiB,19.55 ,9.9,29.61,
0 , 3 MiB, 11264 MiB,18.75 ,9.8,30.65,
0 , 3 MiB, 11264 MiB,19.06 ,10.0,31.69,
0 , 3 MiB, 11264 MiB,19.41 ,10.3,32.75,
0 , 3 MiB, 11264 MiB,19.24 ,10.1,33.8,
0 , 3 MiB, 11264 MiB,19.68 ,10.4,34.86,
0 , 3 MiB, 11264 MiB,19.16 ,10.2,35.91,
0 , 3 MiB, 11264 MiB,19.36 ,10.1,36.95,
0 , 3 MiB, 11264 MiB,19.02 ,10.8,38.01,
0 , 3 MiB, 11264 MiB,20.01 ,9.9,39.07,
0 , 3 MiB, 11264 MiB,19.20 ,10.3,40.12,
0 , 3 MiB, 11264 MiB,19.42 ,9.9,41.16,
0 , 3 MiB, 11264 MiB,18.84 ,10.7,42.22,
0 , 3 MiB, 11264 MiB,18.65 ,10.3,43.29,
0 , 3 MiB, 11264 MiB,18.78 ,9.4,44.34,
0 , 3 MiB, 11264 MiB,18.78 ,10.1,45.38,
0 , 3 MiB, 11264 MiB,19.08 ,10.1,46.43,
0 , 3 MiB, 11264 MiB,19.09 ,10.0,47.48,
0 , 3 MiB, 11264 MiB,19.23 ,10.0,48.52,
0 , 3 MiB, 11264 MiB,19.22 ,10.0,49.57,
0 , 3 MiB, 11264 MiB,19.62 ,10.1,50.62,
0 , 3 MiB, 11264 MiB,19.15 ,10.5,51.68,
0 , 3 MiB, 11264 MiB,18.90 ,10.7,52.75,
0 , 3 MiB, 11264 MiB,18.81 ,10.1,53.8,
0 , 3 MiB, 11264 MiB,19.01 ,10.0,54.84,
0 , 3 MiB, 11264 MiB,18.73 ,10.1,55.89,
0 , 3 MiB, 11264 MiB,18.70 ,10.9,56.95,
0 , 3 MiB, 11264 MiB,18.52 ,10.4,58.01,
0 , 3 MiB, 11264 MiB,18.20 ,10.1,59.06,
0 , 3 MiB, 11264 MiB,19.33 ,9.8,60.12,
0 , 3 MiB, 11264 MiB,19.32 ,10.1,61.16,
0 , 3 MiB, 11264 MiB,18.78 ,9.9,62.2,
0 , 3 MiB, 11264 MiB,18.92 ,10.2,63.26,
0 , 3 MiB, 11264 MiB,18.84 ,10.0,64.32,
0 , 3 MiB, 11264 MiB,19.46 ,10.2,65.37,
0 , 3 MiB, 11264 MiB,18.97 ,10.3,66.43,
0 , 3 MiB, 11264 MiB,19.13 ,10.1,67.48,
0 , 3 MiB, 11264 MiB,19.03 ,10.8,68.53,
0 , 3 MiB, 11264 MiB,18.88 ,10.0,69.59,
0 , 3 MiB, 11264 MiB,18.80 ,10.0,70.65,
0 , 3 MiB, 11264 MiB,19.04 ,10.9,71.69,
0 , 3 MiB, 11264 MiB,18.66 ,11.1,72.76,
0 , 3 MiB, 11264 MiB,19.25 ,10.1,73.82,
0 , 3 MiB, 11264 MiB,18.93 ,9.7,74.87,
0 , 3 MiB, 11264 MiB,19.53 ,10.2,75.93,
0 , 3 MiB, 11264 MiB,18.80 ,10.2,76.98,
0 , 3 MiB, 11264 MiB,18.25 ,10.1,78.05,
0 , 3 MiB, 11264 MiB,18.95 ,10.0,79.09,
0 , 3 MiB, 11264 MiB,19.32 ,10.1,80.13,
0 , 3 MiB, 11264 MiB,19.26 ,10.0,81.18,
0 , 3 MiB, 11264 MiB,19.36 ,10.8,82.24,
0 , 3 MiB, 11264 MiB,18.58 ,10.6,83.3,
0 , 3 MiB, 11264 MiB,19.56 ,9.8,84.36,
0 , 3 MiB, 11264 MiB,19.14 ,10.6,85.42,
0 , 3 MiB, 11264 MiB,19.27 ,10.1,86.46,
0 , 3 MiB, 11264 MiB,19.40 ,11.6,87.53,
0 , 3 MiB, 11264 MiB,18.87 ,10.2,88.59,
0 , 3 MiB, 11264 MiB,18.90 ,9.9,89.64,
0 , 3 MiB, 11264 MiB,19.31 ,10.0,90.69,
0 , 3 MiB, 11264 MiB,18.68 ,10.3,91.75,
0 , 3 MiB, 11264 MiB,19.64 ,10.5,92.81,
0 , 3 MiB, 11264 MiB,19.30 ,10.1,93.85,
0 , 3 MiB, 11264 MiB,19.24 ,10.2,94.9,
0 , 3 MiB, 11264 MiB,19.18 ,10.3,95.96,
0 , 3 MiB, 11264 MiB,18.66 ,10.5,97.01,
0 , 3 MiB, 11264 MiB,18.75 ,10.4,98.06,
0 , 3 MiB, 11264 MiB,18.94 ,10.0,99.11,
0 , 3 MiB, 11264 MiB,19.05 ,10.0,100.16,
0 , 3 MiB, 11264 MiB,19.63 ,10.3,101.22,
0 , 3 MiB, 11264 MiB,19.45 ,11.0,102.28,
0 , 3 MiB, 11264 MiB,18.98 ,10.1,103.34,
0 , 3 MiB, 11264 MiB,19.01 ,9.9,104.39,
0 , 3 MiB, 11264 MiB,19.66 ,10.2,105.44,
0 , 3 MiB, 11264 MiB,19.06 ,10.0,106.5,
0 , 3 MiB, 11264 MiB,18.76 ,10.3,107.57,
0 , 3 MiB, 11264 MiB,18.95 ,10.3,108.63,
0 , 3 MiB, 11264 MiB,18.92 ,9.9,109.68,
0 , 3 MiB, 11264 MiB,19.12 ,10.1,110.74,
0 , 3 MiB, 11264 MiB,19.19 ,10.2,111.8,
0 , 3 MiB, 11264 MiB,18.96 ,10.7,112.86,
0 , 3 MiB, 11264 MiB,18.94 ,10.5,113.93,
0 , 3 MiB, 11264 MiB,19.41 ,10.0,114.98,
0 , 3 MiB, 11264 MiB,19.24 ,10.3,116.03,
0 , 3 MiB, 11264 MiB,19.50 ,10.9,117.08,
0 , 3 MiB, 11264 MiB,19.05 ,10.2,118.13,
0 , 3 MiB, 11264 MiB,19.20 ,10.1,119.18,
0 , 3 MiB, 11264 MiB,19.47 ,10.1,120.24,
0 , 3 MiB, 11264 MiB,19.74 ,10.2,121.31,
0 , 3 MiB, 11264 MiB,18.87 ,10.1,122.37,
0 , 3 MiB, 11264 MiB,18.73 ,10.1,123.42,
0 , 3 MiB, 11264 MiB,18.80 ,10.2,124.48,
0 , 3 MiB, 11264 MiB,18.64 ,10.0,125.55,
0 , 3 MiB, 11264 MiB,18.83 ,10.1,126.62,
0 , 3 MiB, 11264 MiB,19.25 ,10.7,127.66,
0 , 3 MiB, 11264 MiB,18.90 ,9.5,128.71,
0 , 3 MiB, 11264 MiB,18.60 ,10.2,129.78,
0 , 3 MiB, 11264 MiB,19.25 ,9.7,130.84,
0 , 3 MiB, 11264 MiB,19.09 ,11.2,131.9,
0 , 3 MiB, 11264 MiB,19.35 ,10.4,132.98,
0 , 3 MiB, 11264 MiB,19.48 ,9.7,134.03,
0 , 3 MiB, 11264 MiB,19.11 ,10.1,135.09,
0 , 3 MiB, 11264 MiB,19.33 ,9.9,136.16,
0 , 3 MiB, 11264 MiB,19.19 ,9.8,137.23,
0 , 3 MiB, 11264 MiB,19.36 ,10.1,138.28,
0 , 3 MiB, 11264 MiB,19.24 ,10.1,139.34,
0 , 3 MiB, 11264 MiB,19.36 ,9.8,140.39,
0 , 3 MiB, 11264 MiB,19.64 ,10.2,141.45,
0 , 3 MiB, 11264 MiB,19.18 ,10.3,142.52,
0 , 3 MiB, 11264 MiB,19.57 ,10.5,143.59,
0 , 3 MiB, 11264 MiB,19.11 ,10.0,144.66,
0 , 3 MiB, 11264 MiB,19.72 ,10.0,145.72,
0 , 3 MiB, 11264 MiB,19.68 ,11.2,146.79,
0 , 3 MiB, 11264 MiB,18.87 ,10.3,147.84,
0 , 3 MiB, 11264 MiB,19.19 ,10.1,148.9,
0 , 3 MiB, 11264 MiB,19.29 ,10.3,149.97,
0 , 3 MiB, 11264 MiB,19.35 ,10.4,151.04,
0 , 3 MiB, 11264 MiB,19.27 ,9.9,152.1,
0 , 3 MiB, 11264 MiB,18.96 ,10.3,153.16,
0 , 3 MiB, 11264 MiB,19.01 ,10.2,154.23,
0 , 3 MiB, 11264 MiB,19.40 ,10.2,155.3,
0 , 3 MiB, 11264 MiB,19.00 ,9.9,156.36,
0 , 3 MiB, 11264 MiB,19.16 ,10.1,157.41,
0 , 3 MiB, 11264 MiB,19.26 ,10.6,158.46,
0 , 3 MiB, 11264 MiB,19.20 ,10.7,159.53,
0 , 3 MiB, 11264 MiB,18.89 ,10.2,160.6,
0 , 3 MiB, 11264 MiB,18.78 ,10.4,161.67,
0 , 3 MiB, 11264 MiB,18.83 ,11.1,162.74,
0 , 3 MiB, 11264 MiB,19.20 ,10.0,163.8,
0 , 3 MiB, 11264 MiB,19.31 ,10.1,164.87,
0 , 3 MiB, 11264 MiB,19.12 ,10.3,165.94,
0 , 3 MiB, 11264 MiB,19.11 ,10.2,166.99,
0 , 3 MiB, 11264 MiB,19.33 ,10.2,168.06,
0 , 3 MiB, 11264 MiB,19.44 ,10.4,169.13,
0 , 3 MiB, 11264 MiB,19.43 ,10.2,170.2,
0 , 3 MiB, 11264 MiB,18.81 ,10.0,171.27,
0 , 3 MiB, 11264 MiB,19.40 ,10.0,172.32,
0 , 3 MiB, 11264 MiB,19.14 ,10.9,173.39,
0 , 3 MiB, 11264 MiB,19.68 ,10.3,174.47,
0 , 3 MiB, 11264 MiB,19.31 ,9.8,175.52,
0 , 3 MiB, 11264 MiB,19.14 ,10.0,176.58,
0 , 3 MiB, 11264 MiB,19.13 ,10.9,177.64,
0 , 3 MiB, 11264 MiB,19.68 ,10.3,178.71,
0 , 3 MiB, 11264 MiB,19.56 ,10.0,179.78,
0 , 3 MiB, 11264 MiB,19.03 ,10.1,180.83,
0 , 3 MiB, 11264 MiB,19.12 ,9.9,181.88,
0 , 3 MiB, 11264 MiB,19.40 ,10.1,182.95,
0 , 3 MiB, 11264 MiB,19.31 ,10.4,184.02,
0 , 3 MiB, 11264 MiB,18.82 ,10.1,185.09,
0 , 3 MiB, 11264 MiB,19.25 ,10.1,186.14,
0 , 3 MiB, 11264 MiB,19.50 ,10.2,187.2,
0 , 3 MiB, 11264 MiB,19.18 ,10.7,188.27,
0 , 3 MiB, 11264 MiB,20.22 ,10.0,189.35,
0 , 3 MiB, 11264 MiB,20.02 ,9.4,190.4,
0 , 3 MiB, 11264 MiB,20.17 ,11.4,191.48,
0 , 3 MiB, 11264 MiB,20.64 ,10.0,192.56,
0 , 3 MiB, 11264 MiB,20.23 ,6.4,193.64,
0 , 3 MiB, 11264 MiB,20.34 ,6.0,194.7,
0 , 3 MiB, 11264 MiB,20.13 ,6.3,195.75,
0 , 3 MiB, 11264 MiB,20.24 ,5.8,196.8,
0 , 3 MiB, 11264 MiB,20.12 ,6.2,197.88,
0 , 3 MiB, 11264 MiB,20.07 ,8.9,198.95,
0 , 3 MiB, 11264 MiB,20.15 ,6.1,200.0,
0 , 3 MiB, 11264 MiB,20.07 ,7.8,201.08,
0 , 3 MiB, 11264 MiB,20.07 ,8.2,202.16,
0 , 3 MiB, 11264 MiB,20.35 ,9.0,203.24,
0 , 3 MiB, 11264 MiB,20.09 ,8.7,204.3,
0 , 3 MiB, 11264 MiB,20.39 ,8.6,205.36,
0 , 3 MiB, 11264 MiB,20.58 ,9.1,206.43,
