utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 11264 MiB,19.16 ,6.6,1.07,
0 , 3 MiB, 11264 MiB,18.89 ,6.3,2.11,
0 , 3 MiB, 11264 MiB,19.83 ,6.5,3.14,
0 , 3 MiB, 11264 MiB,18.77 ,6.4,4.17,
0 , 3 MiB, 11264 MiB,18.96 ,6.6,5.21,
0 , 3 MiB, 11264 MiB,19.14 ,6.5,6.25,
0 , 3 MiB, 11264 MiB,19.16 ,6.4,7.28,
0 , 3 MiB, 11264 MiB,19.25 ,6.6,8.32,
0 , 3 MiB, 11264 MiB,19.51 ,6.5,9.36,
0 , 3 MiB, 11264 MiB,19.03 ,6.6,10.4,
0 , 3 MiB, 11264 MiB,19.33 ,6.8,11.43,
0 , 3 MiB, 11264 MiB,19.55 ,6.8,12.47,
0 , 3 MiB, 11264 MiB,19.10 ,7.5,13.5,
0 , 3 MiB, 11264 MiB,19.55 ,7.4,14.54,
0 , 3 MiB, 11264 MiB,19.20 ,7.6,15.58,
0 , 3 MiB, 11264 MiB,19.04 ,6.8,16.62,
0 , 3 MiB, 11264 MiB,19.47 ,6.6,17.65,
0 , 3 MiB, 11264 MiB,18.80 ,6.7,18.69,
0 , 3 MiB, 11264 MiB,19.06 ,6.8,19.73,
0 , 3 MiB, 11264 MiB,19.37 ,6.7,20.76,
0 , 3 MiB, 11264 MiB,19.11 ,6.6,21.8,
0 , 3 MiB, 11264 MiB,18.66 ,6.6,22.83,
0 , 3 MiB, 11264 MiB,18.58 ,6.7,23.87,
0 , 3 MiB, 11264 MiB,18.63 ,6.6,24.91,
0 , 3 MiB, 11264 MiB,19.25 ,6.6,25.94,
0 , 3 MiB, 11264 MiB,18.83 ,6.7,26.98,
0 , 3 MiB, 11264 MiB,18.77 ,6.7,28.01,
0 , 3 MiB, 11264 MiB,19.93 ,7.3,29.05,
0 , 3 MiB, 11264 MiB,19.39 ,7.3,30.09,
0 , 3 MiB, 11264 MiB,19.11 ,7.1,31.12,
0 , 3 MiB, 11264 MiB,19.44 ,6.6,32.16,
0 , 3 MiB, 11264 MiB,19.10 ,6.7,33.19,
0 , 3 MiB, 11264 MiB,19.53 ,6.6,34.23,
0 , 3 MiB, 11264 MiB,18.86 ,6.7,35.26,
0 , 3 MiB, 11264 MiB,19.11 ,6.6,36.3,
0 , 3 MiB, 11264 MiB,18.53 ,6.6,37.34,
0 , 3 MiB, 11264 MiB,18.58 ,6.8,38.37,
0 , 3 MiB, 11264 MiB,19.05 ,6.7,39.41,
0 , 3 MiB, 11264 MiB,18.82 ,6.7,40.45,
0 , 3 MiB, 11264 MiB,18.76 ,6.9,41.48,
0 , 3 MiB, 11264 MiB,18.92 ,6.7,42.52,
0 , 3 MiB, 11264 MiB,18.64 ,6.7,43.56,
0 , 3 MiB, 11264 MiB,18.45 ,7.4,44.59,
0 , 3 MiB, 11264 MiB,18.94 ,7.5,45.63,
0 , 3 MiB, 11264 MiB,20.03 ,5.5,46.67,
0 , 3 MiB, 11264 MiB,19.91 ,7.5,47.7,
0 , 3 MiB, 11264 MiB,20.05 ,4.9,48.74,
0 , 3 MiB, 11264 MiB,19.88 ,2.9,49.77,
0 , 3 MiB, 11264 MiB,19.98 ,2.9,50.81,
0 , 3 MiB, 11264 MiB,19.90 ,2.9,51.85,
0 , 3 MiB, 11264 MiB,20.30 ,2.7,52.88,
0 , 3 MiB, 11264 MiB,20.12 ,4.4,53.92,
0 , 3 MiB, 11264 MiB,20.07 ,4.0,54.96,
0 , 3 MiB, 11264 MiB,19.46 ,3.4,56.0,
0 , 3 MiB, 11264 MiB,19.85 ,4.4,57.03,
0 , 3 MiB, 11264 MiB,20.09 ,4.6,58.07,
0 , 3 MiB, 11264 MiB,20.04 ,5.9,59.1,
0 , 3 MiB, 11264 MiB,19.69 ,5.1,60.14,
0 , 3 MiB, 11264 MiB,19.34 ,5.9,61.18,
0 , 3 MiB, 11264 MiB,19.56 ,5.3,62.21,
0 , 3 MiB, 11264 MiB,19.95 ,9.3,63.25,
0 , 3 MiB, 11264 MiB,20.34 ,8.3,64.29,
0 , 3 MiB, 11264 MiB,19.74 ,3.4,65.32,
0 , 3 MiB, 11264 MiB,18.85 ,5.0,66.48,
0 , 3 MiB, 11264 MiB,18.64 ,6.4,67.52,
0 , 3 MiB, 11264 MiB,18.92 ,6.7,68.55,
0 , 3 MiB, 11264 MiB,18.81 ,6.6,69.59,
0 , 3 MiB, 11264 MiB,18.53 ,6.5,70.63,
0 , 3 MiB, 11264 MiB,18.70 ,6.6,71.66,
0 , 3 MiB, 11264 MiB,18.81 ,6.6,72.7,
0 , 3 MiB, 11264 MiB,19.04 ,8.0,73.73,
0 , 3 MiB, 11264 MiB,18.81 ,6.7,74.77,
0 , 3 MiB, 11264 MiB,18.67 ,7.3,75.81,
0 , 3 MiB, 11264 MiB,18.73 ,6.6,76.84,
0 , 3 MiB, 11264 MiB,19.39 ,6.5,77.88,
0 , 3 MiB, 11264 MiB,19.02 ,6.5,78.92,
0 , 3 MiB, 11264 MiB,18.79 ,6.5,79.95,
0 , 3 MiB, 11264 MiB,18.61 ,6.6,80.99,
0 , 3 MiB, 11264 MiB,18.40 ,6.7,82.03,
0 , 3 MiB, 11264 MiB,19.06 ,6.5,83.06,
0 , 3 MiB, 11264 MiB,18.67 ,6.5,84.1,
0 , 3 MiB, 11264 MiB,18.91 ,6.6,85.13,
0 , 3 MiB, 11264 MiB,18.83 ,6.7,86.17,
0 , 3 MiB, 11264 MiB,19.17 ,6.6,87.2,
0 , 3 MiB, 11264 MiB,19.47 ,6.5,88.24,
0 , 3 MiB, 11264 MiB,18.75 ,7.4,89.27,
0 , 3 MiB, 11264 MiB,19.45 ,6.7,90.31,
0 , 3 MiB, 11264 MiB,19.22 ,7.5,91.34,
0 , 3 MiB, 11264 MiB,19.41 ,6.5,92.38,
0 , 3 MiB, 11264 MiB,19.04 ,6.6,93.42,
0 , 3 MiB, 11264 MiB,18.75 ,6.6,94.45,
0 , 3 MiB, 11264 MiB,18.97 ,6.6,95.49,
0 , 3 MiB, 11264 MiB,19.26 ,6.7,96.53,
0 , 3 MiB, 11264 MiB,18.84 ,7.2,97.56,
0 , 3 MiB, 11264 MiB,18.23 ,6.7,98.6,
0 , 3 MiB, 11264 MiB,19.12 ,6.6,99.64,
0 , 3 MiB, 11264 MiB,18.30 ,6.5,100.67,
0 , 3 MiB, 11264 MiB,18.68 ,6.7,101.71,
0 , 3 MiB, 11264 MiB,18.27 ,6.6,102.75,
0 , 3 MiB, 11264 MiB,18.53 ,8.6,103.78,
0 , 3 MiB, 11264 MiB,18.76 ,12.4,104.82,
0 , 3 MiB, 11264 MiB,18.75 ,6.9,105.85,
0 , 3 MiB, 11264 MiB,18.25 ,7.6,106.89,
0 , 3 MiB, 11264 MiB,18.60 ,6.8,107.92,
0 , 3 MiB, 11264 MiB,18.99 ,6.7,108.96,
0 , 3 MiB, 11264 MiB,19.25 ,6.5,109.99,
0 , 3 MiB, 11264 MiB,18.70 ,6.6,111.03,
0 , 3 MiB, 11264 MiB,19.14 ,6.7,112.07,
0 , 3 MiB, 11264 MiB,18.64 ,6.6,113.1,
0 , 3 MiB, 11264 MiB,18.50 ,6.8,114.14,
0 , 3 MiB, 11264 MiB,18.74 ,6.6,115.17,
0 , 3 MiB, 11264 MiB,18.80 ,6.8,116.21,
0 , 3 MiB, 11264 MiB,19.29 ,6.7,117.25,
0 , 3 MiB, 11264 MiB,19.27 ,6.7,118.28,
0 , 3 MiB, 11264 MiB,19.57 ,9.0,119.32,
0 , 3 MiB, 11264 MiB,19.32 ,6.7,120.35,
0 , 3 MiB, 11264 MiB,19.49 ,7.6,121.39,
0 , 3 MiB, 11264 MiB,19.44 ,6.6,122.42,
0 , 3 MiB, 11264 MiB,18.88 ,6.8,123.46,
0 , 3 MiB, 11264 MiB,19.30 ,6.7,124.49,
0 , 3 MiB, 11264 MiB,18.79 ,6.5,125.53,
0 , 3 MiB, 11264 MiB,19.45 ,6.7,126.56,
0 , 3 MiB, 11264 MiB,18.93 ,6.7,127.6,
0 , 3 MiB, 11264 MiB,19.27 ,6.7,128.64,
0 , 3 MiB, 11264 MiB,18.62 ,6.6,129.67,
0 , 3 MiB, 11264 MiB,19.00 ,6.7,130.71,
0 , 3 MiB, 11264 MiB,18.32 ,6.6,131.75,
0 , 3 MiB, 11264 MiB,18.66 ,6.6,132.78,
0 , 3 MiB, 11264 MiB,18.91 ,8.2,133.82,
0 , 3 MiB, 11264 MiB,18.96 ,6.7,134.86,
