utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
2 , 9961 MiB, 11264 MiB,63.30 ,6.6,1.11,
0 , 9961 MiB, 11264 MiB,63.18 ,6.8,2.16,
0 , 9961 MiB, 11264 MiB,63.23 ,6.6,3.21,
0 , 9961 MiB, 11264 MiB,63.35 ,6.7,4.27,
0 , 9961 MiB, 11264 MiB,63.45 ,6.8,5.32,
0 , 9961 MiB, 11264 MiB,63.30 ,6.8,6.38,
0 , 9961 MiB, 11264 MiB,63.19 ,6.6,7.43,
0 , 9961 MiB, 11264 MiB,63.30 ,6.7,8.49,
1 , 10115 MiB, 11264 MiB,63.31 ,7.9,9.55,
3 , 10423 MiB, 11264 MiB,63.14 ,6.9,10.62,
20 , 10431 MiB, 11264 MiB,79.54 ,6.8,11.7,
2 , 10431 MiB, 11264 MiB,78.93 ,7.3,12.78,
2 , 10431 MiB, 11264 MiB,63.79 ,7.3,13.86,
2 , 10431 MiB, 11264 MiB,64.04 ,6.9,14.94,
3 , 10431 MiB, 11264 MiB,64.18 ,6.8,16.02,
2 , 10431 MiB, 11264 MiB,64.29 ,6.9,17.1,
3 , 10431 MiB, 11264 MiB,64.17 ,6.9,18.18,
2 , 10431 MiB, 11264 MiB,64.21 ,6.9,19.26,
3 , 10431 MiB, 11264 MiB,63.83 ,6.8,20.34,
3 , 10431 MiB, 11264 MiB,63.71 ,6.8,21.42,
3 , 10431 MiB, 11264 MiB,63.89 ,7.1,22.5,
2 , 10431 MiB, 11264 MiB,64.26 ,6.9,23.59,
2 , 10431 MiB, 11264 MiB,63.97 ,8.2,24.68,
2 , 10431 MiB, 11264 MiB,64.29 ,7.0,25.76,
2 , 10431 MiB, 11264 MiB,64.27 ,7.1,26.86,
2 , 10431 MiB, 11264 MiB,64.35 ,6.8,27.94,
3 , 10431 MiB, 11264 MiB,64.23 ,7.1,29.02,
2 , 10431 MiB, 11264 MiB,64.45 ,6.2,30.1,
2 , 10431 MiB, 11264 MiB,64.52 ,3.7,31.19,
3 , 10431 MiB, 11264 MiB,64.47 ,2.8,32.28,
2 , 10431 MiB, 11264 MiB,64.28 ,3.0,33.37,
3 , 10431 MiB, 11264 MiB,64.23 ,3.3,34.45,
2 , 10431 MiB, 11264 MiB,64.29 ,2.8,35.53,
3 , 10431 MiB, 11264 MiB,64.99 ,2.9,36.61,
2 , 10431 MiB, 11264 MiB,64.44 ,6.0,37.7,
2 , 10431 MiB, 11264 MiB,64.22 ,4.8,38.78,
2 , 10431 MiB, 11264 MiB,64.11 ,6.3,39.88,
2 , 10431 MiB, 11264 MiB,64.36 ,4.7,40.96,
2 , 10431 MiB, 11264 MiB,64.17 ,4.9,42.05,
2 , 10431 MiB, 11264 MiB,64.35 ,5.6,43.14,
2 , 10431 MiB, 11264 MiB,64.71 ,5.8,44.23,
3 , 10431 MiB, 11264 MiB,64.47 ,5.9,45.32,
2 , 10431 MiB, 11264 MiB,64.33 ,9.6,46.4,
3 , 10431 MiB, 11264 MiB,64.29 ,7.8,47.54,
0 , 10431 MiB, 11264 MiB,63.86 ,1.4,48.8,
2 , 10431 MiB, 11264 MiB,63.91 ,6.7,49.89,
2 , 10431 MiB, 11264 MiB,64.16 ,6.8,50.98,
2 , 10431 MiB, 11264 MiB,63.81 ,6.7,52.07,
3 , 10431 MiB, 11264 MiB,64.38 ,6.8,53.15,
3 , 10431 MiB, 11264 MiB,64.01 ,7.4,54.24,
2 , 10431 MiB, 11264 MiB,63.80 ,6.7,55.32,
2 , 10431 MiB, 11264 MiB,63.79 ,6.7,56.41,
3 , 10431 MiB, 11264 MiB,63.81 ,6.8,57.49,
3 , 10431 MiB, 11264 MiB,64.08 ,7.6,58.58,
2 , 10431 MiB, 11264 MiB,64.58 ,6.8,59.67,
2 , 10431 MiB, 11264 MiB,64.65 ,6.8,60.76,
2 , 10431 MiB, 11264 MiB,64.16 ,6.8,61.85,
2 , 10431 MiB, 11264 MiB,64.13 ,6.7,62.93,
2 , 10431 MiB, 11264 MiB,64.19 ,6.8,64.03,
2 , 10431 MiB, 11264 MiB,64.23 ,6.8,65.12,
2 , 10431 MiB, 11264 MiB,64.88 ,6.8,66.2,
3 , 10431 MiB, 11264 MiB,64.20 ,7.1,67.29,
2 , 10431 MiB, 11264 MiB,64.91 ,6.8,68.37,
2 , 10431 MiB, 11264 MiB,64.09 ,8.0,69.46,
3 , 10431 MiB, 11264 MiB,63.96 ,6.8,70.55,
2 , 10431 MiB, 11264 MiB,64.09 ,6.7,71.64,
2 , 10431 MiB, 11264 MiB,64.02 ,6.7,72.74,
2 , 10431 MiB, 11264 MiB,64.60 ,7.5,73.83,
2 , 10431 MiB, 11264 MiB,64.24 ,6.9,74.92,
2 , 10431 MiB, 11264 MiB,64.40 ,7.0,76.0,
3 , 10431 MiB, 11264 MiB,63.95 ,6.6,77.09,
2 , 10431 MiB, 11264 MiB,64.26 ,6.9,78.18,
2 , 10431 MiB, 11264 MiB,64.21 ,6.9,79.28,
2 , 10431 MiB, 11264 MiB,63.73 ,6.9,80.37,
2 , 10431 MiB, 11264 MiB,64.43 ,6.8,81.45,
2 , 10431 MiB, 11264 MiB,64.77 ,6.9,82.54,
3 , 10431 MiB, 11264 MiB,63.96 ,6.9,83.63,
2 , 10431 MiB, 11264 MiB,64.08 ,7.5,84.73,
2 , 10431 MiB, 11264 MiB,63.86 ,6.9,85.83,
2 , 10431 MiB, 11264 MiB,63.97 ,6.8,86.92,
2 , 10431 MiB, 11264 MiB,64.09 ,7.0,88.01,
2 , 10431 MiB, 11264 MiB,64.08 ,7.7,89.1,
2 , 10431 MiB, 11264 MiB,63.43 ,7.0,90.19,
2 , 10431 MiB, 11264 MiB,64.24 ,6.9,91.28,
2 , 10431 MiB, 11264 MiB,64.14 ,6.7,92.38,
2 , 10431 MiB, 11264 MiB,63.87 ,7.1,93.47,
3 , 10431 MiB, 11264 MiB,63.89 ,6.9,94.56,
3 , 10431 MiB, 11264 MiB,63.99 ,6.8,95.66,
2 , 10431 MiB, 11264 MiB,64.10 ,6.8,96.75,
2 , 10431 MiB, 11264 MiB,64.09 ,7.0,97.84,
2 , 10431 MiB, 11264 MiB,63.87 ,8.4,98.94,
2 , 10431 MiB, 11264 MiB,63.95 ,6.9,100.04,
