utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 11264 MiB,21.54 ,5.1,1.08,
0 , 3 MiB, 11264 MiB,21.63 ,4.6,2.13,
0 , 3 MiB, 11264 MiB,21.63 ,5.1,3.17,
0 , 3 MiB, 11264 MiB,21.64 ,7.4,4.22,
0 , 3 MiB, 11264 MiB,21.60 ,5.1,5.25,
0 , 3 MiB, 11264 MiB,21.58 ,5.1,6.29,
0 , 3 MiB, 11264 MiB,21.60 ,5.1,7.33,
0 , 3 MiB, 11264 MiB,21.56 ,4.6,8.38,
0 , 3 MiB, 11264 MiB,21.54 ,5.2,9.42,
0 , 3 MiB, 11264 MiB,21.59 ,5.2,10.47,
0 , 3 MiB, 11264 MiB,21.60 ,4.6,11.52,
0 , 3 MiB, 11264 MiB,21.58 ,5.2,12.56,
0 , 3 MiB, 11264 MiB,21.53 ,5.2,13.61,
0 , 3 MiB, 11264 MiB,21.56 ,4.6,14.65,
0 , 3 MiB, 11264 MiB,21.62 ,5.3,15.7,
0 , 3 MiB, 11264 MiB,21.66 ,6.4,16.76,
0 , 3 MiB, 11264 MiB,21.57 ,7.0,17.81,
0 , 3 MiB, 11264 MiB,21.58 ,7.6,18.86,
0 , 3 MiB, 11264 MiB,21.57 ,9.1,19.91,
0 , 3 MiB, 11264 MiB,21.61 ,7.9,20.96,
0 , 3 MiB, 11264 MiB,21.60 ,6.7,22.04,
0 , 3 MiB, 11264 MiB,21.59 ,7.2,23.09,
0 , 3 MiB, 11264 MiB,21.60 ,7.5,24.14,
0 , 3 MiB, 11264 MiB,21.59 ,6.8,25.2,
0 , 3 MiB, 11264 MiB,21.61 ,7.4,26.25,
0 , 3 MiB, 11264 MiB,21.62 ,7.4,27.3,
0 , 3 MiB, 11264 MiB,21.60 ,6.6,28.35,
0 , 3 MiB, 11264 MiB,21.59 ,7.4,29.4,
0 , 3 MiB, 11264 MiB,21.61 ,7.4,30.45,
0 , 3 MiB, 11264 MiB,21.60 ,7.2,31.5,
0 , 3 MiB, 11264 MiB,21.51 ,6.7,32.55,
0 , 3 MiB, 11264 MiB,21.54 ,7.3,33.6,
0 , 3 MiB, 11264 MiB,21.56 ,10.1,34.66,
0 , 3 MiB, 11264 MiB,21.53 ,7.1,35.71,
0 , 3 MiB, 11264 MiB,21.49 ,7.3,36.75,
0 , 3 MiB, 11264 MiB,21.57 ,8.1,37.81,
0 , 3 MiB, 11264 MiB,21.53 ,6.7,38.85,
0 , 3 MiB, 11264 MiB,21.54 ,7.2,39.91,
0 , 3 MiB, 11264 MiB,21.57 ,7.4,40.96,
0 , 3 MiB, 11264 MiB,21.59 ,6.8,42.01,
0 , 3 MiB, 11264 MiB,21.58 ,7.3,43.07,
0 , 3 MiB, 11264 MiB,21.58 ,7.2,44.12,
0 , 3 MiB, 11264 MiB,21.56 ,7.3,45.17,
0 , 3 MiB, 11264 MiB,21.56 ,6.5,46.23,
0 , 3 MiB, 11264 MiB,21.52 ,7.4,47.28,
0 , 3 MiB, 11264 MiB,21.51 ,7.3,48.33,
