utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 11264 MiB,19.67 ,6.6,1.06,
0 , 3 MiB, 11264 MiB,19.30 ,7.4,2.1,
0 , 3 MiB, 11264 MiB,19.72 ,6.6,3.14,
0 , 3 MiB, 11264 MiB,19.95 ,6.6,4.17,
0 , 3 MiB, 11264 MiB,20.47 ,6.8,5.21,
0 , 3 MiB, 11264 MiB,19.42 ,6.5,6.25,
0 , 3 MiB, 11264 MiB,19.58 ,7.1,7.28,
0 , 3 MiB, 11264 MiB,19.40 ,7.1,8.32,
0 , 3 MiB, 11264 MiB,19.58 ,6.7,9.35,
0 , 3 MiB, 11264 MiB,19.41 ,6.6,10.39,
0 , 3 MiB, 11264 MiB,18.70 ,6.7,11.42,
0 , 3 MiB, 11264 MiB,18.98 ,6.7,12.46,
0 , 3 MiB, 11264 MiB,18.88 ,6.6,13.49,
0 , 3 MiB, 11264 MiB,18.85 ,6.8,14.53,
0 , 3 MiB, 11264 MiB,19.20 ,6.7,15.56,
0 , 3 MiB, 11264 MiB,19.43 ,7.9,16.6,
0 , 3 MiB, 11264 MiB,18.94 ,7.5,17.64,
0 , 3 MiB, 11264 MiB,19.32 ,6.6,18.67,
0 , 3 MiB, 11264 MiB,18.50 ,6.6,19.71,
0 , 3 MiB, 11264 MiB,19.07 ,6.7,20.74,
0 , 3 MiB, 11264 MiB,18.77 ,6.7,21.78,
0 , 3 MiB, 11264 MiB,19.24 ,7.6,22.81,
0 , 3 MiB, 11264 MiB,19.47 ,6.7,23.84,
0 , 3 MiB, 11264 MiB,18.86 ,6.6,24.88,
0 , 3 MiB, 11264 MiB,18.89 ,6.7,25.91,
0 , 3 MiB, 11264 MiB,18.96 ,6.6,26.95,
0 , 3 MiB, 11264 MiB,19.23 ,6.7,27.99,
0 , 3 MiB, 11264 MiB,19.26 ,6.6,29.02,
0 , 3 MiB, 11264 MiB,18.87 ,6.6,30.06,
0 , 3 MiB, 11264 MiB,18.96 ,6.6,31.09,
0 , 3 MiB, 11264 MiB,18.95 ,7.4,32.13,
