utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 11264 MiB,19.89 ,6.5,1.07,
0 , 3 MiB, 11264 MiB,19.50 ,6.4,2.11,
0 , 3 MiB, 11264 MiB,19.73 ,6.3,3.14,
0 , 3 MiB, 11264 MiB,19.86 ,6.4,4.18,
0 , 3 MiB, 11264 MiB,20.12 ,6.6,5.21,
0 , 3 MiB, 11264 MiB,19.61 ,6.5,6.25,
0 , 3 MiB, 11264 MiB,19.81 ,6.4,7.29,
0 , 3 MiB, 11264 MiB,19.52 ,7.2,8.32,
0 , 3 MiB, 11264 MiB,19.95 ,6.7,9.36,
0 , 3 MiB, 11264 MiB,19.32 ,6.8,10.4,
0 , 3 MiB, 11264 MiB,19.97 ,6.7,11.43,
0 , 3 MiB, 11264 MiB,19.54 ,7.1,12.47,
0 , 3 MiB, 11264 MiB,19.92 ,7.1,13.5,
0 , 3 MiB, 11264 MiB,19.29 ,6.6,14.54,
0 , 3 MiB, 11264 MiB,19.87 ,6.7,15.57,
0 , 3 MiB, 11264 MiB,19.78 ,6.6,16.61,
0 , 3 MiB, 11264 MiB,19.80 ,6.7,17.64,
0 , 3 MiB, 11264 MiB,19.43 ,6.6,18.68,
0 , 3 MiB, 11264 MiB,19.24 ,6.6,19.71,
0 , 3 MiB, 11264 MiB,19.55 ,6.6,20.75,
0 , 3 MiB, 11264 MiB,19.54 ,6.6,21.78,
0 , 3 MiB, 11264 MiB,19.74 ,7.5,22.82,
0 , 3 MiB, 11264 MiB,19.71 ,6.8,23.85,
0 , 3 MiB, 11264 MiB,19.69 ,6.6,24.88,
0 , 3 MiB, 11264 MiB,19.25 ,6.7,25.92,
0 , 3 MiB, 11264 MiB,19.16 ,6.8,26.95,
0 , 3 MiB, 11264 MiB,19.89 ,7.0,27.99,
0 , 3 MiB, 11264 MiB,19.81 ,7.2,29.02,
0 , 3 MiB, 11264 MiB,19.27 ,6.5,30.06,
0 , 3 MiB, 11264 MiB,19.39 ,6.8,31.09,
0 , 3 MiB, 11264 MiB,18.86 ,6.7,32.13,
