utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
2 , 9961 MiB, 11264 MiB,62.90 ,6.1,1.11,
0 , 9961 MiB, 11264 MiB,62.70 ,6.1,2.16,
0 , 9961 MiB, 11264 MiB,63.24 ,6.2,3.21,
0 , 9961 MiB, 11264 MiB,63.75 ,6.0,4.27,
0 , 9961 MiB, 11264 MiB,63.29 ,7.2,5.33,
0 , 9961 MiB, 11264 MiB,63.27 ,6.3,6.38,
0 , 9961 MiB, 11264 MiB,63.24 ,6.0,7.44,
0 , 9961 MiB, 11264 MiB,63.03 ,6.0,8.49,
0 , 9983 MiB, 11264 MiB,63.27 ,6.1,9.55,
1 , 10315 MiB, 11264 MiB,63.18 ,6.2,10.62,
3 , 10431 MiB, 11264 MiB,82.17 ,6.3,11.7,
5 , 10431 MiB, 11264 MiB,81.99 ,6.7,12.78,
7 , 10431 MiB, 11264 MiB,65.51 ,6.6,13.86,
7 , 10431 MiB, 11264 MiB,67.47 ,6.6,14.95,
6 , 10431 MiB, 11264 MiB,66.65 ,6.3,16.03,
7 , 10431 MiB, 11264 MiB,68.13 ,6.4,17.1,
7 , 10431 MiB, 11264 MiB,65.67 ,6.4,18.18,
7 , 10431 MiB, 11264 MiB,67.76 ,6.5,19.26,
6 , 10431 MiB, 11264 MiB,66.32 ,7.4,20.34,
7 , 10431 MiB, 11264 MiB,65.45 ,6.3,21.43,
6 , 10431 MiB, 11264 MiB,64.03 ,6.3,22.51,
7 , 10431 MiB, 11264 MiB,67.82 ,6.2,23.59,
7 , 10431 MiB, 11264 MiB,67.82 ,6.4,24.66,
7 , 10431 MiB, 11264 MiB,65.62 ,6.4,25.75,
6 , 10431 MiB, 11264 MiB,65.95 ,6.3,26.83,
7 , 10431 MiB, 11264 MiB,66.06 ,6.8,27.91,
6 , 10431 MiB, 11264 MiB,67.98 ,6.1,28.99,
7 , 10431 MiB, 11264 MiB,65.96 ,6.7,30.07,
7 , 10431 MiB, 11264 MiB,66.19 ,6.5,31.16,
6 , 10431 MiB, 11264 MiB,67.58 ,6.4,32.24,
7 , 10431 MiB, 11264 MiB,65.76 ,6.3,33.32,
7 , 10431 MiB, 11264 MiB,67.77 ,7.2,34.42,
7 , 10431 MiB, 11264 MiB,68.14 ,6.4,35.51,
7 , 10431 MiB, 11264 MiB,68.08 ,6.4,36.59,
7 , 10431 MiB, 11264 MiB,65.82 ,6.1,37.67,
5 , 10431 MiB, 11264 MiB,65.68 ,6.3,38.76,
6 , 10431 MiB, 11264 MiB,65.62 ,6.2,39.84,
7 , 10431 MiB, 11264 MiB,67.54 ,6.4,40.93,
7 , 10431 MiB, 11264 MiB,68.04 ,6.3,42.03,
7 , 10431 MiB, 11264 MiB,65.96 ,7.0,43.11,
7 , 10431 MiB, 11264 MiB,67.51 ,6.5,44.19,
7 , 10431 MiB, 11264 MiB,67.55 ,6.8,45.28,
7 , 10431 MiB, 11264 MiB,65.98 ,6.3,46.36,
7 , 10431 MiB, 11264 MiB,67.90 ,6.4,47.44,
7 , 10431 MiB, 11264 MiB,66.07 ,6.3,48.53,
6 , 10431 MiB, 11264 MiB,66.08 ,7.9,49.62,
7 , 10431 MiB, 11264 MiB,66.07 ,6.5,50.7,
6 , 10431 MiB, 11264 MiB,64.05 ,6.4,51.79,
7 , 10431 MiB, 11264 MiB,67.78 ,6.3,52.87,
7 , 10431 MiB, 11264 MiB,65.95 ,6.3,53.98,
7 , 10431 MiB, 11264 MiB,68.15 ,6.5,55.06,
7 , 10431 MiB, 11264 MiB,66.22 ,6.2,56.14,
7 , 10431 MiB, 11264 MiB,68.33 ,6.5,57.24,
