utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
1 , 9961 MiB, 11264 MiB,63.11 ,6.6,1.11,
0 , 9961 MiB, 11264 MiB,62.95 ,6.6,2.16,
0 , 9961 MiB, 11264 MiB,62.85 ,6.5,3.21,
0 , 9961 MiB, 11264 MiB,62.79 ,7.4,4.26,
0 , 9961 MiB, 11264 MiB,62.61 ,7.9,5.32,
0 , 9961 MiB, 11264 MiB,63.03 ,7.9,6.37,
0 , 9961 MiB, 11264 MiB,62.89 ,6.5,7.43,
0 , 9961 MiB, 11264 MiB,62.73 ,6.4,8.48,
0 , 9997 MiB, 11264 MiB,63.07 ,6.4,9.54,
3 , 10325 MiB, 11264 MiB,62.86 ,6.6,10.61,
27 , 10431 MiB, 11264 MiB,89.93 ,7.3,11.69,
9 , 10431 MiB, 11264 MiB,84.27 ,6.7,12.76,
6 , 10431 MiB, 11264 MiB,67.94 ,6.7,13.84,
7 , 10431 MiB, 11264 MiB,69.61 ,6.8,14.92,
7 , 10431 MiB, 11264 MiB,66.67 ,7.3,15.99,
7 , 10431 MiB, 11264 MiB,66.99 ,6.9,17.08,
7 , 10431 MiB, 11264 MiB,66.53 ,6.7,18.16,
6 , 10431 MiB, 11264 MiB,69.84 ,6.7,19.23,
6 , 10431 MiB, 11264 MiB,69.95 ,6.8,20.31,
7 , 10431 MiB, 11264 MiB,66.90 ,7.6,21.39,
7 , 10431 MiB, 11264 MiB,69.89 ,6.6,22.48,
7 , 10431 MiB, 11264 MiB,69.81 ,6.8,23.56,
7 , 10431 MiB, 11264 MiB,69.76 ,7.0,24.64,
7 , 10431 MiB, 11264 MiB,66.83 ,6.8,25.71,
7 , 10431 MiB, 11264 MiB,66.89 ,7.3,26.79,
7 , 10431 MiB, 11264 MiB,69.75 ,6.8,27.87,
7 , 10431 MiB, 11264 MiB,70.14 ,6.9,28.94,
7 , 10431 MiB, 11264 MiB,66.74 ,6.7,30.02,
7 , 10431 MiB, 11264 MiB,69.65 ,7.4,31.1,
7 , 10431 MiB, 11264 MiB,69.64 ,6.7,32.17,
7 , 10431 MiB, 11264 MiB,66.56 ,6.8,33.27,
