utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 47141 MiB, 49140 MiB,65.05 ,3.1,1.09,
0 , 47141 MiB, 49140 MiB,64.50 ,7.0,2.15,
0 , 47141 MiB, 49140 MiB,64.96 ,25.5,3.2,
0 , 47141 MiB, 49140 MiB,64.58 ,38.1,4.26,
0 , 47141 MiB, 49140 MiB,64.70 ,5.0,5.31,
0 , 47141 MiB, 49140 MiB,64.35 ,4.1,6.36,
3 , 47197 MiB, 49140 MiB,65.57 ,3.2,7.41,
5 , 47607 MiB, 49140 MiB,65.62 ,3.2,8.47,
45 , 47791 MiB, 49140 MiB,96.43 ,3.3,9.56,
7 , 47791 MiB, 49140 MiB,77.29 ,3.3,10.65,
7 , 47791 MiB, 49140 MiB,71.70 ,14.2,11.71,
7 , 47791 MiB, 49140 MiB,69.76 ,38.1,12.78,
7 , 47791 MiB, 49140 MiB,69.63 ,22.6,13.85,
7 , 47791 MiB, 49140 MiB,70.09 ,3.3,14.92,
7 , 47791 MiB, 49140 MiB,70.00 ,3.4,16.0,
7 , 47791 MiB, 49140 MiB,68.36 ,3.3,17.06,
7 , 47791 MiB, 49140 MiB,69.84 ,3.3,18.13,
7 , 47791 MiB, 49140 MiB,71.93 ,3.3,19.21,
7 , 47791 MiB, 49140 MiB,70.11 ,5.2,20.28,
6 , 47791 MiB, 49140 MiB,68.13 ,34.1,21.34,
7 , 47791 MiB, 49140 MiB,71.99 ,28.2,22.41,
7 , 47791 MiB, 49140 MiB,69.93 ,5.7,23.48,
6 , 47791 MiB, 49140 MiB,69.95 ,3.3,24.57,
7 , 47791 MiB, 49140 MiB,70.31 ,3.4,25.65,
7 , 47791 MiB, 49140 MiB,70.42 ,3.5,26.72,
7 , 47791 MiB, 49140 MiB,70.17 ,3.2,27.79,
8 , 47791 MiB, 49140 MiB,70.35 ,3.3,28.85,
7 , 47791 MiB, 49140 MiB,72.27 ,20.5,29.92,
7 , 47791 MiB, 49140 MiB,70.40 ,20.4,31.0,
7 , 47791 MiB, 49140 MiB,70.34 ,8.4,32.1,
6 , 47791 MiB, 49140 MiB,68.27 ,3.2,33.18,
7 , 47791 MiB, 49140 MiB,68.86 ,3.3,34.26,
7 , 47791 MiB, 49140 MiB,70.68 ,3.3,35.34,
7 , 47791 MiB, 49140 MiB,68.67 ,4.1,36.44,
7 , 47791 MiB, 49140 MiB,72.74 ,3.3,37.51,
7 , 47791 MiB, 49140 MiB,72.73 ,23.2,38.58,
7 , 47791 MiB, 49140 MiB,70.91 ,29.1,39.66,
7 , 47791 MiB, 49140 MiB,72.95 ,18.1,40.73,
7 , 47791 MiB, 49140 MiB,70.82 ,3.3,41.81,
7 , 47791 MiB, 49140 MiB,71.39 ,3.9,42.89,
6 , 47791 MiB, 49140 MiB,70.41 ,3.3,43.98,
7 , 47791 MiB, 49140 MiB,70.39 ,3.2,45.05,
0 , 47791 MiB, 49140 MiB,67.26 ,3.2,46.16,
6 , 47791 MiB, 49140 MiB,69.71 ,10.2,47.24,
7 , 47791 MiB, 49140 MiB,72.15 ,24.9,48.31,
6 , 47791 MiB, 49140 MiB,71.98 ,22.5,49.39,
7 , 47791 MiB, 49140 MiB,72.18 ,3.3,50.47,
6 , 47791 MiB, 49140 MiB,72.11 ,4.2,51.54,
7 , 47791 MiB, 49140 MiB,72.04 ,3.2,52.61,
7 , 47791 MiB, 49140 MiB,72.19 ,3.2,53.69,
6 , 47791 MiB, 49140 MiB,71.86 ,3.2,54.77,
7 , 47791 MiB, 49140 MiB,69.76 ,5.1,55.85,
7 , 47791 MiB, 49140 MiB,71.79 ,25.4,56.93,
7 , 47791 MiB, 49140 MiB,72.16 ,27.1,58.0,
7 , 47791 MiB, 49140 MiB,72.00 ,4.2,59.08,
6 , 47791 MiB, 49140 MiB,72.11 ,3.3,60.16,
7 , 47791 MiB, 49140 MiB,71.78 ,3.2,61.23,
4 , 47791 MiB, 49140 MiB,69.79 ,3.4,62.33,
7 , 47791 MiB, 49140 MiB,74.42 ,3.3,63.41,
7 , 47791 MiB, 49140 MiB,74.32 ,5.1,64.48,
6 , 47791 MiB, 49140 MiB,72.33 ,26.2,65.57,
7 , 47791 MiB, 49140 MiB,72.24 ,32.3,66.65,
6 , 47791 MiB, 49140 MiB,72.28 ,4.9,67.73,
7 , 47791 MiB, 49140 MiB,72.28 ,3.3,68.81,
7 , 47791 MiB, 49140 MiB,72.54 ,3.3,69.89,
6 , 47791 MiB, 49140 MiB,70.32 ,3.5,70.97,
7 , 47791 MiB, 49140 MiB,72.11 ,3.3,72.04,
4 , 47791 MiB, 49140 MiB,69.90 ,3.4,73.13,
