utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 49140 MiB,16.14 ,3.0,1.06,
0 , 3 MiB, 49140 MiB,17.70 ,3.1,2.09,
0 , 3 MiB, 49140 MiB,16.24 ,21.3,3.12,
0 , 3 MiB, 49140 MiB,16.15 ,37.5,4.14,
0 , 3 MiB, 49140 MiB,17.62 ,28.6,5.17,
0 , 3 MiB, 49140 MiB,16.07 ,5.3,6.19,
0 , 3 MiB, 49140 MiB,16.26 ,3.0,7.22,
0 , 3 MiB, 49140 MiB,15.88 ,3.2,8.25,
0 , 3 MiB, 49140 MiB,16.04 ,3.2,9.29,
0 , 3 MiB, 49140 MiB,16.52 ,3.2,10.32,
0 , 3 MiB, 49140 MiB,16.58 ,3.2,11.35,
0 , 3 MiB, 49140 MiB,16.24 ,20.0,12.38,
0 , 3 MiB, 49140 MiB,16.45 ,35.4,13.41,
0 , 3 MiB, 49140 MiB,16.60 ,24.7,14.44,
0 , 3 MiB, 49140 MiB,16.10 ,6.0,15.47,
0 , 3 MiB, 49140 MiB,16.04 ,3.2,16.5,
0 , 3 MiB, 49140 MiB,16.22 ,3.3,17.53,
0 , 3 MiB, 49140 MiB,16.27 ,3.1,18.56,
0 , 3 MiB, 49140 MiB,16.06 ,3.2,19.59,
0 , 3 MiB, 49140 MiB,16.30 ,4.1,20.63,
0 , 3 MiB, 49140 MiB,16.25 ,16.9,21.66,
0 , 3 MiB, 49140 MiB,16.25 ,33.1,22.69,
0 , 3 MiB, 49140 MiB,16.76 ,30.5,23.72,
0 , 3 MiB, 49140 MiB,16.32 ,5.8,24.75,
0 , 3 MiB, 49140 MiB,16.50 ,3.2,25.78,
0 , 3 MiB, 49140 MiB,16.39 ,3.2,26.81,
0 , 3 MiB, 49140 MiB,17.93 ,3.4,27.84,
0 , 3 MiB, 49140 MiB,16.30 ,3.2,28.87,
0 , 3 MiB, 49140 MiB,16.23 ,3.2,29.9,
0 , 3 MiB, 49140 MiB,17.92 ,6.7,30.93,
0 , 3 MiB, 49140 MiB,16.27 ,29.4,31.97,
0 , 3 MiB, 49140 MiB,16.59 ,30.6,33.0,
0 , 3 MiB, 49140 MiB,16.40 ,4.3,34.03,
0 , 3 MiB, 49140 MiB,16.12 ,4.5,35.06,
0 , 3 MiB, 49140 MiB,16.30 ,4.3,36.09,
0 , 3 MiB, 49140 MiB,16.26 ,3.5,37.12,
0 , 3 MiB, 49140 MiB,16.32 ,3.5,38.15,
0 , 3 MiB, 49140 MiB,16.14 ,3.5,39.18,
0 , 3 MiB, 49140 MiB,16.26 ,29.5,40.21,
0 , 3 MiB, 49140 MiB,16.12 ,19.5,41.24,
0 , 3 MiB, 49140 MiB,16.08 ,11.8,42.27,
0 , 3 MiB, 49140 MiB,15.93 ,3.4,43.3,
0 , 3 MiB, 49140 MiB,16.08 ,3.2,44.33,
0 , 3 MiB, 49140 MiB,15.92 ,3.2,45.37,
0 , 3 MiB, 49140 MiB,15.97 ,3.2,46.4,
0 , 3 MiB, 49140 MiB,16.18 ,3.3,47.43,
0 , 3 MiB, 49140 MiB,16.13 ,8.0,48.46,
0 , 3 MiB, 49140 MiB,15.96 ,35.9,49.49,
0 , 3 MiB, 49140 MiB,16.39 ,34.5,50.52,
0 , 3 MiB, 49140 MiB,15.96 ,6.1,51.55,
0 , 3 MiB, 49140 MiB,15.79 ,3.2,52.58,
0 , 3 MiB, 49140 MiB,16.09 ,3.2,53.61,
0 , 3 MiB, 49140 MiB,16.06 ,3.2,54.64,
0 , 3 MiB, 49140 MiB,15.99 ,3.5,55.67,
0 , 3 MiB, 49140 MiB,16.58 ,3.2,56.7,
0 , 3 MiB, 49140 MiB,15.95 ,10.7,57.73,
0 , 3 MiB, 49140 MiB,16.06 ,29.3,58.76,
0 , 3 MiB, 49140 MiB,17.51 ,22.8,59.79,
0 , 3 MiB, 49140 MiB,16.02 ,3.8,60.82,
0 , 3 MiB, 49140 MiB,15.91 ,3.2,61.85,
0 , 3 MiB, 49140 MiB,16.21 ,3.2,62.88,
0 , 3 MiB, 49140 MiB,15.98 ,3.2,63.91,
0 , 3 MiB, 49140 MiB,15.76 ,4.3,64.94,
0 , 3 MiB, 49140 MiB,15.91 ,3.3,65.97,
0 , 3 MiB, 49140 MiB,15.97 ,19.0,67.0,
0 , 3 MiB, 49140 MiB,15.85 ,32.9,68.04,
0 , 3 MiB, 49140 MiB,16.11 ,23.6,69.06,
0 , 3 MiB, 49140 MiB,16.07 ,3.2,70.1,
0 , 3 MiB, 49140 MiB,16.17 ,3.2,71.13,
0 , 3 MiB, 49140 MiB,16.07 ,3.2,72.16,
0 , 3 MiB, 49140 MiB,16.16 ,3.2,73.19,
0 , 3 MiB, 49140 MiB,15.69 ,3.4,74.22,
0 , 3 MiB, 49140 MiB,16.25 ,3.2,75.25,
0 , 3 MiB, 49140 MiB,16.15 ,29.3,76.28,
0 , 3 MiB, 49140 MiB,15.95 ,37.5,77.31,
0 , 3 MiB, 49140 MiB,15.79 ,24.4,78.34,
0 , 3 MiB, 49140 MiB,15.88 ,6.2,79.37,
