utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 49140 MiB,16.09 ,3.5,1.05,
0 , 3 MiB, 49140 MiB,17.63 ,3.0,2.08,
0 , 3 MiB, 49140 MiB,16.12 ,3.0,3.1,
0 , 3 MiB, 49140 MiB,16.25 ,3.0,4.13,
0 , 3 MiB, 49140 MiB,17.63 ,5.3,5.16,
0 , 3 MiB, 49140 MiB,16.39 ,25.8,6.19,
0 , 3 MiB, 49140 MiB,16.42 ,34.0,7.22,
0 , 3 MiB, 49140 MiB,16.13 ,5.6,8.25,
0 , 3 MiB, 49140 MiB,16.06 ,3.2,9.28,
0 , 3 MiB, 49140 MiB,16.03 ,4.4,10.31,
0 , 3 MiB, 49140 MiB,16.03 ,3.2,11.34,
0 , 3 MiB, 49140 MiB,16.80 ,3.2,12.37,
0 , 3 MiB, 49140 MiB,16.27 ,3.2,13.4,
0 , 3 MiB, 49140 MiB,16.09 ,15.9,14.43,
0 , 3 MiB, 49140 MiB,16.27 ,37.7,15.47,
0 , 3 MiB, 49140 MiB,15.99 ,29.5,16.5,
0 , 3 MiB, 49140 MiB,16.06 ,5.8,17.53,
0 , 3 MiB, 49140 MiB,15.87 ,3.2,18.56,
0 , 3 MiB, 49140 MiB,15.77 ,3.2,19.59,
0 , 3 MiB, 49140 MiB,15.79 ,3.2,20.62,
0 , 3 MiB, 49140 MiB,15.68 ,3.3,21.65,
0 , 3 MiB, 49140 MiB,16.12 ,3.2,22.68,
0 , 3 MiB, 49140 MiB,15.94 ,5.7,23.71,
0 , 3 MiB, 49140 MiB,16.12 ,31.2,24.74,
0 , 3 MiB, 49140 MiB,16.01 ,36.3,25.77,
0 , 3 MiB, 49140 MiB,16.02 ,6.1,26.81,
0 , 3 MiB, 49140 MiB,17.38 ,3.2,27.83,
0 , 3 MiB, 49140 MiB,15.58 ,3.2,28.87,
0 , 3 MiB, 49140 MiB,15.98 ,3.2,29.9,
0 , 3 MiB, 49140 MiB,17.40 ,3.2,30.93,
0 , 3 MiB, 49140 MiB,15.98 ,3.4,31.96,
0 , 3 MiB, 49140 MiB,16.31 ,8.4,32.99,
0 , 3 MiB, 49140 MiB,16.10 ,25.8,34.02,
0 , 3 MiB, 49140 MiB,16.04 ,25.7,35.05,
0 , 3 MiB, 49140 MiB,16.09 ,3.2,36.08,
0 , 3 MiB, 49140 MiB,16.71 ,3.2,37.11,
0 , 3 MiB, 49140 MiB,15.83 ,3.2,38.14,
0 , 3 MiB, 49140 MiB,15.89 ,3.1,39.17,
0 , 3 MiB, 49140 MiB,16.21 ,3.8,40.2,
0 , 3 MiB, 49140 MiB,16.02 ,3.3,41.23,
0 , 3 MiB, 49140 MiB,16.20 ,15.5,42.26,
0 , 3 MiB, 49140 MiB,16.14 ,32.3,43.29,
0 , 3 MiB, 49140 MiB,15.97 ,15.0,44.32,
0 , 3 MiB, 49140 MiB,15.96 ,3.1,45.35,
0 , 3 MiB, 49140 MiB,16.00 ,3.4,46.38,
0 , 3 MiB, 49140 MiB,15.84 ,3.2,47.41,
0 , 3 MiB, 49140 MiB,16.29 ,3.2,48.44,
0 , 3 MiB, 49140 MiB,16.24 ,3.1,49.47,
0 , 3 MiB, 49140 MiB,15.81 ,6.7,50.5,
0 , 3 MiB, 49140 MiB,16.29 ,30.6,51.53,
0 , 3 MiB, 49140 MiB,16.17 ,32.4,52.56,
0 , 3 MiB, 49140 MiB,17.82 ,4.5,53.59,
0 , 3 MiB, 49140 MiB,16.05 ,3.2,54.62,
0 , 3 MiB, 49140 MiB,16.08 ,4.4,55.65,
0 , 3 MiB, 49140 MiB,17.63 ,3.2,56.68,
0 , 3 MiB, 49140 MiB,15.99 ,3.2,57.71,
0 , 3 MiB, 49140 MiB,16.18 ,3.2,58.74,
0 , 3 MiB, 49140 MiB,17.81 ,9.6,59.78,
0 , 3 MiB, 49140 MiB,16.17 ,34.9,60.81,
0 , 3 MiB, 49140 MiB,16.19 ,39.1,61.84,
0 , 3 MiB, 49140 MiB,15.90 ,6.9,62.87,
0 , 3 MiB, 49140 MiB,16.13 ,3.1,63.9,
0 , 3 MiB, 49140 MiB,15.99 ,3.2,64.93,
0 , 3 MiB, 49140 MiB,15.83 ,3.2,65.96,
0 , 3 MiB, 49140 MiB,15.96 ,3.3,66.99,
0 , 3 MiB, 49140 MiB,16.02 ,3.2,68.02,
0 , 3 MiB, 49140 MiB,15.93 ,3.2,69.05,
0 , 3 MiB, 49140 MiB,16.52 ,15.7,70.07,
0 , 3 MiB, 49140 MiB,16.08 ,35.6,71.11,
0 , 3 MiB, 49140 MiB,16.01 ,13.9,72.13,
0 , 3 MiB, 49140 MiB,15.81 ,3.2,73.17,
0 , 3 MiB, 49140 MiB,16.02 ,3.2,74.2,
0 , 3 MiB, 49140 MiB,16.03 ,3.2,75.23,
0 , 3 MiB, 49140 MiB,16.02 ,3.2,76.26,
0 , 3 MiB, 49140 MiB,15.74 ,3.4,77.29,
0 , 3 MiB, 49140 MiB,16.20 ,3.3,78.32,
