utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 47141 MiB, 49140 MiB,65.15 ,3.4,1.08,
0 , 47141 MiB, 49140 MiB,65.44 ,3.2,2.13,
0 , 47141 MiB, 49140 MiB,64.79 ,3.2,3.17,
0 , 47141 MiB, 49140 MiB,65.60 ,3.2,4.22,
0 , 47141 MiB, 49140 MiB,65.13 ,3.2,5.26,
0 , 47141 MiB, 49140 MiB,65.27 ,11.3,6.31,
5 , 47367 MiB, 49140 MiB,66.32 ,34.2,7.38,
6 , 47765 MiB, 49140 MiB,66.26 ,31.6,8.45,
4 , 47791 MiB, 49140 MiB,67.06 ,4.8,9.52,
3 , 47791 MiB, 49140 MiB,66.94 ,3.2,10.59,
4 , 47791 MiB, 49140 MiB,67.98 ,3.3,11.65,
4 , 47791 MiB, 49140 MiB,67.19 ,3.2,12.73,
3 , 47791 MiB, 49140 MiB,67.46 ,3.2,13.79,
4 , 47791 MiB, 49140 MiB,68.29 ,3.3,14.86,
4 , 47791 MiB, 49140 MiB,67.20 ,18.1,15.93,
3 , 47791 MiB, 49140 MiB,66.20 ,23.9,16.99,
4 , 47791 MiB, 49140 MiB,67.16 ,9.8,18.07,
4 , 47791 MiB, 49140 MiB,68.35 ,3.4,19.13,
3 , 47791 MiB, 49140 MiB,67.24 ,3.3,20.21,
3 , 47791 MiB, 49140 MiB,67.79 ,3.2,21.27,
3 , 47791 MiB, 49140 MiB,68.13 ,4.1,22.35,
4 , 47791 MiB, 49140 MiB,68.51 ,3.3,23.41,
3 , 47791 MiB, 49140 MiB,67.64 ,11.7,24.48,
3 , 47791 MiB, 49140 MiB,68.38 ,24.4,25.55,
3 , 47791 MiB, 49140 MiB,68.25 ,22.6,26.61,
2 , 47791 MiB, 49140 MiB,67.19 ,3.2,27.68,
3 , 47791 MiB, 49140 MiB,67.05 ,3.3,28.76,
4 , 47791 MiB, 49140 MiB,68.45 ,3.2,29.84,
3 , 47791 MiB, 49140 MiB,68.64 ,3.3,30.91,
3 , 47791 MiB, 49140 MiB,67.62 ,3.5,31.98,
3 , 47791 MiB, 49140 MiB,68.35 ,3.9,33.05,
3 , 47791 MiB, 49140 MiB,68.14 ,16.5,34.12,
3 , 47791 MiB, 49140 MiB,67.72 ,31.7,35.19,
3 , 47791 MiB, 49140 MiB,68.97 ,3.8,36.26,
3 , 47791 MiB, 49140 MiB,68.10 ,4.6,37.35,
4 , 47791 MiB, 49140 MiB,68.22 ,3.3,38.43,
4 , 47791 MiB, 49140 MiB,67.85 ,3.3,39.51,
3 , 47791 MiB, 49140 MiB,68.01 ,3.3,40.61,
4 , 47791 MiB, 49140 MiB,67.70 ,3.3,41.68,
4 , 47791 MiB, 49140 MiB,67.56 ,26.7,42.77,
4 , 47791 MiB, 49140 MiB,67.78 ,27.0,43.85,
3 , 47791 MiB, 49140 MiB,68.85 ,19.3,44.92,
3 , 47791 MiB, 49140 MiB,68.22 ,3.2,46.01,
3 , 47791 MiB, 49140 MiB,68.17 ,3.4,47.08,
3 , 47791 MiB, 49140 MiB,67.87 ,3.2,48.16,
3 , 47791 MiB, 49140 MiB,69.61 ,3.2,49.25,
3 , 47791 MiB, 49140 MiB,67.99 ,3.4,50.36,
3 , 47791 MiB, 49140 MiB,67.24 ,9.8,51.5,
3 , 47791 MiB, 49140 MiB,68.52 ,29.9,52.57,
3 , 47791 MiB, 49140 MiB,69.42 ,27.4,53.65,
3 , 47791 MiB, 49140 MiB,69.45 ,3.3,54.72,
3 , 47791 MiB, 49140 MiB,69.01 ,3.2,55.8,
4 , 47791 MiB, 49140 MiB,69.25 ,3.2,56.88,
3 , 47791 MiB, 49140 MiB,69.17 ,3.3,57.97,
3 , 47791 MiB, 49140 MiB,69.25 ,3.4,59.05,
3 , 47791 MiB, 49140 MiB,69.99 ,4.9,60.12,
3 , 47791 MiB, 49140 MiB,69.18 ,34.8,61.21,
4 , 47791 MiB, 49140 MiB,68.81 ,36.0,62.3,
3 , 47791 MiB, 49140 MiB,69.18 ,6.4,63.39,
3 , 47791 MiB, 49140 MiB,69.24 ,3.3,64.46,
4 , 47791 MiB, 49140 MiB,69.60 ,3.3,65.54,
3 , 47791 MiB, 49140 MiB,69.89 ,3.7,66.62,
