utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 49140 MiB,15.90 ,31.1,1.05,
0 , 3 MiB, 49140 MiB,15.93 ,19.3,2.08,
0 , 3 MiB, 49140 MiB,15.90 ,3.0,3.12,
0 , 3 MiB, 49140 MiB,15.89 ,3.0,4.15,
0 , 3 MiB, 49140 MiB,15.50 ,3.0,5.18,
0 , 3 MiB, 49140 MiB,15.83 ,3.0,6.21,
0 , 3 MiB, 49140 MiB,15.52 ,3.0,7.24,
0 , 3 MiB, 49140 MiB,15.98 ,3.6,8.27,
0 , 3 MiB, 49140 MiB,16.03 ,17.6,9.3,
0 , 3 MiB, 49140 MiB,15.71 ,27.0,10.33,
0 , 3 MiB, 49140 MiB,15.72 ,19.1,11.37,
0 , 3 MiB, 49140 MiB,15.78 ,3.9,12.4,
0 , 3 MiB, 49140 MiB,15.65 ,3.9,13.43,
0 , 3 MiB, 49140 MiB,15.77 ,4.1,14.46,
0 , 3 MiB, 49140 MiB,15.93 ,3.9,15.49,
0 , 3 MiB, 49140 MiB,15.74 ,3.9,16.53,
0 , 3 MiB, 49140 MiB,15.68 ,7.5,17.56,
0 , 3 MiB, 49140 MiB,15.60 ,25.1,18.59,
0 , 3 MiB, 49140 MiB,15.98 ,36.9,19.63,
0 , 3 MiB, 49140 MiB,17.52 ,5.0,20.66,
0 , 3 MiB, 49140 MiB,15.90 ,3.9,21.69,
0 , 3 MiB, 49140 MiB,15.69 ,4.0,22.73,
0 , 3 MiB, 49140 MiB,16.03 ,4.0,23.76,
0 , 3 MiB, 49140 MiB,15.89 ,3.9,24.79,
0 , 3 MiB, 49140 MiB,15.83 ,5.4,25.82,
0 , 3 MiB, 49140 MiB,16.07 ,12.6,26.85,
0 , 3 MiB, 49140 MiB,16.23 ,28.5,27.89,
0 , 3 MiB, 49140 MiB,15.87 ,29.7,28.92,
0 , 3 MiB, 49140 MiB,15.93 ,4.3,29.95,
0 , 3 MiB, 49140 MiB,15.83 ,3.9,30.99,
0 , 3 MiB, 49140 MiB,16.08 ,3.8,32.03,
0 , 3 MiB, 49140 MiB,16.13 ,3.9,33.06,
0 , 3 MiB, 49140 MiB,16.00 ,4.0,34.09,
0 , 3 MiB, 49140 MiB,15.86 ,4.0,35.13,
0 , 3 MiB, 49140 MiB,15.81 ,18.1,36.17,
0 , 3 MiB, 49140 MiB,15.97 ,25.0,37.2,
0 , 3 MiB, 49140 MiB,15.78 ,19.8,38.23,
0 , 3 MiB, 49140 MiB,16.00 ,3.8,39.27,
0 , 3 MiB, 49140 MiB,17.28 ,3.8,40.31,
0 , 3 MiB, 49140 MiB,15.96 ,4.9,41.34,
0 , 3 MiB, 49140 MiB,15.66 ,3.8,42.38,
0 , 3 MiB, 49140 MiB,17.59 ,4.2,43.42,
0 , 3 MiB, 49140 MiB,15.68 ,5.6,44.45,
0 , 3 MiB, 49140 MiB,15.81 ,21.1,45.49,
0 , 3 MiB, 49140 MiB,15.61 ,32.1,46.52,
0 , 3 MiB, 49140 MiB,15.53 ,5.5,47.56,
0 , 3 MiB, 49140 MiB,15.63 ,3.9,48.6,
0 , 3 MiB, 49140 MiB,15.70 ,3.9,49.64,
0 , 3 MiB, 49140 MiB,15.93 ,4.0,50.68,
0 , 3 MiB, 49140 MiB,16.03 ,4.0,51.72,
0 , 3 MiB, 49140 MiB,15.56 ,3.9,52.77,
0 , 3 MiB, 49140 MiB,15.63 ,27.0,53.8,
0 , 3 MiB, 49140 MiB,15.99 ,32.7,54.84,
0 , 3 MiB, 49140 MiB,15.85 ,24.8,55.88,
0 , 3 MiB, 49140 MiB,15.77 ,5.0,56.92,
0 , 3 MiB, 49140 MiB,15.47 ,3.9,57.96,
0 , 3 MiB, 49140 MiB,15.52 ,3.9,59.0,
0 , 3 MiB, 49140 MiB,15.59 ,4.0,60.04,
0 , 3 MiB, 49140 MiB,15.53 ,3.9,61.07,
0 , 3 MiB, 49140 MiB,15.40 ,3.8,62.12,
0 , 3 MiB, 49140 MiB,17.39 ,31.7,63.16,
0 , 3 MiB, 49140 MiB,16.06 ,23.6,64.2,
0 , 3 MiB, 49140 MiB,16.16 ,21.5,65.24,
0 , 3 MiB, 49140 MiB,15.86 ,3.8,66.28,
0 , 3 MiB, 49140 MiB,15.70 ,3.8,67.32,
0 , 3 MiB, 49140 MiB,15.94 ,3.8,68.36,
0 , 3 MiB, 49140 MiB,15.84 ,3.9,69.4,
0 , 3 MiB, 49140 MiB,15.76 ,3.9,70.43,
0 , 3 MiB, 49140 MiB,15.89 ,7.1,71.48,
0 , 3 MiB, 49140 MiB,15.81 ,31.2,72.51,
0 , 3 MiB, 49140 MiB,16.21 ,31.7,73.55,
0 , 3 MiB, 49140 MiB,16.03 ,9.7,74.6,
0 , 3 MiB, 49140 MiB,16.00 ,3.8,75.63,
0 , 3 MiB, 49140 MiB,16.90 ,3.9,76.69,
0 , 3 MiB, 49140 MiB,16.29 ,4.1,77.73,
0 , 3 MiB, 49140 MiB,15.95 ,3.9,78.77,
0 , 3 MiB, 49140 MiB,17.59 ,3.9,79.82,
0 , 3 MiB, 49140 MiB,16.09 ,8.4,80.86,
