utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 49140 MiB,16.78 ,34.5,1.05,
0 , 3 MiB, 49140 MiB,18.37 ,31.5,2.09,
0 , 3 MiB, 49140 MiB,16.53 ,6.7,3.11,
0 , 3 MiB, 49140 MiB,16.50 ,3.8,4.14,
0 , 3 MiB, 49140 MiB,18.02 ,3.1,5.17,
0 , 3 MiB, 49140 MiB,16.59 ,3.1,6.2,
0 , 3 MiB, 49140 MiB,16.33 ,3.4,7.23,
0 , 3 MiB, 49140 MiB,18.02 ,3.2,8.26,
0 , 3 MiB, 49140 MiB,15.93 ,13.7,9.29,
0 , 3 MiB, 49140 MiB,16.41 ,24.8,10.32,
0 , 3 MiB, 49140 MiB,16.20 ,34.5,11.35,
0 , 3 MiB, 49140 MiB,16.37 ,5.4,12.38,
0 , 3 MiB, 49140 MiB,15.97 ,3.2,13.41,
0 , 3 MiB, 49140 MiB,16.52 ,3.2,14.44,
0 , 3 MiB, 49140 MiB,16.29 ,3.2,15.48,
0 , 3 MiB, 49140 MiB,16.16 ,3.2,16.51,
0 , 3 MiB, 49140 MiB,16.20 ,3.2,17.54,
0 , 3 MiB, 49140 MiB,16.53 ,14.4,18.57,
0 , 3 MiB, 49140 MiB,16.16 ,31.8,19.6,
0 , 3 MiB, 49140 MiB,15.88 ,20.4,20.64,
0 , 3 MiB, 49140 MiB,16.28 ,3.2,21.67,
