utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 49140 MiB,40.10 ,27.3,1.05,
0 , 3 MiB, 49140 MiB,20.87 ,4.6,2.08,
0 , 3 MiB, 49140 MiB,16.72 ,3.2,3.1,
0 , 3 MiB, 49140 MiB,16.56 ,3.1,4.13,
0 , 3 MiB, 49140 MiB,16.98 ,3.1,5.16,
0 , 3 MiB, 49140 MiB,16.69 ,3.3,6.19,
0 , 3 MiB, 49140 MiB,16.44 ,3.2,7.22,
0 , 3 MiB, 49140 MiB,16.69 ,20.3,8.24,
0 , 3 MiB, 49140 MiB,16.46 ,32.2,9.27,
0 , 3 MiB, 49140 MiB,16.49 ,24.6,10.3,
0 , 3 MiB, 49140 MiB,16.24 ,5.0,11.33,
0 , 3 MiB, 49140 MiB,16.97 ,3.2,12.36,
0 , 3 MiB, 49140 MiB,16.51 ,3.1,13.39,
0 , 3 MiB, 49140 MiB,16.72 ,3.2,14.42,
0 , 3 MiB, 49140 MiB,16.41 ,3.2,15.44,
0 , 3 MiB, 49140 MiB,16.49 ,3.2,16.47,
0 , 3 MiB, 49140 MiB,16.47 ,29.3,17.5,
0 , 3 MiB, 49140 MiB,16.54 ,32.2,18.53,
