utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 47141 MiB, 49140 MiB,66.32 ,4.0,1.09,
0 , 47141 MiB, 49140 MiB,66.38 ,3.4,2.14,
0 , 47141 MiB, 49140 MiB,66.73 ,3.2,3.2,
0 , 47141 MiB, 49140 MiB,66.89 ,5.7,4.26,
0 , 47141 MiB, 49140 MiB,66.85 ,28.4,5.3,
0 , 47141 MiB, 49140 MiB,66.92 ,35.3,6.34,
5 , 47327 MiB, 49140 MiB,67.27 ,12.5,7.4,
6 , 47719 MiB, 49140 MiB,67.24 ,3.2,8.46,
6 , 47791 MiB, 49140 MiB,71.36 ,3.2,9.53,
5 , 47791 MiB, 49140 MiB,71.32 ,3.2,10.6,
5 , 47791 MiB, 49140 MiB,73.78 ,3.3,11.67,
6 , 47791 MiB, 49140 MiB,71.80 ,3.4,12.74,
5 , 47791 MiB, 49140 MiB,71.53 ,5.6,13.8,
5 , 47791 MiB, 49140 MiB,71.34 ,24.8,14.87,
5 , 47791 MiB, 49140 MiB,71.77 ,38.5,15.94,
5 , 47791 MiB, 49140 MiB,71.90 ,6.0,17.02,
5 , 47791 MiB, 49140 MiB,69.59 ,3.3,18.09,
5 , 47791 MiB, 49140 MiB,74.17 ,3.2,19.16,
4 , 47791 MiB, 49140 MiB,71.84 ,3.2,20.23,
5 , 47791 MiB, 49140 MiB,72.05 ,3.4,21.34,
4 , 47791 MiB, 49140 MiB,72.00 ,3.3,22.41,
5 , 47791 MiB, 49140 MiB,72.31 ,11.7,23.49,
6 , 47791 MiB, 49140 MiB,71.99 ,32.0,24.56,
4 , 47791 MiB, 49140 MiB,72.20 ,27.3,25.63,
5 , 47791 MiB, 49140 MiB,72.39 ,3.8,26.7,
5 , 47791 MiB, 49140 MiB,72.18 ,3.5,27.77,
6 , 47791 MiB, 49140 MiB,74.22 ,3.3,28.84,
5 , 47791 MiB, 49140 MiB,72.34 ,3.3,29.91,
6 , 47791 MiB, 49140 MiB,71.87 ,4.1,31.0,
5 , 47791 MiB, 49140 MiB,74.33 ,3.3,32.07,
5 , 47791 MiB, 49140 MiB,74.43 ,35.1,33.14,
5 , 47791 MiB, 49140 MiB,70.94 ,26.9,34.21,
5 , 47791 MiB, 49140 MiB,72.36 ,11.4,35.28,
3 , 47791 MiB, 49140 MiB,70.09 ,3.6,36.39,
6 , 47791 MiB, 49140 MiB,74.66 ,3.3,37.47,
5 , 47791 MiB, 49140 MiB,74.63 ,3.2,38.54,
5 , 47791 MiB, 49140 MiB,72.44 ,3.2,39.62,
5 , 47791 MiB, 49140 MiB,72.36 ,3.3,40.7,
5 , 47791 MiB, 49140 MiB,74.65 ,3.3,41.77,
5 , 47791 MiB, 49140 MiB,72.60 ,34.0,42.84,
6 , 47791 MiB, 49140 MiB,70.52 ,23.9,43.91,
4 , 47791 MiB, 49140 MiB,72.36 ,13.3,44.99,
5 , 47791 MiB, 49140 MiB,74.90 ,4.0,46.07,
5 , 47791 MiB, 49140 MiB,72.57 ,3.3,47.15,
5 , 47791 MiB, 49140 MiB,72.88 ,3.2,48.22,
5 , 47791 MiB, 49140 MiB,72.86 ,3.3,49.3,
4 , 47791 MiB, 49140 MiB,70.30 ,3.3,50.45,
5 , 47791 MiB, 49140 MiB,72.53 ,7.7,51.56,
5 , 47791 MiB, 49140 MiB,72.71 ,38.2,52.63,
5 , 47791 MiB, 49140 MiB,72.64 ,32.8,53.71,
5 , 47791 MiB, 49140 MiB,72.68 ,6.6,54.78,
5 , 47791 MiB, 49140 MiB,74.93 ,3.2,55.86,
5 , 47791 MiB, 49140 MiB,75.07 ,3.3,56.93,
5 , 47791 MiB, 49140 MiB,72.80 ,3.4,58.03,
5 , 47791 MiB, 49140 MiB,72.93 ,3.3,59.1,
4 , 47791 MiB, 49140 MiB,72.86 ,3.9,60.18,
5 , 47791 MiB, 49140 MiB,73.27 ,18.7,61.26,
6 , 47791 MiB, 49140 MiB,73.12 ,32.3,62.33,
4 , 47791 MiB, 49140 MiB,73.22 ,15.2,63.43,
5 , 47791 MiB, 49140 MiB,73.26 ,3.3,64.51,
5 , 47791 MiB, 49140 MiB,72.97 ,3.3,65.59,
5 , 47791 MiB, 49140 MiB,70.85 ,3.2,66.67,
6 , 47791 MiB, 49140 MiB,73.05 ,3.3,67.75,
