utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 49140 MiB,15.96 ,3.1,1.05,
0 , 3 MiB, 49140 MiB,15.76 ,3.1,2.08,
0 , 3 MiB, 49140 MiB,15.87 ,3.2,3.11,
0 , 3 MiB, 49140 MiB,15.93 ,17.1,4.15,
0 , 3 MiB, 49140 MiB,15.83 ,26.5,5.19,
0 , 3 MiB, 49140 MiB,15.63 ,7.6,6.23,
0 , 3 MiB, 49140 MiB,15.70 ,4.3,7.27,
0 , 3 MiB, 49140 MiB,15.77 ,5.0,8.3,
0 , 3 MiB, 49140 MiB,16.39 ,5.1,9.34,
0 , 3 MiB, 49140 MiB,15.48 ,4.8,10.37,
0 , 3 MiB, 49140 MiB,15.86 ,4.9,11.4,
0 , 3 MiB, 49140 MiB,17.50 ,12.8,12.44,
0 , 3 MiB, 49140 MiB,16.28 ,32.9,13.48,
0 , 3 MiB, 49140 MiB,16.21 ,26.4,14.51,
0 , 3 MiB, 49140 MiB,15.97 ,5.5,15.55,
0 , 3 MiB, 49140 MiB,15.91 ,5.0,16.59,
0 , 3 MiB, 49140 MiB,15.96 ,4.7,17.63,
0 , 3 MiB, 49140 MiB,15.96 ,5.0,18.67,
0 , 3 MiB, 49140 MiB,15.87 ,4.6,19.71,
0 , 3 MiB, 49140 MiB,15.93 ,5.6,20.75,
0 , 3 MiB, 49140 MiB,16.38 ,17.7,21.78,
0 , 3 MiB, 49140 MiB,16.29 ,39.2,22.82,
0 , 3 MiB, 49140 MiB,16.19 ,23.2,23.85,
0 , 3 MiB, 49140 MiB,15.87 ,4.7,24.89,
0 , 3 MiB, 49140 MiB,16.08 ,4.7,25.92,
0 , 3 MiB, 49140 MiB,15.97 ,4.8,26.95,
0 , 3 MiB, 49140 MiB,16.03 ,4.6,28.0,
0 , 3 MiB, 49140 MiB,15.99 ,4.7,29.03,
0 , 3 MiB, 49140 MiB,15.84 ,6.0,30.07,
0 , 3 MiB, 49140 MiB,15.86 ,26.3,31.11,
0 , 3 MiB, 49140 MiB,17.52 ,24.3,32.14,
0 , 3 MiB, 49140 MiB,16.05 ,16.3,33.18,
0 , 3 MiB, 49140 MiB,15.62 ,4.9,34.21,
0 , 3 MiB, 49140 MiB,16.54 ,4.8,35.25,
0 , 3 MiB, 49140 MiB,16.02 ,4.8,36.29,
0 , 3 MiB, 49140 MiB,16.18 ,4.7,37.33,
0 , 3 MiB, 49140 MiB,16.27 ,4.6,38.37,
0 , 3 MiB, 49140 MiB,15.88 ,9.4,39.42,
0 , 3 MiB, 49140 MiB,16.02 ,27.3,40.46,
0 , 3 MiB, 49140 MiB,15.90 ,35.2,41.5,
0 , 3 MiB, 49140 MiB,15.85 ,5.3,42.54,
0 , 3 MiB, 49140 MiB,15.82 ,4.6,43.58,
0 , 3 MiB, 49140 MiB,15.75 ,5.4,44.63,
0 , 3 MiB, 49140 MiB,15.90 ,4.7,45.67,
0 , 3 MiB, 49140 MiB,15.63 ,4.7,46.71,
0 , 3 MiB, 49140 MiB,15.69 ,4.6,47.76,
0 , 3 MiB, 49140 MiB,17.24 ,29.4,48.8,
0 , 3 MiB, 49140 MiB,15.77 ,39.3,49.84,
0 , 3 MiB, 49140 MiB,16.00 ,19.5,50.88,
0 , 3 MiB, 49140 MiB,15.93 ,5.4,51.93,
0 , 3 MiB, 49140 MiB,15.90 ,4.7,52.97,
0 , 3 MiB, 49140 MiB,15.68 ,4.8,54.01,
0 , 3 MiB, 49140 MiB,15.73 ,4.6,55.06,
0 , 3 MiB, 49140 MiB,15.97 ,4.6,56.1,
0 , 3 MiB, 49140 MiB,15.85 ,4.6,57.13,
0 , 3 MiB, 49140 MiB,16.07 ,17.9,58.18,
0 , 3 MiB, 49140 MiB,15.58 ,32.3,59.22,
0 , 3 MiB, 49140 MiB,15.71 ,20.9,60.27,
0 , 3 MiB, 49140 MiB,15.53 ,4.6,61.32,
0 , 3 MiB, 49140 MiB,15.82 ,4.8,62.36,
0 , 3 MiB, 49140 MiB,15.60 ,4.6,63.4,
0 , 3 MiB, 49140 MiB,15.81 ,4.7,64.44,
0 , 3 MiB, 49140 MiB,17.11 ,4.6,65.48,
0 , 3 MiB, 49140 MiB,15.78 ,7.3,66.53,
0 , 3 MiB, 49140 MiB,16.35 ,39.8,67.57,
0 , 3 MiB, 49140 MiB,15.95 ,30.4,68.63,
0 , 3 MiB, 49140 MiB,15.74 ,6.8,69.67,
0 , 3 MiB, 49140 MiB,15.82 ,4.6,70.71,
0 , 3 MiB, 49140 MiB,16.27 ,4.6,71.74,
0 , 3 MiB, 49140 MiB,15.94 ,4.7,72.78,
0 , 3 MiB, 49140 MiB,16.06 ,4.7,73.83,
0 , 3 MiB, 49140 MiB,15.99 ,5.8,74.88,
0 , 3 MiB, 49140 MiB,15.99 ,23.3,75.92,
0 , 3 MiB, 49140 MiB,15.85 ,39.7,76.97,
0 , 3 MiB, 49140 MiB,15.92 ,31.2,78.01,
0 , 3 MiB, 49140 MiB,16.18 ,8.0,79.05,
0 , 3 MiB, 49140 MiB,15.97 ,5.4,80.09,
0 , 3 MiB, 49140 MiB,16.16 ,4.8,81.14,
0 , 3 MiB, 49140 MiB,17.49 ,5.0,82.19,
0 , 3 MiB, 49140 MiB,16.40 ,4.7,83.24,
0 , 3 MiB, 49140 MiB,15.89 ,4.7,84.28,
0 , 3 MiB, 49140 MiB,16.06 ,7.6,85.32,
0 , 3 MiB, 49140 MiB,16.00 ,39.6,86.37,
0 , 3 MiB, 49140 MiB,16.21 ,36.3,87.41,
0 , 3 MiB, 49140 MiB,15.57 ,7.6,88.47,
0 , 3 MiB, 49140 MiB,15.94 ,5.6,89.51,
0 , 3 MiB, 49140 MiB,15.82 ,4.7,90.55,
0 , 3 MiB, 49140 MiB,16.18 ,4.7,91.59,
0 , 3 MiB, 49140 MiB,15.77 ,4.7,92.64,
0 , 3 MiB, 49140 MiB,16.09 ,4.8,93.68,
0 , 3 MiB, 49140 MiB,16.29 ,12.1,94.73,
0 , 3 MiB, 49140 MiB,16.78 ,43.7,95.79,
0 , 3 MiB, 49140 MiB,16.08 ,27.3,96.84,
0 , 3 MiB, 49140 MiB,15.98 ,6.6,97.91,
0 , 3 MiB, 49140 MiB,17.67 ,4.9,98.96,
0 , 3 MiB, 49140 MiB,15.89 ,4.5,100.0,
0 , 3 MiB, 49140 MiB,16.02 ,4.7,101.05,
0 , 3 MiB, 49140 MiB,15.98 ,4.6,102.1,
0 , 3 MiB, 49140 MiB,15.91 ,4.5,103.14,
0 , 3 MiB, 49140 MiB,16.22 ,16.1,104.18,
0 , 3 MiB, 49140 MiB,16.44 ,35.5,105.24,
0 , 3 MiB, 49140 MiB,15.78 ,29.9,106.29,
0 , 3 MiB, 49140 MiB,15.93 ,6.0,107.33,
0 , 3 MiB, 49140 MiB,15.95 ,4.7,108.39,
0 , 3 MiB, 49140 MiB,16.02 ,5.0,109.44,
0 , 3 MiB, 49140 MiB,16.14 ,4.9,110.48,
