utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 47141 MiB, 49140 MiB,65.00 ,3.2,1.08,
0 , 47141 MiB, 49140 MiB,64.81 ,3.1,2.13,
0 , 47141 MiB, 49140 MiB,65.39 ,3.2,3.18,
0 , 47141 MiB, 49140 MiB,64.82 ,27.1,4.22,
0 , 47141 MiB, 49140 MiB,65.45 ,37.9,5.28,
0 , 47141 MiB, 49140 MiB,65.21 ,18.1,6.33,
6 , 47371 MiB, 49140 MiB,65.82 ,3.4,7.39,
6 , 47769 MiB, 49140 MiB,66.38 ,3.2,8.48,
5 , 47791 MiB, 49140 MiB,78.19 ,3.2,9.54,
5 , 47791 MiB, 49140 MiB,74.48 ,3.2,10.6,
5 , 47791 MiB, 49140 MiB,78.35 ,3.2,11.67,
6 , 47791 MiB, 49140 MiB,74.64 ,3.2,12.73,
1 , 47791 MiB, 49140 MiB,65.62 ,28.5,13.83,
6 , 47791 MiB, 49140 MiB,78.34 ,31.7,14.89,
6 , 47791 MiB, 49140 MiB,78.10 ,7.7,15.96,
5 , 47791 MiB, 49140 MiB,73.89 ,3.2,17.02,
6 , 47791 MiB, 49140 MiB,78.24 ,3.2,18.08,
6 , 47791 MiB, 49140 MiB,74.19 ,4.0,19.15,
5 , 47791 MiB, 49140 MiB,74.57 ,3.5,20.22,
6 , 47791 MiB, 49140 MiB,78.96 ,3.2,21.28,
5 , 47791 MiB, 49140 MiB,79.10 ,9.3,22.34,
5 , 47791 MiB, 49140 MiB,74.59 ,37.7,23.42,
6 , 47791 MiB, 49140 MiB,74.61 ,28.0,24.49,
5 , 47791 MiB, 49140 MiB,78.95 ,6.1,25.56,
5 , 47791 MiB, 49140 MiB,74.83 ,3.2,26.62,
6 , 47791 MiB, 49140 MiB,79.48 ,3.2,27.69,
6 , 47791 MiB, 49140 MiB,75.02 ,3.2,28.75,
5 , 47791 MiB, 49140 MiB,75.04 ,3.2,29.82,
6 , 47791 MiB, 49140 MiB,75.43 ,3.2,30.89,
6 , 47791 MiB, 49140 MiB,79.96 ,14.8,31.96,
6 , 47791 MiB, 49140 MiB,75.53 ,21.9,33.02,
2 , 47791 MiB, 49140 MiB,71.33 ,20.9,34.13,
4 , 47791 MiB, 49140 MiB,75.86 ,3.5,35.2,
6 , 47791 MiB, 49140 MiB,80.34 ,3.2,36.26,
6 , 47791 MiB, 49140 MiB,76.43 ,3.4,37.34,
5 , 47791 MiB, 49140 MiB,76.46 ,3.3,38.41,
5 , 47791 MiB, 49140 MiB,78.49 ,3.2,39.48,
6 , 47791 MiB, 49140 MiB,80.31 ,31.9,40.54,
6 , 47791 MiB, 49140 MiB,76.34 ,31.5,41.62,
6 , 47791 MiB, 49140 MiB,74.26 ,22.3,42.7,
6 , 47791 MiB, 49140 MiB,76.59 ,4.2,43.77,
6 , 47791 MiB, 49140 MiB,80.69 ,3.2,44.85,
6 , 47791 MiB, 49140 MiB,76.67 ,3.2,45.93,
5 , 47791 MiB, 49140 MiB,76.51 ,3.3,47.01,
6 , 47791 MiB, 49140 MiB,76.38 ,3.2,48.09,
5 , 47791 MiB, 49140 MiB,80.77 ,5.6,49.17,
6 , 47791 MiB, 49140 MiB,80.53 ,35.7,50.24,
5 , 47791 MiB, 49140 MiB,76.88 ,38.4,51.32,
4 , 47791 MiB, 49140 MiB,76.72 ,13.2,52.39,
5 , 47791 MiB, 49140 MiB,80.92 ,3.3,53.47,
5 , 47791 MiB, 49140 MiB,80.98 ,3.2,54.55,
5 , 47791 MiB, 49140 MiB,76.59 ,3.2,55.62,
5 , 47791 MiB, 49140 MiB,76.77 ,3.2,56.7,
6 , 47791 MiB, 49140 MiB,77.07 ,3.2,57.77,
6 , 47791 MiB, 49140 MiB,81.11 ,6.6,58.85,
6 , 47791 MiB, 49140 MiB,76.99 ,26.6,59.93,
5 , 47791 MiB, 49140 MiB,76.70 ,32.7,61.0,
6 , 47791 MiB, 49140 MiB,81.12 ,4.6,62.07,
6 , 47791 MiB, 49140 MiB,81.13 ,3.4,63.15,
