utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,
0 , 23163 MiB, 24576 MiB,59.71 W,7.8,1.1,
0 , 23163 MiB, 24576 MiB,59.77 W,7.9,2.15,
0 , 23163 MiB, 24576 MiB,59.64 W,8.1,3.2,
0 , 23163 MiB, 24576 MiB,59.62 W,8.0,4.25,
0 , 23163 MiB, 24576 MiB,59.60 W,7.9,5.3,
0 , 23163 MiB, 24576 MiB,59.54 W,9.2,6.35,
0 , 23163 MiB, 24576 MiB,59.52 W,8.0,7.39,
0 , 23163 MiB, 24576 MiB,59.59 W,7.8,8.44,
0 , 23163 MiB, 24576 MiB,59.56 W,8.3,9.5,
0 , 23163 MiB, 24576 MiB,59.54 W,8.0,10.55,
1 , 23407 MiB, 24576 MiB,59.64 W,7.9,11.61,
5 , 23633 MiB, 24576 MiB,83.46 W,8.1,12.68,
27 , 23633 MiB, 24576 MiB,90.09 W,8.0,13.74,
5 , 23633 MiB, 24576 MiB,75.28 W,8.1,14.81,
5 , 23633 MiB, 24576 MiB,61.76 W,8.0,15.88,
7 , 23633 MiB, 24576 MiB,61.77 W,8.3,16.95,
7 , 23633 MiB, 24576 MiB,61.94 W,8.3,18.01,
7 , 23633 MiB, 24576 MiB,61.87 W,8.1,19.08,
7 , 23633 MiB, 24576 MiB,62.02 W,8.2,20.15,
7 , 23633 MiB, 24576 MiB,62.02 W,8.8,21.22,
7 , 23633 MiB, 24576 MiB,61.76 W,8.5,22.28,
7 , 23633 MiB, 24576 MiB,60.62 W,7.8,23.36,
7 , 23633 MiB, 24576 MiB,63.86 W,8.6,24.44,
6 , 23633 MiB, 24576 MiB,61.93 W,8.1,25.5,
7 , 23633 MiB, 24576 MiB,61.68 W,8.2,26.57,
7 , 23633 MiB, 24576 MiB,63.97 W,8.1,27.64,
7 , 23633 MiB, 24576 MiB,62.10 W,8.2,28.71,
7 , 23633 MiB, 24576 MiB,61.82 W,8.1,29.78,
7 , 23633 MiB, 24576 MiB,63.78 W,8.0,30.85,
7 , 23633 MiB, 24576 MiB,62.39 W,8.2,31.93,
7 , 23633 MiB, 24576 MiB,61.80 W,8.1,33.01,
7 , 23633 MiB, 24576 MiB,61.73 W,7.9,34.09,
7 , 23633 MiB, 24576 MiB,63.46 W,8.2,35.17,
7 , 23633 MiB, 24576 MiB,62.38 W,8.5,36.23,
6 , 23633 MiB, 24576 MiB,63.13 W,8.3,37.31,
7 , 23633 MiB, 24576 MiB,63.74 W,8.8,38.38,
7 , 23633 MiB, 24576 MiB,61.69 W,8.5,39.46,
7 , 23633 MiB, 24576 MiB,61.68 W,8.4,40.53,
7 , 23633 MiB, 24576 MiB,63.89 W,8.1,41.6,
7 , 23633 MiB, 24576 MiB,61.70 W,8.2,42.68,
7 , 23633 MiB, 24576 MiB,61.90 W,8.1,43.77,
6 , 23633 MiB, 24576 MiB,61.72 W,8.0,44.85,
6 , 23633 MiB, 24576 MiB,61.53 W,8.1,45.92,
7 , 23633 MiB, 24576 MiB,61.54 W,8.1,47.01,
7 , 23633 MiB, 24576 MiB,61.72 W,8.1,48.08,
7 , 23633 MiB, 24576 MiB,61.36 W,7.8,49.16,
5 , 23633 MiB, 24576 MiB,61.71 W,8.2,50.24,
6 , 23633 MiB, 24576 MiB,61.56 W,8.7,51.33,
6 , 23633 MiB, 24576 MiB,61.44 W,8.3,52.4,
6 , 23633 MiB, 24576 MiB,61.86 W,8.2,53.48,
7 , 23633 MiB, 24576 MiB,61.56 W,8.6,54.56,
7 , 23633 MiB, 24576 MiB,61.56 W,8.1,55.64,
7 , 23633 MiB, 24576 MiB,61.51 W,8.1,56.71,
7 , 23633 MiB, 24576 MiB,63.40 W,8.2,57.79,
7 , 23633 MiB, 24576 MiB,61.42 W,7.9,58.86,
7 , 23633 MiB, 24576 MiB,61.67 W,8.3,59.95,
7 , 23633 MiB, 24576 MiB,61.62 W,8.0,61.02,
7 , 23633 MiB, 24576 MiB,63.11 W,8.2,62.1,
7 , 23633 MiB, 24576 MiB,61.68 W,8.0,63.18,
7 , 23633 MiB, 24576 MiB,60.51 W,7.9,64.26,
7 , 23633 MiB, 24576 MiB,61.60 W,8.0,65.33,
7 , 23633 MiB, 24576 MiB,63.13 W,8.9,66.41,
7 , 23633 MiB, 24576 MiB,61.58 W,8.5,67.48,
7 , 23633 MiB, 24576 MiB,60.34 W,8.0,68.56,
