utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,
0 , 3 MiB, 24576 MiB,16.03 W,7.8,1.05,
0 , 3 MiB, 24576 MiB,12.77 W,8.0,2.09,
0 , 3 MiB, 24576 MiB,13.05 W,8.4,3.12,
0 , 3 MiB, 24576 MiB,13.03 W,8.2,4.15,
0 , 3 MiB, 24576 MiB,13.02 W,8.1,5.18,
0 , 3 MiB, 24576 MiB,13.27 W,7.8,6.21,
0 , 3 MiB, 24576 MiB,13.97 W,7.7,7.24,
0 , 3 MiB, 24576 MiB,13.91 W,7.8,8.28,
0 , 3 MiB, 24576 MiB,13.53 W,7.9,9.31,
0 , 3 MiB, 24576 MiB,12.69 W,7.9,10.35,
0 , 3 MiB, 24576 MiB,12.65 W,8.0,11.38,
0 , 3 MiB, 24576 MiB,12.64 W,8.1,12.42,
0 , 3 MiB, 24576 MiB,12.73 W,8.2,13.45,
0 , 3 MiB, 24576 MiB,12.77 W,8.4,14.48,
0 , 3 MiB, 24576 MiB,12.52 W,8.1,15.51,
0 , 3 MiB, 24576 MiB,12.37 W,7.8,16.55,
0 , 3 MiB, 24576 MiB,12.44 W,8.1,17.58,
0 , 3 MiB, 24576 MiB,12.15 W,13.6,18.62,
0 , 3 MiB, 24576 MiB,11.74 W,9.8,19.65,
0 , 3 MiB, 24576 MiB,11.79 W,7.8,20.68,
0 , 3 MiB, 24576 MiB,11.33 W,7.7,21.71,
0 , 3 MiB, 24576 MiB,11.55 W,7.7,22.75,
0 , 3 MiB, 24576 MiB,10.92 W,7.8,23.78,
0 , 3 MiB, 24576 MiB,10.65 W,8.0,24.81,
0 , 3 MiB, 24576 MiB,11.03 W,7.9,25.85,
0 , 3 MiB, 24576 MiB,11.11 W,7.9,26.88,
0 , 3 MiB, 24576 MiB,11.31 W,8.1,27.91,
0 , 3 MiB, 24576 MiB,11.78 W,8.2,28.95,
0 , 3 MiB, 24576 MiB,11.51 W,8.3,29.98,
0 , 3 MiB, 24576 MiB,11.49 W,7.9,31.02,
0 , 3 MiB, 24576 MiB,11.30 W,8.2,32.05,
