utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,
1 , 23163 MiB, 24576 MiB,58.58 W,8.0,1.1,
0 , 23163 MiB, 24576 MiB,58.70 W,8.0,2.15,
0 , 23163 MiB, 24576 MiB,58.60 W,8.0,3.2,
0 , 23163 MiB, 24576 MiB,58.72 W,7.7,4.25,
0 , 23163 MiB, 24576 MiB,58.58 W,7.9,5.3,
0 , 23163 MiB, 24576 MiB,58.73 W,8.0,6.34,
0 , 23163 MiB, 24576 MiB,58.50 W,8.1,7.4,
0 , 23163 MiB, 24576 MiB,58.78 W,8.0,8.44,
2 , 23493 MiB, 24576 MiB,58.74 W,7.9,9.51,
5 , 23633 MiB, 24576 MiB,82.54 W,8.2,10.59,
17 , 23633 MiB, 24576 MiB,84.02 W,8.3,11.67,
1 , 23633 MiB, 24576 MiB,59.87 W,8.2,12.74,
1 , 23633 MiB, 24576 MiB,59.62 W,8.3,13.81,
2 , 23633 MiB, 24576 MiB,59.24 W,8.7,14.89,
2 , 23633 MiB, 24576 MiB,58.88 W,8.2,15.97,
1 , 23633 MiB, 24576 MiB,59.17 W,8.7,17.05,
1 , 23633 MiB, 24576 MiB,58.84 W,8.5,18.13,
2 , 23633 MiB, 24576 MiB,58.82 W,8.5,19.2,
1 , 23633 MiB, 24576 MiB,58.97 W,8.4,20.27,
1 , 23633 MiB, 24576 MiB,59.04 W,8.4,21.34,
1 , 23633 MiB, 24576 MiB,58.91 W,8.0,22.42,
1 , 23633 MiB, 24576 MiB,59.19 W,8.0,23.48,
2 , 23633 MiB, 24576 MiB,59.12 W,8.3,24.55,
2 , 23633 MiB, 24576 MiB,58.88 W,8.2,25.62,
1 , 23633 MiB, 24576 MiB,58.84 W,8.2,26.69,
1 , 23633 MiB, 24576 MiB,58.99 W,8.1,27.76,
1 , 23633 MiB, 24576 MiB,59.08 W,8.1,28.84,
1 , 23633 MiB, 24576 MiB,59.19 W,8.8,29.91,
1 , 23633 MiB, 24576 MiB,59.10 W,8.1,30.99,
2 , 23633 MiB, 24576 MiB,59.13 W,8.3,32.08,
1 , 23633 MiB, 24576 MiB,58.99 W,8.4,33.14,
1 , 23633 MiB, 24576 MiB,59.18 W,8.7,34.21,
2 , 23633 MiB, 24576 MiB,58.94 W,7.9,35.3,
1 , 23633 MiB, 24576 MiB,59.00 W,8.5,36.38,
1 , 23633 MiB, 24576 MiB,58.87 W,8.2,37.45,
1 , 23633 MiB, 24576 MiB,59.27 W,8.3,38.53,
1 , 23633 MiB, 24576 MiB,59.31 W,8.4,39.6,
1 , 23633 MiB, 24576 MiB,59.25 W,8.2,40.68,
1 , 23633 MiB, 24576 MiB,59.22 W,8.3,41.76,
2 , 23633 MiB, 24576 MiB,59.19 W,8.0,42.85,
1 , 23633 MiB, 24576 MiB,59.16 W,8.4,43.93,
1 , 23633 MiB, 24576 MiB,59.02 W,9.1,45.02,
1 , 23633 MiB, 24576 MiB,59.19 W,8.2,46.1,
1 , 23633 MiB, 24576 MiB,59.04 W,8.1,47.18,
2 , 23633 MiB, 24576 MiB,59.09 W,8.2,48.27,
1 , 23633 MiB, 24576 MiB,59.28 W,8.4,49.37,
1 , 23633 MiB, 24576 MiB,59.30 W,8.1,50.44,
1 , 23633 MiB, 24576 MiB,59.33 W,8.2,51.52,
2 , 23633 MiB, 24576 MiB,59.12 W,8.3,52.6,
2 , 23633 MiB, 24576 MiB,59.05 W,8.2,53.68,
1 , 23633 MiB, 24576 MiB,59.14 W,8.3,54.76,
2 , 23633 MiB, 24576 MiB,59.05 W,8.3,55.84,
1 , 23633 MiB, 24576 MiB,59.05 W,8.1,56.91,
1 , 23633 MiB, 24576 MiB,59.26 W,8.1,57.99,
2 , 23633 MiB, 24576 MiB,59.08 W,8.3,59.06,
1 , 23633 MiB, 24576 MiB,58.97 W,8.9,60.15,
1 , 23633 MiB, 24576 MiB,59.10 W,8.5,61.23,
1 , 23633 MiB, 24576 MiB,59.25 W,8.3,62.31,
1 , 23633 MiB, 24576 MiB,59.14 W,8.2,63.39,
1 , 23633 MiB, 24576 MiB,59.03 W,8.2,64.48,
2 , 23633 MiB, 24576 MiB,59.06 W,8.1,65.57,
1 , 23633 MiB, 24576 MiB,59.03 W,8.0,66.65,
1 , 23633 MiB, 24576 MiB,59.15 W,8.1,67.73,
1 , 23633 MiB, 24576 MiB,59.13 W,8.1,68.81,
1 , 23633 MiB, 24576 MiB,59.17 W,8.3,69.89,
1 , 23633 MiB, 24576 MiB,58.97 W,8.0,70.97,
1 , 23633 MiB, 24576 MiB,58.98 W,8.2,72.05,
1 , 23633 MiB, 24576 MiB,59.18 W,8.2,73.13,
1 , 23633 MiB, 24576 MiB,59.28 W,8.2,74.22,
1 , 23633 MiB, 24576 MiB,59.04 W,9.4,75.3,
1 , 23633 MiB, 24576 MiB,59.24 W,8.0,76.38,
2 , 23633 MiB, 24576 MiB,58.92 W,8.9,77.47,
2 , 23633 MiB, 24576 MiB,59.32 W,8.3,78.56,
1 , 23633 MiB, 24576 MiB,59.20 W,8.6,79.64,
2 , 23633 MiB, 24576 MiB,59.14 W,8.0,80.72,
1 , 23633 MiB, 24576 MiB,59.35 W,8.4,81.8,
2 , 23633 MiB, 24576 MiB,59.48 W,8.0,82.88,
1 , 23633 MiB, 24576 MiB,59.26 W,8.3,83.98,
1 , 23633 MiB, 24576 MiB,59.18 W,8.2,85.06,
1 , 23633 MiB, 24576 MiB,58.82 W,8.2,86.15,
2 , 23633 MiB, 24576 MiB,58.85 W,8.0,87.23,
1 , 23633 MiB, 24576 MiB,59.02 W,8.1,88.31,
2 , 23633 MiB, 24576 MiB,59.07 W,8.3,89.4,
1 , 23633 MiB, 24576 MiB,58.99 W,9.4,90.49,
1 , 23633 MiB, 24576 MiB,59.11 W,8.1,91.57,
1 , 23633 MiB, 24576 MiB,59.07 W,8.2,92.65,
2 , 23633 MiB, 24576 MiB,59.12 W,8.1,93.73,
