utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,
0 , 3 MiB, 24576 MiB,13.15 W,7.8,1.06,
0 , 3 MiB, 24576 MiB,13.91 W,7.7,2.1,
0 , 3 MiB, 24576 MiB,13.49 W,8.1,3.14,
0 , 3 MiB, 24576 MiB,13.55 W,8.7,4.17,
0 , 3 MiB, 24576 MiB,13.65 W,8.0,5.21,
0 , 3 MiB, 24576 MiB,13.76 W,7.8,6.25,
0 , 3 MiB, 24576 MiB,13.29 W,7.5,7.28,
0 , 3 MiB, 24576 MiB,13.48 W,7.9,8.32,
0 , 3 MiB, 24576 MiB,13.16 W,8.8,9.35,
0 , 3 MiB, 24576 MiB,13.10 W,8.4,10.39,
0 , 3 MiB, 24576 MiB,13.45 W,8.8,11.42,
0 , 3 MiB, 24576 MiB,14.02 W,8.5,12.46,
0 , 3 MiB, 24576 MiB,13.92 W,8.6,13.5,
0 , 3 MiB, 24576 MiB,13.71 W,8.6,14.55,
0 , 3 MiB, 24576 MiB,13.35 W,8.6,15.58,
0 , 3 MiB, 24576 MiB,12.87 W,8.6,16.61,
0 , 3 MiB, 24576 MiB,12.87 W,8.6,17.65,
0 , 3 MiB, 24576 MiB,13.02 W,8.5,18.68,
0 , 3 MiB, 24576 MiB,12.99 W,9.3,19.72,
0 , 3 MiB, 24576 MiB,13.23 W,8.8,20.76,
0 , 3 MiB, 24576 MiB,12.62 W,8.4,21.8,
0 , 3 MiB, 24576 MiB,12.66 W,8.5,22.84,
0 , 3 MiB, 24576 MiB,12.51 W,8.8,23.88,
0 , 3 MiB, 24576 MiB,12.13 W,8.7,24.93,
0 , 3 MiB, 24576 MiB,12.25 W,8.6,25.97,
0 , 3 MiB, 24576 MiB,11.94 W,8.6,27.01,
0 , 3 MiB, 24576 MiB,12.17 W,8.6,28.05,
0 , 3 MiB, 24576 MiB,11.80 W,8.4,29.09,
0 , 3 MiB, 24576 MiB,12.00 W,8.7,30.14,
0 , 3 MiB, 24576 MiB,11.87 W,8.7,31.17,
0 , 3 MiB, 24576 MiB,11.33 W,8.6,32.21,
0 , 3 MiB, 24576 MiB,12.01 W,8.9,33.26,
0 , 3 MiB, 24576 MiB,11.45 W,12.0,34.3,
0 , 3 MiB, 24576 MiB,11.36 W,13.1,35.34,
0 , 3 MiB, 24576 MiB,11.72 W,8.9,36.39,
0 , 3 MiB, 24576 MiB,11.54 W,8.4,37.43,
0 , 3 MiB, 24576 MiB,10.81 W,8.5,38.47,
0 , 3 MiB, 24576 MiB,11.41 W,9.1,39.51,
0 , 3 MiB, 24576 MiB,11.61 W,8.5,40.55,
0 , 3 MiB, 24576 MiB,11.80 W,8.7,41.59,
0 , 3 MiB, 24576 MiB,11.20 W,8.7,42.63,
0 , 3 MiB, 24576 MiB,11.43 W,8.7,43.68,
0 , 3 MiB, 24576 MiB,11.33 W,8.6,44.71,
0 , 3 MiB, 24576 MiB,10.96 W,8.7,45.76,
0 , 3 MiB, 24576 MiB,10.88 W,8.5,46.81,
0 , 3 MiB, 24576 MiB,10.71 W,8.6,47.85,
0 , 3 MiB, 24576 MiB,10.48 W,8.8,48.9,
0 , 3 MiB, 24576 MiB,10.49 W,9.3,49.94,
0 , 3 MiB, 24576 MiB,10.82 W,8.5,50.99,
0 , 3 MiB, 24576 MiB,11.19 W,8.6,52.03,
0 , 3 MiB, 24576 MiB,11.00 W,8.8,53.07,
0 , 3 MiB, 24576 MiB,11.22 W,8.5,54.11,
0 , 3 MiB, 24576 MiB,11.10 W,9.1,55.16,
0 , 3 MiB, 24576 MiB,10.97 W,8.6,56.21,
0 , 3 MiB, 24576 MiB,10.51 W,8.4,57.26,
0 , 3 MiB, 24576 MiB,10.80 W,10.0,58.29,
0 , 3 MiB, 24576 MiB,10.48 W,8.8,59.33,
0 , 3 MiB, 24576 MiB,10.96 W,8.4,60.38,
0 , 3 MiB, 24576 MiB,10.51 W,8.5,61.43,
0 , 3 MiB, 24576 MiB,11.13 W,8.7,62.47,
0 , 3 MiB, 24576 MiB,10.97 W,8.7,63.52,
0 , 3 MiB, 24576 MiB,11.05 W,9.9,64.57,
0 , 3 MiB, 24576 MiB,11.27 W,8.7,65.61,
0 , 3 MiB, 24576 MiB,11.37 W,8.5,66.66,
0 , 3 MiB, 24576 MiB,10.62 W,8.8,67.7,
0 , 3 MiB, 24576 MiB,10.65 W,8.6,68.75,
0 , 3 MiB, 24576 MiB,10.66 W,9.1,69.79,
0 , 3 MiB, 24576 MiB,10.56 W,8.4,70.83,
0 , 3 MiB, 24576 MiB,10.72 W,8.5,71.88,
0 , 3 MiB, 24576 MiB,11.06 W,8.4,72.93,
0 , 3 MiB, 24576 MiB,10.53 W,8.4,73.97,
0 , 3 MiB, 24576 MiB,11.27 W,8.2,75.02,
0 , 3 MiB, 24576 MiB,11.07 W,8.5,76.06,
0 , 3 MiB, 24576 MiB,10.40 W,8.6,77.11,
0 , 3 MiB, 24576 MiB,10.64 W,8.7,78.16,
0 , 3 MiB, 24576 MiB,10.90 W,9.1,79.21,
0 , 3 MiB, 24576 MiB,11.03 W,8.8,80.26,
0 , 3 MiB, 24576 MiB,10.90 W,8.7,81.3,
0 , 3 MiB, 24576 MiB,10.89 W,8.4,82.35,
0 , 3 MiB, 24576 MiB,11.03 W,9.1,83.41,
0 , 3 MiB, 24576 MiB,11.24 W,8.7,84.46,
0 , 3 MiB, 24576 MiB,10.76 W,9.2,85.51,
0 , 3 MiB, 24576 MiB,11.26 W,8.7,86.56,
0 , 3 MiB, 24576 MiB,10.85 W,8.5,87.62,
0 , 3 MiB, 24576 MiB,11.79 W,8.6,88.67,
0 , 3 MiB, 24576 MiB,11.42 W,8.7,89.72,
0 , 3 MiB, 24576 MiB,10.76 W,8.6,90.77,
0 , 3 MiB, 24576 MiB,11.24 W,8.5,91.83,
0 , 3 MiB, 24576 MiB,11.52 W,8.3,92.87,
0 , 3 MiB, 24576 MiB,11.37 W,9.2,93.92,
0 , 3 MiB, 24576 MiB,10.85 W,9.4,94.98,
0 , 3 MiB, 24576 MiB,10.72 W,8.9,96.03,
