utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,
0 , 3 MiB, 24576 MiB,11.03 W,7.8,1.06,
0 , 3 MiB, 24576 MiB,11.21 W,7.6,2.09,
0 , 3 MiB, 24576 MiB,10.90 W,7.8,3.13,
0 , 3 MiB, 24576 MiB,10.89 W,7.9,4.16,
0 , 3 MiB, 24576 MiB,11.07 W,8.0,5.19,
0 , 3 MiB, 24576 MiB,10.48 W,7.5,6.23,
0 , 3 MiB, 24576 MiB,10.76 W,7.7,7.26,
0 , 3 MiB, 24576 MiB,10.84 W,8.6,8.3,
0 , 3 MiB, 24576 MiB,10.65 W,8.0,9.33,
0 , 3 MiB, 24576 MiB,10.40 W,7.9,10.37,
0 , 3 MiB, 24576 MiB,10.65 W,7.9,11.4,
0 , 3 MiB, 24576 MiB,10.71 W,7.9,12.44,
0 , 3 MiB, 24576 MiB,10.61 W,8.1,13.47,
