utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,
1 , 23163 MiB, 24576 MiB,58.70 W,8.4,1.1,
0 , 23163 MiB, 24576 MiB,58.74 W,8.3,2.14,
0 , 23163 MiB, 24576 MiB,58.88 W,9.5,3.19,
0 , 23163 MiB, 24576 MiB,58.80 W,7.9,4.24,
0 , 23163 MiB, 24576 MiB,58.78 W,8.3,5.29,
0 , 23163 MiB, 24576 MiB,58.78 W,8.0,6.34,
0 , 23163 MiB, 24576 MiB,58.85 W,7.8,7.38,
0 , 23163 MiB, 24576 MiB,58.71 W,7.9,8.43,
3 , 23415 MiB, 24576 MiB,58.92 W,8.0,9.5,
5 , 23633 MiB, 24576 MiB,100.52 W,8.1,10.56,
25 , 23633 MiB, 24576 MiB,84.35 W,8.1,11.64,
2 , 23633 MiB, 24576 MiB,59.93 W,8.3,12.7,
2 , 23633 MiB, 24576 MiB,59.84 W,8.3,13.77,
2 , 23633 MiB, 24576 MiB,59.80 W,8.0,14.85,
2 , 23633 MiB, 24576 MiB,60.03 W,8.4,15.93,
2 , 23633 MiB, 24576 MiB,60.14 W,8.4,17.0,
2 , 23633 MiB, 24576 MiB,60.12 W,8.5,18.07,
2 , 23633 MiB, 24576 MiB,59.98 W,8.4,19.15,
2 , 23633 MiB, 24576 MiB,60.00 W,8.2,20.22,
2 , 23633 MiB, 24576 MiB,59.87 W,8.2,21.3,
2 , 23633 MiB, 24576 MiB,59.81 W,8.1,22.36,
2 , 23633 MiB, 24576 MiB,60.06 W,8.0,23.43,
2 , 23633 MiB, 24576 MiB,59.66 W,8.3,24.5,
2 , 23633 MiB, 24576 MiB,59.73 W,8.3,25.57,
2 , 23633 MiB, 24576 MiB,59.81 W,8.3,26.65,
2 , 23633 MiB, 24576 MiB,59.40 W,8.7,27.73,
2 , 23633 MiB, 24576 MiB,59.51 W,8.4,28.8,
2 , 23633 MiB, 24576 MiB,59.98 W,7.9,29.87,
2 , 23633 MiB, 24576 MiB,59.83 W,7.9,30.94,
2 , 23633 MiB, 24576 MiB,59.64 W,8.2,32.02,
2 , 23633 MiB, 24576 MiB,59.65 W,8.6,33.09,
2 , 23633 MiB, 24576 MiB,59.88 W,8.1,34.17,
2 , 23633 MiB, 24576 MiB,59.67 W,8.3,35.23,
2 , 23633 MiB, 24576 MiB,59.63 W,7.9,36.31,
2 , 23633 MiB, 24576 MiB,59.63 W,7.9,37.38,
2 , 23633 MiB, 24576 MiB,59.60 W,8.2,38.46,
2 , 23633 MiB, 24576 MiB,59.53 W,8.1,39.54,
2 , 23633 MiB, 24576 MiB,59.73 W,8.1,40.61,
2 , 23633 MiB, 24576 MiB,59.95 W,8.2,41.7,
2 , 23633 MiB, 24576 MiB,59.88 W,8.7,42.77,
2 , 23633 MiB, 24576 MiB,59.69 W,8.2,43.85,
2 , 23633 MiB, 24576 MiB,60.09 W,8.1,44.93,
2 , 23633 MiB, 24576 MiB,59.58 W,8.0,46.01,
2 , 23633 MiB, 24576 MiB,59.71 W,8.5,47.08,
2 , 23633 MiB, 24576 MiB,59.68 W,8.7,48.16,
2 , 23633 MiB, 24576 MiB,60.01 W,8.1,49.24,
2 , 23633 MiB, 24576 MiB,59.74 W,8.0,50.32,
2 , 23633 MiB, 24576 MiB,59.70 W,8.4,51.4,
2 , 23633 MiB, 24576 MiB,60.08 W,8.0,52.48,
2 , 23633 MiB, 24576 MiB,60.01 W,8.2,53.55,
2 , 23633 MiB, 24576 MiB,59.55 W,8.0,54.63,
2 , 23633 MiB, 24576 MiB,59.81 W,8.2,55.71,
2 , 23633 MiB, 24576 MiB,60.06 W,8.2,56.79,
