utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,
0 , 3 MiB, 24576 MiB,14.01 W,8.3,1.07,
0 , 3 MiB, 24576 MiB,13.75 W,8.2,2.11,
0 , 3 MiB, 24576 MiB,13.76 W,8.4,3.14,
0 , 3 MiB, 24576 MiB,13.21 W,8.5,4.17,
0 , 3 MiB, 24576 MiB,13.67 W,7.9,5.21,
0 , 3 MiB, 24576 MiB,13.97 W,7.5,6.25,
0 , 3 MiB, 24576 MiB,13.43 W,8.0,7.28,
0 , 3 MiB, 24576 MiB,13.32 W,8.0,8.32,
0 , 3 MiB, 24576 MiB,13.51 W,8.1,9.35,
0 , 3 MiB, 24576 MiB,13.52 W,8.8,10.38,
0 , 3 MiB, 24576 MiB,13.38 W,8.6,11.42,
0 , 3 MiB, 24576 MiB,13.33 W,8.9,12.45,
0 , 3 MiB, 24576 MiB,13.22 W,10.1,13.49,
0 , 3 MiB, 24576 MiB,12.94 W,8.7,14.53,
0 , 3 MiB, 24576 MiB,13.01 W,9.8,15.56,
0 , 3 MiB, 24576 MiB,12.93 W,8.4,16.6,
0 , 3 MiB, 24576 MiB,12.86 W,8.9,17.63,
0 , 3 MiB, 24576 MiB,12.73 W,9.2,18.67,
0 , 3 MiB, 24576 MiB,12.67 W,9.2,19.71,
0 , 3 MiB, 24576 MiB,12.26 W,8.9,20.75,
0 , 3 MiB, 24576 MiB,12.27 W,8.8,21.78,
0 , 3 MiB, 24576 MiB,12.32 W,8.6,22.82,
0 , 3 MiB, 24576 MiB,13.12 W,8.6,23.85,
0 , 3 MiB, 24576 MiB,13.26 W,8.9,24.9,
0 , 3 MiB, 24576 MiB,13.13 W,8.8,25.94,
0 , 3 MiB, 24576 MiB,12.33 W,8.6,26.98,
0 , 3 MiB, 24576 MiB,12.18 W,8.6,28.01,
0 , 3 MiB, 24576 MiB,12.14 W,9.6,29.05,
0 , 3 MiB, 24576 MiB,12.01 W,8.7,30.1,
0 , 3 MiB, 24576 MiB,12.08 W,8.9,31.13,
0 , 3 MiB, 24576 MiB,12.28 W,8.5,32.17,
0 , 3 MiB, 24576 MiB,11.93 W,9.2,33.22,
0 , 3 MiB, 24576 MiB,11.79 W,8.8,34.25,
0 , 3 MiB, 24576 MiB,12.15 W,9.4,35.3,
0 , 3 MiB, 24576 MiB,12.16 W,8.9,36.33,
0 , 3 MiB, 24576 MiB,11.52 W,8.6,37.37,
0 , 3 MiB, 24576 MiB,11.62 W,8.4,38.41,
0 , 3 MiB, 24576 MiB,11.24 W,8.8,39.45,
0 , 3 MiB, 24576 MiB,11.65 W,8.8,40.49,
0 , 3 MiB, 24576 MiB,11.44 W,8.9,41.54,
0 , 3 MiB, 24576 MiB,11.40 W,8.6,42.58,
0 , 3 MiB, 24576 MiB,11.23 W,9.4,43.63,
0 , 3 MiB, 24576 MiB,11.13 W,8.9,44.67,
0 , 3 MiB, 24576 MiB,10.89 W,8.7,45.7,
0 , 3 MiB, 24576 MiB,10.93 W,8.6,46.75,
0 , 3 MiB, 24576 MiB,11.05 W,8.6,47.79,
0 , 3 MiB, 24576 MiB,10.68 W,9.1,48.83,
0 , 3 MiB, 24576 MiB,10.64 W,9.1,49.88,
0 , 3 MiB, 24576 MiB,11.31 W,8.8,50.92,
0 , 3 MiB, 24576 MiB,11.29 W,8.7,51.96,
0 , 3 MiB, 24576 MiB,11.14 W,8.8,53.01,
0 , 3 MiB, 24576 MiB,11.08 W,8.9,54.05,
0 , 3 MiB, 24576 MiB,11.13 W,8.8,55.1,
0 , 3 MiB, 24576 MiB,10.94 W,8.5,56.14,
0 , 3 MiB, 24576 MiB,11.14 W,8.6,57.18,
0 , 3 MiB, 24576 MiB,10.84 W,9.3,58.22,
0 , 3 MiB, 24576 MiB,11.08 W,9.1,59.26,
0 , 3 MiB, 24576 MiB,11.11 W,8.8,60.3,
0 , 3 MiB, 24576 MiB,10.40 W,8.7,61.34,
0 , 3 MiB, 24576 MiB,10.83 W,9.0,62.39,
0 , 3 MiB, 24576 MiB,11.39 W,9.0,63.43,
0 , 3 MiB, 24576 MiB,11.19 W,8.8,64.48,
0 , 3 MiB, 24576 MiB,11.34 W,9.4,65.53,
0 , 3 MiB, 24576 MiB,10.60 W,8.8,66.58,
0 , 3 MiB, 24576 MiB,10.73 W,8.9,67.63,
0 , 3 MiB, 24576 MiB,10.85 W,8.8,68.68,
0 , 3 MiB, 24576 MiB,11.36 W,8.8,69.72,
0 , 3 MiB, 24576 MiB,11.41 W,9.0,70.77,
0 , 3 MiB, 24576 MiB,11.06 W,8.8,71.82,
0 , 3 MiB, 24576 MiB,10.88 W,8.7,72.87,
0 , 3 MiB, 24576 MiB,10.60 W,9.5,73.92,
