utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,
0 , 3 MiB, 24576 MiB,10.55 W,8.0,1.06,
0 , 3 MiB, 24576 MiB,10.65 W,7.7,2.09,
0 , 3 MiB, 24576 MiB,11.18 W,7.6,3.12,
0 , 3 MiB, 24576 MiB,11.21 W,7.6,4.15,
0 , 3 MiB, 24576 MiB,10.85 W,7.8,5.19,
0 , 3 MiB, 24576 MiB,11.38 W,7.8,6.22,
0 , 3 MiB, 24576 MiB,11.72 W,8.8,7.25,
0 , 3 MiB, 24576 MiB,11.42 W,7.7,8.29,
0 , 3 MiB, 24576 MiB,11.18 W,7.8,9.32,
0 , 3 MiB, 24576 MiB,10.82 W,8.0,10.35,
0 , 3 MiB, 24576 MiB,10.93 W,8.0,11.38,
0 , 3 MiB, 24576 MiB,10.68 W,8.1,12.42,
0 , 3 MiB, 24576 MiB,10.97 W,8.0,13.45,
0 , 3 MiB, 24576 MiB,10.94 W,8.2,14.48,
0 , 3 MiB, 24576 MiB,10.97 W,7.9,15.51,
0 , 3 MiB, 24576 MiB,11.25 W,7.9,16.55,
0 , 3 MiB, 24576 MiB,11.32 W,7.8,17.58,
0 , 3 MiB, 24576 MiB,11.47 W,7.9,18.61,
0 , 3 MiB, 24576 MiB,11.43 W,7.7,19.64,
0 , 3 MiB, 24576 MiB,11.05 W,7.9,20.67,
0 , 3 MiB, 24576 MiB,11.26 W,10.3,21.71,
0 , 3 MiB, 24576 MiB,10.95 W,11.6,22.74,
0 , 3 MiB, 24576 MiB,11.09 W,8.6,23.77,
0 , 3 MiB, 24576 MiB,10.62 W,7.9,24.81,
0 , 3 MiB, 24576 MiB,11.08 W,7.8,25.84,
0 , 3 MiB, 24576 MiB,10.75 W,7.9,26.87,
0 , 3 MiB, 24576 MiB,11.04 W,8.1,27.9,
0 , 3 MiB, 24576 MiB,10.99 W,8.0,28.94,
0 , 3 MiB, 24576 MiB,10.67 W,8.6,29.97,
0 , 3 MiB, 24576 MiB,10.94 W,7.8,31.0,
0 , 3 MiB, 24576 MiB,11.12 W,7.8,32.03,
0 , 3 MiB, 24576 MiB,10.91 W,8.1,33.07,
0 , 3 MiB, 24576 MiB,11.42 W,7.8,34.1,
0 , 3 MiB, 24576 MiB,11.24 W,7.8,35.13,
0 , 3 MiB, 24576 MiB,11.29 W,7.9,36.17,
0 , 3 MiB, 24576 MiB,11.11 W,9.0,37.2,
0 , 3 MiB, 24576 MiB,11.29 W,7.8,38.23,
