utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,
2 , 23163 MiB, 24576 MiB,58.35 W,7.7,1.09,
0 , 23163 MiB, 24576 MiB,58.40 W,7.7,2.13,
0 , 23163 MiB, 24576 MiB,58.40 W,7.8,3.18,
0 , 23163 MiB, 24576 MiB,58.57 W,7.6,4.23,
0 , 23163 MiB, 24576 MiB,58.25 W,8.1,5.28,
0 , 23163 MiB, 24576 MiB,58.30 W,7.8,6.32,
0 , 23163 MiB, 24576 MiB,58.30 W,8.0,7.37,
0 , 23163 MiB, 24576 MiB,58.39 W,7.6,8.42,
1 , 23255 MiB, 24576 MiB,58.33 W,7.7,9.47,
5 , 23589 MiB, 24576 MiB,58.27 W,7.8,10.54,
7 , 23633 MiB, 24576 MiB,58.42 W,8.5,11.61,
1 , 23633 MiB, 24576 MiB,58.54 W,7.9,12.68,
1 , 23633 MiB, 24576 MiB,58.60 W,8.0,13.75,
1 , 23633 MiB, 24576 MiB,58.54 W,8.3,14.82,
1 , 23633 MiB, 24576 MiB,58.81 W,7.9,15.9,
1 , 23633 MiB, 24576 MiB,58.77 W,8.0,16.97,
1 , 23633 MiB, 24576 MiB,58.38 W,8.0,18.04,
1 , 23633 MiB, 24576 MiB,59.04 W,8.1,19.11,
1 , 23633 MiB, 24576 MiB,58.79 W,8.5,20.19,
1 , 23633 MiB, 24576 MiB,58.64 W,8.0,21.26,
1 , 23633 MiB, 24576 MiB,58.42 W,7.9,22.33,
1 , 23633 MiB, 24576 MiB,58.67 W,7.8,23.41,
1 , 23633 MiB, 24576 MiB,58.58 W,8.1,24.48,
1 , 23633 MiB, 24576 MiB,58.59 W,8.0,25.55,
1 , 23633 MiB, 24576 MiB,58.71 W,8.7,26.63,
1 , 23633 MiB, 24576 MiB,58.38 W,8.0,27.69,
1 , 23633 MiB, 24576 MiB,58.52 W,7.7,28.77,
1 , 23633 MiB, 24576 MiB,58.42 W,8.3,29.85,
1 , 23633 MiB, 24576 MiB,58.76 W,8.0,30.94,
1 , 23633 MiB, 24576 MiB,58.48 W,7.9,32.01,
1 , 23633 MiB, 24576 MiB,58.35 W,8.0,33.09,
1 , 23633 MiB, 24576 MiB,58.55 W,7.9,34.16,
1 , 23633 MiB, 24576 MiB,58.81 W,8.4,35.24,
1 , 23633 MiB, 24576 MiB,58.89 W,8.2,36.32,
1 , 23633 MiB, 24576 MiB,58.63 W,8.0,37.39,
1 , 23633 MiB, 24576 MiB,59.14 W,7.9,38.47,
1 , 23633 MiB, 24576 MiB,59.06 W,8.2,39.54,
1 , 23633 MiB, 24576 MiB,58.91 W,8.1,40.6,
1 , 23633 MiB, 24576 MiB,59.03 W,8.6,41.68,
1 , 23633 MiB, 24576 MiB,58.99 W,8.0,42.77,
1 , 23633 MiB, 24576 MiB,58.87 W,7.9,43.84,
1 , 23633 MiB, 24576 MiB,58.58 W,8.3,44.92,
1 , 23633 MiB, 24576 MiB,58.81 W,8.0,46.0,
1 , 23633 MiB, 24576 MiB,59.17 W,7.9,47.08,
1 , 23633 MiB, 24576 MiB,58.85 W,7.7,48.16,
1 , 23633 MiB, 24576 MiB,58.80 W,8.4,49.25,
1 , 23633 MiB, 24576 MiB,58.73 W,7.8,50.33,
1 , 23633 MiB, 24576 MiB,58.64 W,8.2,51.4,
1 , 23633 MiB, 24576 MiB,58.69 W,7.9,52.47,
1 , 23633 MiB, 24576 MiB,58.54 W,8.2,53.55,
1 , 23633 MiB, 24576 MiB,58.79 W,8.3,54.64,
1 , 23633 MiB, 24576 MiB,59.06 W,8.3,55.71,
1 , 23633 MiB, 24576 MiB,58.75 W,8.5,56.79,
1 , 23633 MiB, 24576 MiB,58.77 W,8.3,57.86,
1 , 23633 MiB, 24576 MiB,58.97 W,8.4,58.94,
1 , 23633 MiB, 24576 MiB,58.86 W,8.3,60.02,
1 , 23633 MiB, 24576 MiB,58.65 W,8.0,61.1,
1 , 23633 MiB, 24576 MiB,58.80 W,8.0,62.18,
1 , 23633 MiB, 24576 MiB,58.81 W,7.9,63.27,
1 , 23633 MiB, 24576 MiB,59.01 W,8.0,64.35,
1 , 23633 MiB, 24576 MiB,59.01 W,8.1,65.42,
1 , 23633 MiB, 24576 MiB,59.13 W,8.5,66.5,
1 , 23633 MiB, 24576 MiB,59.08 W,7.9,67.57,
1 , 23633 MiB, 24576 MiB,59.06 W,8.1,68.65,
1 , 23633 MiB, 24576 MiB,58.87 W,7.9,69.74,
1 , 23633 MiB, 24576 MiB,59.06 W,8.0,70.83,
1 , 23633 MiB, 24576 MiB,58.91 W,8.6,71.92,
1 , 23633 MiB, 24576 MiB,58.83 W,7.9,73.01,
1 , 23633 MiB, 24576 MiB,58.94 W,8.1,74.08,
1 , 23633 MiB, 24576 MiB,59.03 W,8.4,75.18,
1 , 23633 MiB, 24576 MiB,58.84 W,8.0,76.27,
1 , 23633 MiB, 24576 MiB,59.08 W,8.0,77.35,
1 , 23633 MiB, 24576 MiB,58.86 W,7.9,78.42,
1 , 23633 MiB, 24576 MiB,58.90 W,8.0,79.52,
1 , 23633 MiB, 24576 MiB,59.00 W,8.0,80.6,
1 , 23633 MiB, 24576 MiB,59.07 W,8.1,81.68,
1 , 23633 MiB, 24576 MiB,58.68 W,8.1,82.76,
1 , 23633 MiB, 24576 MiB,58.70 W,7.8,83.84,
1 , 23633 MiB, 24576 MiB,58.75 W,8.2,84.93,
1 , 23633 MiB, 24576 MiB,59.11 W,8.0,86.03,
1 , 23633 MiB, 24576 MiB,58.89 W,8.9,87.11,
1 , 23633 MiB, 24576 MiB,59.00 W,8.0,88.19,
1 , 23633 MiB, 24576 MiB,58.99 W,8.1,89.27,
