utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,
0 , 3 MiB, 24576 MiB,12.20 W,7.9,1.07,
0 , 3 MiB, 24576 MiB,13.49 W,8.4,2.1,
0 , 3 MiB, 24576 MiB,14.70 W,7.8,3.14,
0 , 3 MiB, 24576 MiB,14.99 W,7.6,4.18,
0 , 3 MiB, 24576 MiB,14.46 W,7.8,5.22,
0 , 3 MiB, 24576 MiB,14.17 W,7.8,6.25,
0 , 3 MiB, 24576 MiB,13.83 W,8.7,7.28,
0 , 3 MiB, 24576 MiB,13.51 W,8.1,8.31,
0 , 3 MiB, 24576 MiB,13.43 W,9.0,9.34,
0 , 3 MiB, 24576 MiB,13.09 W,9.1,10.38,
0 , 3 MiB, 24576 MiB,13.22 W,9.4,11.41,
0 , 3 MiB, 24576 MiB,13.10 W,9.2,12.44,
0 , 3 MiB, 24576 MiB,12.91 W,9.1,13.47,
0 , 3 MiB, 24576 MiB,12.88 W,9.1,14.51,
0 , 3 MiB, 24576 MiB,13.12 W,9.0,15.55,
0 , 3 MiB, 24576 MiB,12.76 W,8.9,16.58,
0 , 3 MiB, 24576 MiB,12.78 W,9.6,17.62,
0 , 3 MiB, 24576 MiB,12.63 W,9.0,18.66,
0 , 3 MiB, 24576 MiB,13.07 W,9.0,19.69,
0 , 3 MiB, 24576 MiB,13.09 W,9.4,20.74,
0 , 3 MiB, 24576 MiB,12.80 W,9.5,21.77,
0 , 3 MiB, 24576 MiB,12.92 W,10.3,22.82,
0 , 3 MiB, 24576 MiB,12.94 W,9.7,23.85,
0 , 3 MiB, 24576 MiB,13.03 W,9.0,24.88,
0 , 3 MiB, 24576 MiB,12.90 W,9.0,25.92,
0 , 3 MiB, 24576 MiB,12.81 W,9.4,26.96,
0 , 3 MiB, 24576 MiB,12.39 W,9.2,27.99,
0 , 3 MiB, 24576 MiB,12.21 W,9.2,29.02,
0 , 3 MiB, 24576 MiB,12.20 W,9.3,30.06,
0 , 3 MiB, 24576 MiB,12.19 W,9.5,31.11,
0 , 3 MiB, 24576 MiB,12.19 W,9.4,32.14,
0 , 3 MiB, 24576 MiB,11.96 W,9.1,33.18,
0 , 3 MiB, 24576 MiB,12.22 W,9.4,34.21,
0 , 3 MiB, 24576 MiB,11.94 W,9.1,35.25,
0 , 3 MiB, 24576 MiB,12.26 W,9.3,36.29,
0 , 3 MiB, 24576 MiB,11.72 W,9.9,37.32,
0 , 3 MiB, 24576 MiB,11.78 W,9.3,38.36,
0 , 3 MiB, 24576 MiB,11.49 W,9.4,39.41,
0 , 3 MiB, 24576 MiB,11.23 W,9.1,40.45,
0 , 3 MiB, 24576 MiB,11.52 W,9.6,41.49,
0 , 3 MiB, 24576 MiB,11.36 W,9.2,42.53,
0 , 3 MiB, 24576 MiB,11.61 W,9.0,43.57,
0 , 3 MiB, 24576 MiB,11.22 W,9.1,44.62,
0 , 3 MiB, 24576 MiB,10.70 W,9.1,45.67,
0 , 3 MiB, 24576 MiB,10.67 W,9.2,46.7,
0 , 3 MiB, 24576 MiB,11.30 W,9.7,47.75,
0 , 3 MiB, 24576 MiB,11.17 W,9.3,48.8,
0 , 3 MiB, 24576 MiB,10.92 W,8.9,49.84,
0 , 3 MiB, 24576 MiB,10.74 W,9.3,50.89,
0 , 3 MiB, 24576 MiB,10.49 W,10.0,51.92,
0 , 3 MiB, 24576 MiB,10.35 W,9.0,52.97,
0 , 3 MiB, 24576 MiB,10.40 W,9.1,54.01,
0 , 3 MiB, 24576 MiB,10.39 W,9.3,55.06,
0 , 3 MiB, 24576 MiB,10.39 W,9.2,56.1,
0 , 3 MiB, 24576 MiB,10.90 W,9.5,57.15,
0 , 3 MiB, 24576 MiB,11.03 W,9.3,58.19,
0 , 3 MiB, 24576 MiB,10.87 W,8.9,59.23,
0 , 3 MiB, 24576 MiB,11.32 W,9.3,60.27,
0 , 3 MiB, 24576 MiB,11.47 W,9.3,61.32,
0 , 3 MiB, 24576 MiB,10.52 W,9.2,62.37,
0 , 3 MiB, 24576 MiB,10.79 W,9.7,63.4,
0 , 3 MiB, 24576 MiB,10.85 W,9.4,64.45,
0 , 3 MiB, 24576 MiB,10.69 W,9.4,65.5,
0 , 3 MiB, 24576 MiB,10.41 W,9.3,66.54,
0 , 3 MiB, 24576 MiB,10.47 W,10.2,67.6,
0 , 3 MiB, 24576 MiB,10.56 W,9.3,68.65,
0 , 3 MiB, 24576 MiB,10.01 W,9.2,69.71,
0 , 3 MiB, 24576 MiB,10.59 W,9.1,70.75,
