utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,
0 , 3 MiB, 24576 MiB,10.15 W,8.1,1.06,
0 , 3 MiB, 24576 MiB,10.15 W,7.8,2.09,
0 , 3 MiB, 24576 MiB,10.31 W,7.6,3.13,
0 , 3 MiB, 24576 MiB,10.71 W,8.1,4.16,
0 , 3 MiB, 24576 MiB,10.98 W,8.3,5.19,
0 , 3 MiB, 24576 MiB,10.65 W,7.8,6.23,
0 , 3 MiB, 24576 MiB,10.64 W,7.8,7.26,
0 , 3 MiB, 24576 MiB,10.57 W,7.8,8.29,
0 , 3 MiB, 24576 MiB,11.07 W,7.6,9.33,
0 , 3 MiB, 24576 MiB,10.48 W,8.4,10.36,
0 , 3 MiB, 24576 MiB,10.34 W,8.0,11.39,
0 , 3 MiB, 24576 MiB,10.21 W,8.0,12.42,
0 , 3 MiB, 24576 MiB,10.28 W,8.0,13.46,
0 , 3 MiB, 24576 MiB,9.82 W,8.0,14.49,
0 , 3 MiB, 24576 MiB,9.51 W,7.9,15.52,
0 , 3 MiB, 24576 MiB,10.21 W,8.6,16.56,
0 , 3 MiB, 24576 MiB,10.69 W,8.0,17.59,
0 , 3 MiB, 24576 MiB,10.36 W,8.2,18.62,
0 , 3 MiB, 24576 MiB,9.96 W,8.9,19.66,
0 , 3 MiB, 24576 MiB,9.81 W,8.1,20.69,
0 , 3 MiB, 24576 MiB,10.41 W,7.8,21.72,
0 , 3 MiB, 24576 MiB,10.03 W,8.1,22.76,
0 , 3 MiB, 24576 MiB,10.70 W,8.3,23.79,
0 , 3 MiB, 24576 MiB,10.55 W,8.3,24.82,
0 , 3 MiB, 24576 MiB,10.63 W,8.0,25.86,
0 , 3 MiB, 24576 MiB,10.47 W,8.0,26.89,
0 , 3 MiB, 24576 MiB,10.58 W,7.9,27.92,
0 , 3 MiB, 24576 MiB,10.70 W,7.8,28.96,
0 , 3 MiB, 24576 MiB,10.03 W,8.2,29.99,
0 , 3 MiB, 24576 MiB,10.69 W,8.3,31.02,
0 , 3 MiB, 24576 MiB,10.59 W,7.9,32.06,
0 , 3 MiB, 24576 MiB,10.84 W,8.2,33.09,
0 , 3 MiB, 24576 MiB,10.32 W,7.8,34.13,
0 , 3 MiB, 24576 MiB,10.28 W,8.7,35.16,
