utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,
0 , 23163 MiB, 24576 MiB,58.05 W,8.1,1.09,
0 , 23163 MiB, 24576 MiB,58.09 W,7.9,2.14,
0 , 23163 MiB, 24576 MiB,58.10 W,7.8,3.19,
0 , 23163 MiB, 24576 MiB,58.30 W,7.8,4.24,
0 , 23163 MiB, 24576 MiB,58.21 W,7.8,5.29,
0 , 23163 MiB, 24576 MiB,58.17 W,8.3,6.34,
0 , 23163 MiB, 24576 MiB,58.18 W,7.8,7.39,
0 , 23249 MiB, 24576 MiB,58.07 W,7.9,8.44,
4 , 23583 MiB, 24576 MiB,58.20 W,8.9,9.52,
7 , 23633 MiB, 24576 MiB,58.60 W,8.3,10.58,
1 , 23633 MiB, 24576 MiB,58.36 W,8.2,11.65,
1 , 23633 MiB, 24576 MiB,58.41 W,8.3,12.72,
1 , 23633 MiB, 24576 MiB,58.30 W,8.0,13.79,
1 , 23633 MiB, 24576 MiB,58.38 W,8.2,14.87,
1 , 23633 MiB, 24576 MiB,58.51 W,8.2,15.94,
1 , 23633 MiB, 24576 MiB,58.40 W,8.0,17.02,
1 , 23633 MiB, 24576 MiB,58.40 W,7.9,18.09,
1 , 23633 MiB, 24576 MiB,58.18 W,8.1,19.16,
1 , 23633 MiB, 24576 MiB,58.69 W,8.0,20.24,
1 , 23633 MiB, 24576 MiB,58.50 W,8.4,21.32,
1 , 23633 MiB, 24576 MiB,58.35 W,8.2,22.39,
1 , 23633 MiB, 24576 MiB,58.64 W,7.9,23.47,
1 , 23633 MiB, 24576 MiB,58.67 W,9.0,24.55,
1 , 23633 MiB, 24576 MiB,58.55 W,8.3,25.62,
1 , 23633 MiB, 24576 MiB,58.50 W,8.2,26.7,
1 , 23633 MiB, 24576 MiB,58.67 W,8.0,27.77,
1 , 23633 MiB, 24576 MiB,58.70 W,8.0,28.85,
1 , 23633 MiB, 24576 MiB,58.73 W,8.2,29.92,
1 , 23633 MiB, 24576 MiB,58.72 W,8.4,31.0,
1 , 23633 MiB, 24576 MiB,58.77 W,8.3,32.08,
1 , 23633 MiB, 24576 MiB,58.71 W,8.3,33.15,
1 , 23633 MiB, 24576 MiB,58.65 W,8.1,34.22,
1 , 23633 MiB, 24576 MiB,58.67 W,8.1,35.3,
1 , 23633 MiB, 24576 MiB,58.59 W,8.4,36.38,
1 , 23633 MiB, 24576 MiB,58.49 W,8.5,37.46,
1 , 23633 MiB, 24576 MiB,58.40 W,8.3,38.53,
1 , 23633 MiB, 24576 MiB,58.66 W,8.9,39.61,
1 , 23633 MiB, 24576 MiB,58.55 W,8.3,40.68,
1 , 23633 MiB, 24576 MiB,58.73 W,8.0,41.76,
1 , 23633 MiB, 24576 MiB,58.71 W,8.1,42.83,
1 , 23633 MiB, 24576 MiB,58.55 W,8.2,43.91,
1 , 23633 MiB, 24576 MiB,58.57 W,8.0,44.98,
1 , 23633 MiB, 24576 MiB,58.27 W,8.5,46.06,
1 , 23633 MiB, 24576 MiB,58.83 W,8.0,47.13,
1 , 23633 MiB, 24576 MiB,58.54 W,8.0,48.21,
1 , 23633 MiB, 24576 MiB,58.59 W,8.0,49.28,
1 , 23633 MiB, 24576 MiB,58.35 W,8.3,50.37,
1 , 23633 MiB, 24576 MiB,58.66 W,8.3,51.45,
1 , 23633 MiB, 24576 MiB,58.75 W,8.4,52.53,
1 , 23633 MiB, 24576 MiB,58.62 W,8.2,53.61,
1 , 23633 MiB, 24576 MiB,58.57 W,8.8,54.71,
1 , 23633 MiB, 24576 MiB,58.58 W,8.6,55.79,
1 , 23633 MiB, 24576 MiB,58.53 W,8.3,56.87,
1 , 23633 MiB, 24576 MiB,58.71 W,7.9,57.95,
1 , 23633 MiB, 24576 MiB,58.61 W,8.2,59.04,
1 , 23633 MiB, 24576 MiB,58.54 W,8.2,60.12,
1 , 23633 MiB, 24576 MiB,58.77 W,8.5,61.21,
1 , 23633 MiB, 24576 MiB,58.77 W,8.0,62.29,
1 , 23633 MiB, 24576 MiB,58.74 W,8.1,63.36,
1 , 23633 MiB, 24576 MiB,58.85 W,8.2,64.44,
1 , 23633 MiB, 24576 MiB,58.67 W,8.1,65.53,
1 , 23633 MiB, 24576 MiB,58.70 W,7.7,66.6,
1 , 23633 MiB, 24576 MiB,58.81 W,8.6,67.69,
1 , 23633 MiB, 24576 MiB,58.64 W,8.2,68.77,
1 , 23633 MiB, 24576 MiB,58.62 W,8.9,69.85,
1 , 23633 MiB, 24576 MiB,58.91 W,8.1,70.94,
1 , 23633 MiB, 24576 MiB,58.94 W,8.2,72.03,
1 , 23633 MiB, 24576 MiB,58.90 W,8.2,73.11,
1 , 23633 MiB, 24576 MiB,58.86 W,7.8,74.19,
1 , 23633 MiB, 24576 MiB,58.78 W,7.8,75.26,
1 , 23633 MiB, 24576 MiB,59.08 W,7.9,76.35,
1 , 23633 MiB, 24576 MiB,58.91 W,8.0,77.43,
1 , 23633 MiB, 24576 MiB,58.80 W,8.1,78.51,
1 , 23633 MiB, 24576 MiB,58.72 W,8.1,79.6,
1 , 23633 MiB, 24576 MiB,58.61 W,8.0,80.68,
1 , 23633 MiB, 24576 MiB,58.78 W,7.8,81.77,
1 , 23633 MiB, 24576 MiB,58.80 W,8.4,82.85,
1 , 23633 MiB, 24576 MiB,58.73 W,8.0,83.94,
1 , 23633 MiB, 24576 MiB,58.68 W,8.9,85.02,
1 , 23633 MiB, 24576 MiB,58.56 W,8.3,86.11,
1 , 23633 MiB, 24576 MiB,58.57 W,8.2,87.2,
