utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,
0 , 3 MiB, 24576 MiB,11.41 W,7.9,1.06,
0 , 3 MiB, 24576 MiB,12.72 W,7.8,2.1,
0 , 3 MiB, 24576 MiB,14.60 W,7.9,3.13,
0 , 3 MiB, 24576 MiB,13.77 W,7.8,4.17,
0 , 3 MiB, 24576 MiB,13.35 W,8.6,5.21,
0 , 3 MiB, 24576 MiB,13.41 W,8.0,6.24,
0 , 3 MiB, 24576 MiB,13.02 W,8.8,7.28,
0 , 3 MiB, 24576 MiB,13.03 W,8.1,8.31,
0 , 3 MiB, 24576 MiB,13.38 W,8.3,9.35,
0 , 3 MiB, 24576 MiB,13.05 W,8.4,10.39,
0 , 3 MiB, 24576 MiB,12.91 W,8.6,11.42,
0 , 3 MiB, 24576 MiB,12.82 W,8.4,12.46,
0 , 3 MiB, 24576 MiB,13.02 W,9.0,13.5,
0 , 3 MiB, 24576 MiB,13.31 W,8.6,14.54,
0 , 3 MiB, 24576 MiB,13.08 W,8.4,15.57,
0 , 3 MiB, 24576 MiB,13.14 W,8.3,16.61,
0 , 3 MiB, 24576 MiB,12.70 W,8.4,17.65,
0 , 3 MiB, 24576 MiB,12.36 W,8.4,18.69,
0 , 3 MiB, 24576 MiB,12.76 W,8.4,19.73,
0 , 3 MiB, 24576 MiB,12.39 W,8.7,20.76,
0 , 3 MiB, 24576 MiB,12.70 W,8.7,21.8,
0 , 3 MiB, 24576 MiB,12.15 W,9.3,22.84,
0 , 3 MiB, 24576 MiB,12.40 W,9.1,23.88,
0 , 3 MiB, 24576 MiB,12.59 W,8.5,24.92,
0 , 3 MiB, 24576 MiB,12.26 W,8.6,25.95,
0 , 3 MiB, 24576 MiB,12.29 W,8.5,26.99,
0 , 3 MiB, 24576 MiB,12.75 W,8.6,28.03,
0 , 3 MiB, 24576 MiB,12.50 W,8.7,29.07,
0 , 3 MiB, 24576 MiB,11.88 W,8.3,30.1,
0 , 3 MiB, 24576 MiB,11.95 W,8.4,31.14,
0 , 3 MiB, 24576 MiB,11.78 W,8.3,32.18,
0 , 3 MiB, 24576 MiB,12.58 W,8.1,33.22,
0 , 3 MiB, 24576 MiB,12.09 W,8.5,34.26,
0 , 3 MiB, 24576 MiB,12.19 W,8.6,35.29,
0 , 3 MiB, 24576 MiB,11.47 W,8.9,36.33,
0 , 3 MiB, 24576 MiB,11.04 W,9.0,37.36,
0 , 3 MiB, 24576 MiB,11.44 W,8.6,38.41,
0 , 3 MiB, 24576 MiB,11.54 W,8.7,39.45,
0 , 3 MiB, 24576 MiB,11.14 W,8.3,40.49,
0 , 3 MiB, 24576 MiB,11.10 W,8.3,41.53,
0 , 3 MiB, 24576 MiB,11.33 W,8.5,42.58,
0 , 3 MiB, 24576 MiB,10.85 W,8.6,43.62,
0 , 3 MiB, 24576 MiB,11.15 W,8.6,44.66,
0 , 3 MiB, 24576 MiB,10.80 W,9.3,45.7,
0 , 3 MiB, 24576 MiB,10.40 W,9.1,46.75,
0 , 3 MiB, 24576 MiB,10.29 W,8.6,47.79,
0 , 3 MiB, 24576 MiB,11.29 W,8.5,48.83,
0 , 3 MiB, 24576 MiB,10.76 W,8.5,49.87,
0 , 3 MiB, 24576 MiB,11.06 W,8.8,50.91,
0 , 3 MiB, 24576 MiB,10.87 W,9.3,51.95,
0 , 3 MiB, 24576 MiB,11.12 W,8.4,52.99,
0 , 3 MiB, 24576 MiB,11.02 W,8.5,54.04,
0 , 3 MiB, 24576 MiB,10.98 W,8.3,55.08,
0 , 3 MiB, 24576 MiB,10.72 W,8.7,56.12,
0 , 3 MiB, 24576 MiB,10.53 W,8.3,57.16,
0 , 3 MiB, 24576 MiB,11.38 W,8.4,58.31,
0 , 3 MiB, 24576 MiB,11.27 W,8.7,59.34,
0 , 3 MiB, 24576 MiB,11.84 W,8.7,60.4,
0 , 3 MiB, 24576 MiB,11.66 W,8.6,61.45,
0 , 3 MiB, 24576 MiB,10.99 W,8.2,62.5,
0 , 3 MiB, 24576 MiB,11.12 W,8.5,63.54,
0 , 3 MiB, 24576 MiB,11.05 W,8.5,64.59,
0 , 3 MiB, 24576 MiB,11.03 W,8.5,65.63,
