utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,
0 , 3 MiB, 24576 MiB,10.90 W,8.9,1.06,
0 , 3 MiB, 24576 MiB,10.80 W,7.8,2.1,
0 , 3 MiB, 24576 MiB,10.60 W,8.0,3.12,
0 , 3 MiB, 24576 MiB,10.39 W,7.8,4.16,
0 , 3 MiB, 24576 MiB,10.34 W,7.7,5.19,
0 , 3 MiB, 24576 MiB,10.68 W,7.7,6.23,
0 , 3 MiB, 24576 MiB,10.90 W,7.9,7.26,
0 , 3 MiB, 24576 MiB,11.31 W,7.8,8.3,
0 , 3 MiB, 24576 MiB,10.89 W,7.8,9.33,
0 , 3 MiB, 24576 MiB,10.97 W,8.0,10.37,
0 , 3 MiB, 24576 MiB,11.33 W,7.8,11.41,
0 , 3 MiB, 24576 MiB,11.04 W,8.1,12.44,
0 , 3 MiB, 24576 MiB,10.94 W,8.2,13.48,
0 , 3 MiB, 24576 MiB,10.76 W,7.8,14.52,
0 , 3 MiB, 24576 MiB,10.59 W,8.5,15.55,
0 , 3 MiB, 24576 MiB,9.90 W,8.6,16.59,
0 , 3 MiB, 24576 MiB,9.61 W,8.1,17.62,
