utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
1 , 23163 MiB, 24576 MiB,58.27 ,9.0,1.1,
0 , 23163 MiB, 24576 MiB,58.09 ,9.3,2.15,
0 , 23163 MiB, 24576 MiB,58.14 ,8.7,3.2,
0 , 23163 MiB, 24576 MiB,58.36 ,8.7,4.26,
0 , 23163 MiB, 24576 MiB,58.36 ,8.9,5.31,
0 , 23163 MiB, 24576 MiB,58.33 ,8.7,6.36,
0 , 23163 MiB, 24576 MiB,58.27 ,8.8,7.41,
0 , 23163 MiB, 24576 MiB,58.14 ,8.9,8.47,
0 , 23163 MiB, 24576 MiB,58.22 ,9.0,9.52,
2 , 23481 MiB, 24576 MiB,58.32 ,8.9,10.59,
4 , 23633 MiB, 24576 MiB,122.75 ,9.3,11.66,
43 , 23633 MiB, 24576 MiB,92.17 ,8.9,12.74,
6 , 23633 MiB, 24576 MiB,61.13 ,9.2,13.83,
7 , 23633 MiB, 24576 MiB,61.32 ,8.8,14.9,
9 , 23633 MiB, 24576 MiB,61.45 ,9.1,15.97,
9 , 23633 MiB, 24576 MiB,62.30 ,9.5,17.05,
9 , 23633 MiB, 24576 MiB,60.48 ,9.3,18.14,
8 , 23633 MiB, 24576 MiB,60.60 ,9.1,19.21,
9 , 23633 MiB, 24576 MiB,62.75 ,8.9,20.29,
9 , 23633 MiB, 24576 MiB,62.83 ,9.0,21.37,
9 , 23633 MiB, 24576 MiB,61.17 ,9.1,22.44,
9 , 23633 MiB, 24576 MiB,60.79 ,9.2,23.52,
9 , 23633 MiB, 24576 MiB,60.47 ,9.0,24.59,
9 , 23633 MiB, 24576 MiB,62.96 ,9.2,25.67,
7 , 23633 MiB, 24576 MiB,60.57 ,9.6,26.75,
8 , 23633 MiB, 24576 MiB,60.75 ,9.1,27.82,
9 , 23633 MiB, 24576 MiB,60.37 ,9.0,28.91,
9 , 23633 MiB, 24576 MiB,61.80 ,8.9,29.99,
9 , 23633 MiB, 24576 MiB,60.66 ,9.0,31.06,
9 , 23633 MiB, 24576 MiB,60.68 ,9.3,32.14,
9 , 23633 MiB, 24576 MiB,62.88 ,9.1,33.22,
9 , 23633 MiB, 24576 MiB,60.68 ,9.1,34.3,
9 , 23633 MiB, 24576 MiB,60.62 ,9.3,35.39,
9 , 23633 MiB, 24576 MiB,60.72 ,9.1,36.47,
9 , 23633 MiB, 24576 MiB,62.53 ,8.9,37.55,
8 , 23633 MiB, 24576 MiB,61.86 ,9.4,38.63,
9 , 23633 MiB, 24576 MiB,60.46 ,9.2,39.71,
9 , 23633 MiB, 24576 MiB,60.52 ,9.2,40.79,
9 , 23633 MiB, 24576 MiB,62.81 ,9.4,41.86,
9 , 23633 MiB, 24576 MiB,60.60 ,9.7,42.95,
9 , 23633 MiB, 24576 MiB,61.27 ,8.8,44.04,
9 , 23633 MiB, 24576 MiB,60.59 ,9.0,45.13,
9 , 23633 MiB, 24576 MiB,60.55 ,8.9,46.2,
9 , 23633 MiB, 24576 MiB,60.40 ,9.2,47.29,
8 , 23633 MiB, 24576 MiB,62.59 ,8.9,48.38,
9 , 23633 MiB, 24576 MiB,60.49 ,8.9,49.46,
9 , 23633 MiB, 24576 MiB,60.59 ,9.0,50.53,
9 , 23633 MiB, 24576 MiB,62.75 ,9.3,51.6,
9 , 23633 MiB, 24576 MiB,60.47 ,9.1,52.68,
9 , 23633 MiB, 24576 MiB,62.08 ,9.2,53.76,
8 , 23633 MiB, 24576 MiB,60.50 ,9.0,54.84,
9 , 23633 MiB, 24576 MiB,62.81 ,9.6,55.92,
8 , 23633 MiB, 24576 MiB,62.81 ,9.2,57.01,
9 , 23633 MiB, 24576 MiB,60.88 ,9.4,58.08,
9 , 23633 MiB, 24576 MiB,60.34 ,9.1,59.16,
9 , 23633 MiB, 24576 MiB,60.43 ,9.1,60.24,
9 , 23633 MiB, 24576 MiB,62.62 ,9.2,61.31,
9 , 23633 MiB, 24576 MiB,61.14 ,9.4,62.39,
9 , 23633 MiB, 24576 MiB,60.53 ,9.1,63.47,
9 , 23633 MiB, 24576 MiB,60.45 ,8.8,64.54,
9 , 23633 MiB, 24576 MiB,60.45 ,9.1,65.63,
9 , 23633 MiB, 24576 MiB,61.30 ,9.1,66.72,
8 , 23633 MiB, 24576 MiB,61.03 ,9.0,67.81,
9 , 23633 MiB, 24576 MiB,60.46 ,9.3,68.9,
9 , 23633 MiB, 24576 MiB,58.13 ,8.9,70.05,
6 , 23633 MiB, 24576 MiB,60.37 ,9.7,71.13,
8 , 23633 MiB, 24576 MiB,60.51 ,9.3,72.21,
8 , 23633 MiB, 24576 MiB,60.27 ,9.1,73.29,
8 , 23633 MiB, 24576 MiB,62.93 ,9.0,74.37,
8 , 23633 MiB, 24576 MiB,62.79 ,9.0,75.45,
8 , 23633 MiB, 24576 MiB,60.60 ,9.1,76.53,
9 , 23633 MiB, 24576 MiB,60.68 ,9.5,77.61,
9 , 23633 MiB, 24576 MiB,62.68 ,9.1,78.69,
9 , 23633 MiB, 24576 MiB,62.66 ,8.9,79.76,
9 , 23633 MiB, 24576 MiB,60.35 ,8.9,80.85,
9 , 23633 MiB, 24576 MiB,60.56 ,9.2,81.93,
9 , 23633 MiB, 24576 MiB,60.48 ,9.2,83.03,
9 , 23633 MiB, 24576 MiB,60.46 ,9.1,84.11,
9 , 23633 MiB, 24576 MiB,62.28 ,9.1,85.2,
9 , 23633 MiB, 24576 MiB,61.66 ,9.6,86.28,
9 , 23633 MiB, 24576 MiB,60.53 ,8.9,87.37,
9 , 23633 MiB, 24576 MiB,60.56 ,9.3,88.47,
9 , 23633 MiB, 24576 MiB,61.22 ,9.4,89.56,
9 , 23633 MiB, 24576 MiB,62.76 ,9.5,90.65,
9 , 23633 MiB, 24576 MiB,62.87 ,9.0,91.73,
8 , 23633 MiB, 24576 MiB,60.55 ,9.2,92.81,
9 , 23633 MiB, 24576 MiB,60.58 ,8.9,93.89,
9 , 23633 MiB, 24576 MiB,62.13 ,8.8,94.98,
8 , 23633 MiB, 24576 MiB,61.33 ,9.2,96.07,
9 , 23633 MiB, 24576 MiB,60.41 ,9.0,97.17,
8 , 23633 MiB, 24576 MiB,60.51 ,8.8,98.26,
9 , 23633 MiB, 24576 MiB,59.57 ,9.3,99.35,
9 , 23633 MiB, 24576 MiB,60.48 ,8.9,100.43,
8 , 23633 MiB, 24576 MiB,60.33 ,9.8,101.53,
9 , 23633 MiB, 24576 MiB,62.58 ,9.5,102.61,
9 , 23633 MiB, 24576 MiB,60.43 ,9.2,103.7,
8 , 23633 MiB, 24576 MiB,60.65 ,9.0,104.78,
9 , 23633 MiB, 24576 MiB,60.57 ,9.0,105.87,
9 , 23633 MiB, 24576 MiB,59.39 ,9.1,106.97,
8 , 23633 MiB, 24576 MiB,62.60 ,9.5,108.05,
9 , 23633 MiB, 24576 MiB,60.53 ,9.1,109.15,
9 , 23633 MiB, 24576 MiB,60.47 ,9.2,110.24,
9 , 23633 MiB, 24576 MiB,60.49 ,8.9,111.34,
