utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 24576 MiB,13.00 ,8.7,1.07,
0 , 3 MiB, 24576 MiB,12.86 ,9.0,2.11,
0 , 3 MiB, 24576 MiB,13.13 ,8.9,3.14,
0 , 3 MiB, 24576 MiB,13.15 ,8.8,4.18,
0 , 3 MiB, 24576 MiB,12.84 ,8.6,5.22,
0 , 3 MiB, 24576 MiB,12.86 ,8.6,6.26,
0 , 3 MiB, 24576 MiB,12.39 ,8.5,7.29,
0 , 3 MiB, 24576 MiB,13.16 ,8.8,8.32,
0 , 3 MiB, 24576 MiB,12.98 ,8.9,9.36,
0 , 3 MiB, 24576 MiB,12.32 ,9.5,10.4,
0 , 3 MiB, 24576 MiB,12.58 ,11.7,11.44,
0 , 3 MiB, 24576 MiB,12.42 ,11.7,12.49,
0 , 3 MiB, 24576 MiB,12.60 ,12.2,13.54,
0 , 3 MiB, 24576 MiB,12.15 ,11.7,14.59,
0 , 3 MiB, 24576 MiB,12.46 ,11.5,15.63,
0 , 3 MiB, 24576 MiB,11.80 ,11.7,16.66,
0 , 3 MiB, 24576 MiB,11.92 ,11.9,17.71,
0 , 3 MiB, 24576 MiB,11.44 ,11.7,18.75,
0 , 3 MiB, 24576 MiB,11.61 ,11.7,19.8,
0 , 3 MiB, 24576 MiB,11.50 ,11.9,20.86,
0 , 3 MiB, 24576 MiB,11.47 ,11.8,21.91,
0 , 3 MiB, 24576 MiB,11.31 ,11.9,22.95,
0 , 3 MiB, 24576 MiB,12.06 ,11.9,24.0,
0 , 3 MiB, 24576 MiB,10.73 ,12.1,25.06,
0 , 3 MiB, 24576 MiB,10.97 ,11.8,26.11,
0 , 3 MiB, 24576 MiB,11.02 ,11.8,27.14,
0 , 3 MiB, 24576 MiB,10.98 ,11.4,28.19,
0 , 3 MiB, 24576 MiB,10.66 ,11.7,29.23,
0 , 3 MiB, 24576 MiB,10.96 ,11.7,30.28,
0 , 3 MiB, 24576 MiB,10.48 ,11.6,31.32,
0 , 3 MiB, 24576 MiB,10.39 ,11.9,32.37,
0 , 3 MiB, 24576 MiB,10.75 ,11.8,33.42,
0 , 3 MiB, 24576 MiB,10.29 ,11.9,34.47,
0 , 3 MiB, 24576 MiB,10.19 ,11.7,35.5,
0 , 3 MiB, 24576 MiB,10.46 ,11.9,36.55,
