utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 24576 MiB,9.26 ,8.9,1.07,
0 , 3 MiB, 24576 MiB,9.11 ,9.1,2.1,
0 , 3 MiB, 24576 MiB,9.42 ,8.6,3.13,
0 , 3 MiB, 24576 MiB,9.32 ,8.6,4.17,
0 , 3 MiB, 24576 MiB,8.99 ,8.7,5.2,
0 , 3 MiB, 24576 MiB,9.51 ,8.8,6.24,
0 , 3 MiB, 24576 MiB,9.51 ,8.7,7.27,
0 , 3 MiB, 24576 MiB,9.35 ,8.6,8.31,
0 , 3 MiB, 24576 MiB,9.10 ,9.2,9.34,
0 , 3 MiB, 24576 MiB,9.07 ,9.0,10.38,
0 , 3 MiB, 24576 MiB,8.80 ,9.0,11.42,
0 , 3 MiB, 24576 MiB,8.81 ,8.8,12.45,
0 , 3 MiB, 24576 MiB,9.11 ,10.0,13.49,
0 , 3 MiB, 24576 MiB,9.37 ,8.8,14.53,
0 , 3 MiB, 24576 MiB,9.21 ,8.8,15.57,
0 , 3 MiB, 24576 MiB,9.85 ,9.0,16.6,
0 , 3 MiB, 24576 MiB,9.73 ,9.2,17.64,
0 , 3 MiB, 24576 MiB,9.71 ,8.9,18.68,
0 , 3 MiB, 24576 MiB,9.66 ,8.8,19.71,
0 , 3 MiB, 24576 MiB,8.91 ,8.8,20.75,
0 , 3 MiB, 24576 MiB,9.01 ,8.8,21.78,
0 , 3 MiB, 24576 MiB,9.53 ,9.1,22.82,
0 , 3 MiB, 24576 MiB,9.60 ,9.0,23.85,
0 , 3 MiB, 24576 MiB,9.57 ,9.2,24.89,
0 , 3 MiB, 24576 MiB,9.27 ,8.7,25.92,
0 , 3 MiB, 24576 MiB,9.47 ,8.9,26.96,
0 , 3 MiB, 24576 MiB,9.60 ,9.6,27.99,
0 , 3 MiB, 24576 MiB,9.81 ,9.0,29.03,
0 , 3 MiB, 24576 MiB,9.78 ,9.1,30.06,
0 , 3 MiB, 24576 MiB,10.24 ,8.7,31.1,
0 , 3 MiB, 24576 MiB,9.81 ,9.1,32.13,
0 , 3 MiB, 24576 MiB,10.04 ,9.2,33.17,
0 , 3 MiB, 24576 MiB,9.41 ,8.8,34.2,
0 , 3 MiB, 24576 MiB,9.47 ,8.9,35.24,
0 , 3 MiB, 24576 MiB,9.88 ,8.9,36.27,
0 , 3 MiB, 24576 MiB,10.02 ,9.0,37.31,
0 , 3 MiB, 24576 MiB,9.73 ,8.9,38.34,
0 , 3 MiB, 24576 MiB,9.45 ,8.9,39.38,
0 , 3 MiB, 24576 MiB,9.32 ,8.9,40.41,
0 , 3 MiB, 24576 MiB,9.82 ,9.0,41.45,
0 , 3 MiB, 24576 MiB,9.75 ,9.0,42.48,
0 , 3 MiB, 24576 MiB,9.25 ,9.4,43.52,
0 , 3 MiB, 24576 MiB,9.55 ,8.7,44.55,
0 , 3 MiB, 24576 MiB,9.61 ,8.8,45.59,
0 , 3 MiB, 24576 MiB,9.88 ,8.8,46.62,
0 , 3 MiB, 24576 MiB,9.61 ,9.2,47.65,
0 , 3 MiB, 24576 MiB,9.95 ,8.9,48.69,
0 , 3 MiB, 24576 MiB,9.45 ,8.8,49.72,
0 , 3 MiB, 24576 MiB,10.10 ,8.9,50.76,
0 , 3 MiB, 24576 MiB,9.52 ,8.9,51.79,
0 , 3 MiB, 24576 MiB,9.27 ,8.9,52.83,
0 , 3 MiB, 24576 MiB,9.27 ,8.8,53.86,
0 , 3 MiB, 24576 MiB,9.89 ,9.2,54.9,
0 , 3 MiB, 24576 MiB,10.09 ,8.6,55.93,
0 , 3 MiB, 24576 MiB,10.13 ,8.8,56.97,
0 , 3 MiB, 24576 MiB,9.72 ,9.6,58.0,
0 , 3 MiB, 24576 MiB,9.53 ,8.9,59.04,
0 , 3 MiB, 24576 MiB,9.28 ,9.2,60.07,
0 , 3 MiB, 24576 MiB,8.96 ,9.1,61.11,
0 , 3 MiB, 24576 MiB,9.74 ,8.8,62.14,
0 , 3 MiB, 24576 MiB,9.48 ,9.1,63.17,
0 , 3 MiB, 24576 MiB,9.46 ,9.0,64.21,
0 , 3 MiB, 24576 MiB,9.50 ,9.1,65.24,
0 , 3 MiB, 24576 MiB,9.64 ,8.7,66.28,
0 , 3 MiB, 24576 MiB,9.90 ,9.0,67.31,
0 , 3 MiB, 24576 MiB,9.69 ,8.8,68.35,
0 , 3 MiB, 24576 MiB,9.72 ,8.9,69.38,
0 , 3 MiB, 24576 MiB,9.56 ,9.2,70.41,
0 , 3 MiB, 24576 MiB,9.69 ,8.8,71.45,
0 , 3 MiB, 24576 MiB,9.48 ,8.9,72.48,
0 , 3 MiB, 24576 MiB,9.65 ,9.5,73.52,
0 , 3 MiB, 24576 MiB,9.40 ,8.8,74.55,
0 , 3 MiB, 24576 MiB,9.42 ,9.0,75.58,
0 , 3 MiB, 24576 MiB,9.95 ,8.9,76.62,
0 , 3 MiB, 24576 MiB,9.70 ,8.9,77.66,
0 , 3 MiB, 24576 MiB,9.76 ,9.0,78.69,
0 , 3 MiB, 24576 MiB,9.55 ,8.8,79.72,
0 , 3 MiB, 24576 MiB,9.21 ,8.8,80.76,
0 , 3 MiB, 24576 MiB,9.30 ,8.8,81.79,
0 , 3 MiB, 24576 MiB,9.33 ,9.0,82.83,
0 , 3 MiB, 24576 MiB,9.70 ,9.0,83.86,
0 , 3 MiB, 24576 MiB,9.24 ,8.8,84.89,
0 , 3 MiB, 24576 MiB,9.51 ,9.3,85.93,
0 , 3 MiB, 24576 MiB,9.35 ,9.0,86.96,
0 , 3 MiB, 24576 MiB,10.18 ,9.5,88.0,
0 , 3 MiB, 24576 MiB,9.35 ,8.8,89.03,
0 , 3 MiB, 24576 MiB,9.18 ,8.6,90.06,
0 , 3 MiB, 24576 MiB,9.59 ,8.8,91.1,
0 , 3 MiB, 24576 MiB,9.73 ,9.0,92.13,
0 , 3 MiB, 24576 MiB,9.15 ,9.2,93.17,
0 , 3 MiB, 24576 MiB,9.15 ,8.9,94.2,
0 , 3 MiB, 24576 MiB,9.86 ,8.8,95.24,
0 , 3 MiB, 24576 MiB,9.56 ,8.9,96.27,
0 , 3 MiB, 24576 MiB,9.78 ,9.0,97.31,
0 , 3 MiB, 24576 MiB,9.78 ,9.0,98.35,
0 , 3 MiB, 24576 MiB,9.85 ,9.0,99.38,
0 , 3 MiB, 24576 MiB,9.85 ,9.3,100.42,
0 , 3 MiB, 24576 MiB,9.39 ,8.8,101.45,
0 , 3 MiB, 24576 MiB,9.97 ,9.0,102.49,
0 , 3 MiB, 24576 MiB,9.75 ,9.5,103.52,
0 , 3 MiB, 24576 MiB,9.58 ,8.9,104.56,
0 , 3 MiB, 24576 MiB,9.46 ,8.8,105.59,
0 , 3 MiB, 24576 MiB,9.45 ,8.9,106.63,
0 , 3 MiB, 24576 MiB,9.50 ,8.9,107.66,
0 , 3 MiB, 24576 MiB,8.93 ,9.2,108.69,
0 , 3 MiB, 24576 MiB,9.47 ,8.8,109.73,
0 , 3 MiB, 24576 MiB,9.72 ,8.8,110.76,
0 , 3 MiB, 24576 MiB,9.60 ,8.8,111.8,
0 , 3 MiB, 24576 MiB,9.70 ,8.7,112.83,
0 , 3 MiB, 24576 MiB,10.08 ,8.8,113.86,
0 , 3 MiB, 24576 MiB,9.86 ,8.8,114.9,
0 , 3 MiB, 24576 MiB,10.11 ,9.3,115.93,
0 , 3 MiB, 24576 MiB,10.01 ,8.9,116.97,
0 , 3 MiB, 24576 MiB,10.09 ,9.5,118.0,
0 , 3 MiB, 24576 MiB,9.85 ,10.1,119.03,
0 , 3 MiB, 24576 MiB,10.36 ,9.6,120.07,
0 , 3 MiB, 24576 MiB,9.68 ,10.4,121.11,
0 , 3 MiB, 24576 MiB,9.87 ,9.3,122.14,
0 , 3 MiB, 24576 MiB,10.02 ,9.2,123.18,
0 , 3 MiB, 24576 MiB,9.70 ,9.0,124.21,
0 , 3 MiB, 24576 MiB,9.59 ,8.8,125.25,
0 , 3 MiB, 24576 MiB,10.04 ,8.9,126.28,
0 , 3 MiB, 24576 MiB,9.89 ,8.9,127.31,
0 , 3 MiB, 24576 MiB,10.15 ,8.7,128.35,
0 , 3 MiB, 24576 MiB,10.94 ,8.9,129.38,
0 , 3 MiB, 24576 MiB,10.26 ,8.6,130.42,
0 , 3 MiB, 24576 MiB,9.71 ,9.2,131.45,
0 , 3 MiB, 24576 MiB,9.75 ,9.3,132.49,
0 , 3 MiB, 24576 MiB,9.69 ,10.0,133.52,
