utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 24576 MiB,9.82 ,8.9,1.07,
0 , 3 MiB, 24576 MiB,10.11 ,8.8,2.1,
0 , 3 MiB, 24576 MiB,9.70 ,8.7,3.14,
0 , 3 MiB, 24576 MiB,10.94 ,9.5,4.17,
0 , 3 MiB, 24576 MiB,9.98 ,9.0,5.21,
0 , 3 MiB, 24576 MiB,9.76 ,8.6,6.24,
0 , 3 MiB, 24576 MiB,9.94 ,8.7,7.27,
0 , 3 MiB, 24576 MiB,10.26 ,8.6,8.31,
0 , 3 MiB, 24576 MiB,9.65 ,8.8,9.34,
0 , 3 MiB, 24576 MiB,9.28 ,8.8,10.38,
0 , 3 MiB, 24576 MiB,9.76 ,9.4,11.41,
0 , 3 MiB, 24576 MiB,9.47 ,8.9,12.45,
0 , 3 MiB, 24576 MiB,9.40 ,8.9,13.48,
0 , 3 MiB, 24576 MiB,9.23 ,9.0,14.51,
0 , 3 MiB, 24576 MiB,9.22 ,8.8,15.55,
0 , 3 MiB, 24576 MiB,9.83 ,9.0,16.58,
0 , 3 MiB, 24576 MiB,9.67 ,9.0,17.62,
0 , 3 MiB, 24576 MiB,9.47 ,9.0,18.65,
0 , 3 MiB, 24576 MiB,9.62 ,10.2,19.68,
0 , 3 MiB, 24576 MiB,9.47 ,9.2,20.72,
0 , 3 MiB, 24576 MiB,9.72 ,9.2,21.75,
0 , 3 MiB, 24576 MiB,10.07 ,9.1,22.78,
0 , 3 MiB, 24576 MiB,10.35 ,9.0,23.82,
0 , 3 MiB, 24576 MiB,10.03 ,9.1,24.85,
0 , 3 MiB, 24576 MiB,10.10 ,9.2,25.88,
0 , 3 MiB, 24576 MiB,10.19 ,9.0,26.92,
0 , 3 MiB, 24576 MiB,10.10 ,8.9,27.95,
0 , 3 MiB, 24576 MiB,10.32 ,8.8,28.99,
0 , 3 MiB, 24576 MiB,10.02 ,9.0,30.02,
0 , 3 MiB, 24576 MiB,9.81 ,9.0,31.05,
0 , 3 MiB, 24576 MiB,10.36 ,8.7,32.09,
0 , 3 MiB, 24576 MiB,9.92 ,9.1,33.12,
0 , 3 MiB, 24576 MiB,9.98 ,9.5,34.15,
0 , 3 MiB, 24576 MiB,10.30 ,9.3,35.19,
0 , 3 MiB, 24576 MiB,10.14 ,8.8,36.22,
