utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
2 , 23163 MiB, 24576 MiB,58.02 ,8.7,1.1,
0 , 23163 MiB, 24576 MiB,58.10 ,9.0,2.15,
0 , 23163 MiB, 24576 MiB,57.87 ,9.5,3.2,
0 , 23163 MiB, 24576 MiB,58.18 ,9.2,4.25,
0 , 23163 MiB, 24576 MiB,58.14 ,8.8,5.3,
0 , 23163 MiB, 24576 MiB,58.18 ,8.7,6.35,
0 , 23163 MiB, 24576 MiB,58.00 ,9.0,7.41,
0 , 23163 MiB, 24576 MiB,57.85 ,8.9,8.46,
0 , 23361 MiB, 24576 MiB,57.88 ,8.8,9.52,
4 , 23633 MiB, 24576 MiB,74.58 ,8.8,10.59,
20 , 23633 MiB, 24576 MiB,73.51 ,9.0,11.67,
2 , 23633 MiB, 24576 MiB,59.20 ,9.1,12.75,
3 , 23633 MiB, 24576 MiB,59.14 ,9.1,13.82,
3 , 23633 MiB, 24576 MiB,58.64 ,9.0,14.9,
3 , 23633 MiB, 24576 MiB,58.59 ,8.9,15.98,
3 , 23633 MiB, 24576 MiB,58.69 ,8.8,17.06,
2 , 23633 MiB, 24576 MiB,58.78 ,9.6,18.14,
3 , 23633 MiB, 24576 MiB,59.10 ,9.1,19.21,
3 , 23633 MiB, 24576 MiB,58.75 ,9.2,20.29,
3 , 23633 MiB, 24576 MiB,58.66 ,9.1,21.37,
3 , 23633 MiB, 24576 MiB,58.91 ,9.0,22.45,
3 , 23633 MiB, 24576 MiB,58.65 ,9.2,23.53,
3 , 23633 MiB, 24576 MiB,58.58 ,9.3,24.6,
3 , 23633 MiB, 24576 MiB,59.09 ,9.0,25.68,
2 , 23633 MiB, 24576 MiB,58.56 ,9.2,26.76,
3 , 23633 MiB, 24576 MiB,58.80 ,9.1,27.84,
3 , 23633 MiB, 24576 MiB,58.67 ,9.1,28.93,
3 , 23633 MiB, 24576 MiB,58.75 ,9.5,30.01,
2 , 23633 MiB, 24576 MiB,58.77 ,9.0,31.09,
3 , 23633 MiB, 24576 MiB,59.28 ,9.1,32.17,
3 , 23633 MiB, 24576 MiB,58.62 ,9.8,33.24,
3 , 23633 MiB, 24576 MiB,58.75 ,9.2,34.32,
3 , 23633 MiB, 24576 MiB,59.16 ,9.3,35.4,
3 , 23633 MiB, 24576 MiB,58.71 ,9.2,36.48,
3 , 23633 MiB, 24576 MiB,58.83 ,9.0,37.56,
3 , 23633 MiB, 24576 MiB,58.68 ,8.8,38.63,
3 , 23633 MiB, 24576 MiB,58.99 ,9.1,39.71,
2 , 23633 MiB, 24576 MiB,58.73 ,8.9,40.79,
2 , 23633 MiB, 24576 MiB,58.59 ,9.0,41.87,
3 , 23633 MiB, 24576 MiB,58.88 ,9.2,42.95,
3 , 23633 MiB, 24576 MiB,59.33 ,8.9,44.04,
3 , 23633 MiB, 24576 MiB,59.29 ,9.5,45.14,
3 , 23633 MiB, 24576 MiB,59.26 ,9.0,46.21,
3 , 23633 MiB, 24576 MiB,58.70 ,9.2,47.29,
2 , 23633 MiB, 24576 MiB,58.80 ,10.3,48.39,
3 , 23633 MiB, 24576 MiB,58.85 ,9.0,49.49,
3 , 23633 MiB, 24576 MiB,59.28 ,9.9,50.57,
3 , 23633 MiB, 24576 MiB,59.19 ,9.1,51.65,
3 , 23633 MiB, 24576 MiB,58.87 ,9.2,52.73,
3 , 23633 MiB, 24576 MiB,58.68 ,9.0,53.81,
3 , 23633 MiB, 24576 MiB,58.76 ,8.9,54.89,
3 , 23633 MiB, 24576 MiB,59.35 ,9.0,55.97,
3 , 23633 MiB, 24576 MiB,58.90 ,9.0,57.05,
3 , 23633 MiB, 24576 MiB,58.72 ,9.4,58.13,
3 , 23633 MiB, 24576 MiB,58.82 ,8.9,59.22,
3 , 23633 MiB, 24576 MiB,58.96 ,9.5,60.3,
3 , 23633 MiB, 24576 MiB,59.14 ,9.2,61.39,
3 , 23633 MiB, 24576 MiB,58.58 ,9.5,62.5,
2 , 23633 MiB, 24576 MiB,59.04 ,9.2,63.58,
3 , 23633 MiB, 24576 MiB,58.67 ,9.0,64.67,
3 , 23633 MiB, 24576 MiB,58.71 ,9.2,65.75,
3 , 23633 MiB, 24576 MiB,58.85 ,9.1,66.83,
3 , 23633 MiB, 24576 MiB,59.38 ,8.8,67.91,
3 , 23633 MiB, 24576 MiB,59.25 ,9.0,68.99,
3 , 23633 MiB, 24576 MiB,59.15 ,9.0,70.07,
3 , 23633 MiB, 24576 MiB,58.95 ,9.4,71.15,
2 , 23633 MiB, 24576 MiB,59.46 ,10.5,72.23,
3 , 23633 MiB, 24576 MiB,58.65 ,9.0,73.31,
3 , 23633 MiB, 24576 MiB,59.08 ,8.9,74.39,
3 , 23633 MiB, 24576 MiB,58.74 ,9.4,75.47,
3 , 23633 MiB, 24576 MiB,59.06 ,9.0,76.56,
2 , 23633 MiB, 24576 MiB,59.31 ,9.9,77.64,
2 , 23633 MiB, 24576 MiB,58.82 ,9.2,78.73,
2 , 23633 MiB, 24576 MiB,58.90 ,9.0,79.82,
2 , 23633 MiB, 24576 MiB,58.96 ,9.2,80.91,
3 , 23633 MiB, 24576 MiB,58.72 ,9.0,81.99,
3 , 23633 MiB, 24576 MiB,58.66 ,9.2,83.08,
3 , 23633 MiB, 24576 MiB,59.06 ,9.0,84.16,
3 , 23633 MiB, 24576 MiB,58.72 ,8.9,85.24,
3 , 23633 MiB, 24576 MiB,58.85 ,9.2,86.33,
