utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 24576 MiB,12.16 ,9.0,1.07,
0 , 3 MiB, 24576 MiB,12.75 ,9.8,2.1,
0 , 3 MiB, 24576 MiB,12.47 ,9.3,3.14,
0 , 3 MiB, 24576 MiB,13.26 ,9.0,4.18,
0 , 3 MiB, 24576 MiB,13.65 ,8.6,5.21,
0 , 3 MiB, 24576 MiB,13.99 ,8.6,6.25,
0 , 3 MiB, 24576 MiB,13.07 ,8.5,7.29,
0 , 3 MiB, 24576 MiB,12.51 ,8.7,8.32,
0 , 3 MiB, 24576 MiB,12.27 ,8.9,9.37,
0 , 3 MiB, 24576 MiB,12.54 ,9.1,10.4,
0 , 3 MiB, 24576 MiB,12.36 ,10.0,11.44,
0 , 3 MiB, 24576 MiB,12.55 ,10.0,12.47,
0 , 3 MiB, 24576 MiB,12.13 ,10.3,13.52,
0 , 3 MiB, 24576 MiB,12.19 ,10.4,14.56,
0 , 3 MiB, 24576 MiB,11.98 ,10.2,15.59,
0 , 3 MiB, 24576 MiB,11.81 ,11.0,16.63,
0 , 3 MiB, 24576 MiB,11.96 ,10.1,17.66,
0 , 3 MiB, 24576 MiB,11.62 ,9.8,18.7,
0 , 3 MiB, 24576 MiB,11.87 ,10.3,19.75,
0 , 3 MiB, 24576 MiB,11.98 ,10.2,20.78,
0 , 3 MiB, 24576 MiB,11.76 ,10.1,21.82,
0 , 3 MiB, 24576 MiB,11.45 ,9.9,22.87,
0 , 3 MiB, 24576 MiB,11.19 ,10.1,23.9,
0 , 3 MiB, 24576 MiB,11.22 ,10.0,24.94,
0 , 3 MiB, 24576 MiB,11.56 ,10.1,25.98,
0 , 3 MiB, 24576 MiB,12.01 ,10.2,27.03,
0 , 3 MiB, 24576 MiB,12.20 ,10.3,28.07,
0 , 3 MiB, 24576 MiB,11.62 ,10.1,29.1,
0 , 3 MiB, 24576 MiB,11.76 ,10.5,30.14,
0 , 3 MiB, 24576 MiB,11.43 ,10.0,31.19,
0 , 3 MiB, 24576 MiB,11.55 ,11.1,32.23,
0 , 3 MiB, 24576 MiB,11.38 ,10.3,33.28,
0 , 3 MiB, 24576 MiB,11.36 ,10.1,34.32,
0 , 3 MiB, 24576 MiB,10.95 ,10.5,35.36,
0 , 3 MiB, 24576 MiB,10.06 ,10.2,36.41,
0 , 3 MiB, 24576 MiB,11.00 ,10.1,37.46,
0 , 3 MiB, 24576 MiB,11.00 ,10.4,38.5,
0 , 3 MiB, 24576 MiB,10.62 ,10.1,39.54,
0 , 3 MiB, 24576 MiB,10.71 ,10.0,40.57,
0 , 3 MiB, 24576 MiB,10.57 ,10.0,41.63,
0 , 3 MiB, 24576 MiB,9.67 ,10.2,42.67,
0 , 3 MiB, 24576 MiB,10.62 ,10.2,43.71,
0 , 3 MiB, 24576 MiB,10.63 ,10.7,44.74,
0 , 3 MiB, 24576 MiB,10.35 ,10.1,45.79,
0 , 3 MiB, 24576 MiB,10.19 ,10.7,46.83,
0 , 3 MiB, 24576 MiB,10.22 ,9.9,47.87,
0 , 3 MiB, 24576 MiB,9.71 ,10.1,48.91,
0 , 3 MiB, 24576 MiB,9.80 ,10.4,49.96,
0 , 3 MiB, 24576 MiB,9.47 ,10.0,51.0,
0 , 3 MiB, 24576 MiB,9.82 ,10.4,52.04,
0 , 3 MiB, 24576 MiB,10.32 ,10.2,53.09,
0 , 3 MiB, 24576 MiB,9.94 ,10.2,54.13,
0 , 3 MiB, 24576 MiB,10.22 ,10.3,55.17,
0 , 3 MiB, 24576 MiB,9.14 ,10.3,56.22,
0 , 3 MiB, 24576 MiB,10.11 ,10.2,57.27,
0 , 3 MiB, 24576 MiB,10.59 ,9.9,58.31,
0 , 3 MiB, 24576 MiB,10.05 ,10.0,59.35,
0 , 3 MiB, 24576 MiB,10.30 ,10.6,60.39,
0 , 3 MiB, 24576 MiB,10.23 ,10.9,61.44,
0 , 3 MiB, 24576 MiB,10.17 ,10.1,62.49,
0 , 3 MiB, 24576 MiB,10.11 ,11.4,63.55,
0 , 3 MiB, 24576 MiB,10.41 ,10.8,64.59,
0 , 3 MiB, 24576 MiB,9.64 ,11.0,65.63,
0 , 3 MiB, 24576 MiB,9.99 ,9.9,66.67,
0 , 3 MiB, 24576 MiB,10.21 ,10.4,67.72,
0 , 3 MiB, 24576 MiB,10.23 ,10.5,68.77,
0 , 3 MiB, 24576 MiB,10.19 ,10.2,69.81,
0 , 3 MiB, 24576 MiB,10.17 ,10.1,70.85,
0 , 3 MiB, 24576 MiB,10.27 ,10.2,71.91,
0 , 3 MiB, 24576 MiB,10.35 ,10.1,72.95,
0 , 3 MiB, 24576 MiB,10.10 ,10.4,74.01,
0 , 3 MiB, 24576 MiB,9.63 ,10.5,75.06,
0 , 3 MiB, 24576 MiB,9.21 ,9.9,76.11,
0 , 3 MiB, 24576 MiB,9.68 ,10.9,77.16,
0 , 3 MiB, 24576 MiB,9.74 ,10.3,78.21,
0 , 3 MiB, 24576 MiB,9.51 ,9.9,79.25,
0 , 3 MiB, 24576 MiB,9.93 ,10.1,80.3,
0 , 3 MiB, 24576 MiB,9.59 ,10.2,81.36,
0 , 3 MiB, 24576 MiB,10.08 ,10.4,82.4,
0 , 3 MiB, 24576 MiB,9.89 ,10.1,83.44,
0 , 3 MiB, 24576 MiB,9.57 ,10.3,84.49,
0 , 3 MiB, 24576 MiB,9.26 ,10.2,85.54,
0 , 3 MiB, 24576 MiB,9.95 ,10.3,86.6,
0 , 3 MiB, 24576 MiB,10.35 ,10.1,87.65,
0 , 3 MiB, 24576 MiB,9.80 ,10.2,88.7,
0 , 3 MiB, 24576 MiB,10.30 ,10.1,89.74,
0 , 3 MiB, 24576 MiB,10.09 ,10.6,90.8,
0 , 3 MiB, 24576 MiB,9.65 ,10.6,91.84,
0 , 3 MiB, 24576 MiB,9.74 ,10.0,92.89,
0 , 3 MiB, 24576 MiB,9.18 ,10.2,93.95,
0 , 3 MiB, 24576 MiB,10.26 ,10.2,95.0,
0 , 3 MiB, 24576 MiB,9.95 ,10.1,96.05,
0 , 3 MiB, 24576 MiB,10.30 ,10.2,97.1,
0 , 3 MiB, 24576 MiB,10.50 ,10.0,98.14,
0 , 3 MiB, 24576 MiB,10.46 ,10.2,99.19,
0 , 3 MiB, 24576 MiB,9.84 ,9.9,100.25,
0 , 3 MiB, 24576 MiB,9.65 ,10.0,101.3,
0 , 3 MiB, 24576 MiB,9.80 ,10.0,102.34,
0 , 3 MiB, 24576 MiB,10.39 ,10.1,103.4,
0 , 3 MiB, 24576 MiB,10.69 ,10.1,104.45,
0 , 3 MiB, 24576 MiB,9.71 ,10.6,105.51,
0 , 3 MiB, 24576 MiB,9.63 ,11.0,106.56,
0 , 3 MiB, 24576 MiB,10.53 ,10.2,107.61,
0 , 3 MiB, 24576 MiB,10.39 ,10.3,108.66,
0 , 3 MiB, 24576 MiB,10.31 ,10.3,109.72,
0 , 3 MiB, 24576 MiB,10.00 ,10.2,110.78,
0 , 3 MiB, 24576 MiB,10.85 ,10.1,111.83,
0 , 3 MiB, 24576 MiB,9.95 ,10.0,112.87,
0 , 3 MiB, 24576 MiB,10.04 ,10.1,113.92,
0 , 3 MiB, 24576 MiB,9.68 ,9.9,114.97,
0 , 3 MiB, 24576 MiB,9.64 ,10.1,116.01,
0 , 3 MiB, 24576 MiB,9.85 ,10.0,117.07,
0 , 3 MiB, 24576 MiB,10.26 ,10.2,118.14,
0 , 3 MiB, 24576 MiB,10.01 ,10.2,119.18,
0 , 3 MiB, 24576 MiB,9.65 ,10.3,120.25,
0 , 3 MiB, 24576 MiB,9.90 ,10.9,121.31,
