utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 24576 MiB,10.19 ,8.8,1.06,
0 , 3 MiB, 24576 MiB,10.41 ,8.7,2.1,
0 , 3 MiB, 24576 MiB,9.83 ,8.8,3.13,
0 , 3 MiB, 24576 MiB,10.23 ,9.1,4.17,
0 , 3 MiB, 24576 MiB,9.67 ,8.9,5.2,
0 , 3 MiB, 24576 MiB,9.36 ,8.8,6.24,
0 , 3 MiB, 24576 MiB,9.66 ,8.9,7.27,
0 , 3 MiB, 24576 MiB,10.07 ,8.7,8.31,
0 , 3 MiB, 24576 MiB,9.94 ,9.0,9.35,
0 , 3 MiB, 24576 MiB,9.91 ,8.9,10.39,
0 , 3 MiB, 24576 MiB,9.99 ,9.1,11.43,
0 , 3 MiB, 24576 MiB,9.88 ,9.5,12.46,
0 , 3 MiB, 24576 MiB,9.98 ,9.5,13.5,
0 , 3 MiB, 24576 MiB,9.92 ,9.2,14.54,
0 , 3 MiB, 24576 MiB,9.83 ,8.9,15.58,
0 , 3 MiB, 24576 MiB,9.39 ,8.9,16.61,
0 , 3 MiB, 24576 MiB,10.34 ,8.7,17.65,
0 , 3 MiB, 24576 MiB,10.08 ,8.7,18.69,
0 , 3 MiB, 24576 MiB,9.72 ,9.0,19.72,
0 , 3 MiB, 24576 MiB,9.29 ,8.9,20.76,
0 , 3 MiB, 24576 MiB,9.60 ,8.8,21.79,
0 , 3 MiB, 24576 MiB,9.39 ,8.9,22.83,
0 , 3 MiB, 24576 MiB,10.07 ,9.0,23.86,
0 , 3 MiB, 24576 MiB,9.88 ,8.8,24.9,
0 , 3 MiB, 24576 MiB,9.84 ,9.0,25.93,
0 , 3 MiB, 24576 MiB,9.53 ,9.2,26.97,
0 , 3 MiB, 24576 MiB,9.61 ,9.9,28.0,
0 , 3 MiB, 24576 MiB,9.94 ,9.1,29.04,
0 , 3 MiB, 24576 MiB,10.27 ,9.3,30.07,
0 , 3 MiB, 24576 MiB,9.81 ,8.6,31.11,
0 , 3 MiB, 24576 MiB,10.05 ,8.8,32.14,
0 , 3 MiB, 24576 MiB,9.57 ,8.9,33.18,
0 , 3 MiB, 24576 MiB,9.69 ,9.3,34.21,
