utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 24576 MiB,10.27 ,8.7,1.07,
0 , 3 MiB, 24576 MiB,10.37 ,8.7,2.1,
0 , 3 MiB, 24576 MiB,10.35 ,8.6,3.13,
0 , 3 MiB, 24576 MiB,10.63 ,8.7,4.17,
0 , 3 MiB, 24576 MiB,10.31 ,8.7,5.2,
0 , 3 MiB, 24576 MiB,10.69 ,8.7,6.23,
0 , 3 MiB, 24576 MiB,10.69 ,9.1,7.27,
0 , 3 MiB, 24576 MiB,10.77 ,8.6,8.3,
0 , 3 MiB, 24576 MiB,10.25 ,9.4,9.33,
0 , 3 MiB, 24576 MiB,10.19 ,8.9,10.37,
0 , 3 MiB, 24576 MiB,10.24 ,9.0,11.41,
0 , 3 MiB, 24576 MiB,10.50 ,9.0,12.44,
0 , 3 MiB, 24576 MiB,10.52 ,9.1,13.48,
0 , 3 MiB, 24576 MiB,10.85 ,8.9,14.51,
0 , 3 MiB, 24576 MiB,10.29 ,8.9,15.55,
0 , 3 MiB, 24576 MiB,9.93 ,8.9,16.59,
0 , 3 MiB, 24576 MiB,9.65 ,8.5,17.62,
0 , 3 MiB, 24576 MiB,10.29 ,8.7,18.66,
0 , 3 MiB, 24576 MiB,10.19 ,8.9,19.7,
0 , 3 MiB, 24576 MiB,9.86 ,8.8,20.74,
0 , 3 MiB, 24576 MiB,10.06 ,9.1,21.77,
0 , 3 MiB, 24576 MiB,10.09 ,8.7,22.81,
0 , 3 MiB, 24576 MiB,9.76 ,9.5,23.85,
0 , 3 MiB, 24576 MiB,10.23 ,8.8,24.88,
0 , 3 MiB, 24576 MiB,10.44 ,8.9,25.92,
0 , 3 MiB, 24576 MiB,9.95 ,9.0,26.95,
0 , 3 MiB, 24576 MiB,10.36 ,8.8,27.99,
0 , 3 MiB, 24576 MiB,10.33 ,8.6,29.03,
0 , 3 MiB, 24576 MiB,9.91 ,9.3,30.06,
0 , 3 MiB, 24576 MiB,9.74 ,9.2,31.09,
0 , 3 MiB, 24576 MiB,9.45 ,8.8,32.13,
