utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
1 , 23163 MiB, 24576 MiB,58.05 ,8.6,1.11,
0 , 23163 MiB, 24576 MiB,57.94 ,8.7,2.16,
0 , 23163 MiB, 24576 MiB,57.97 ,9.2,3.22,
0 , 23163 MiB, 24576 MiB,57.90 ,8.7,4.27,
0 , 23163 MiB, 24576 MiB,57.97 ,8.7,5.33,
0 , 23163 MiB, 24576 MiB,58.09 ,8.6,6.38,
0 , 23163 MiB, 24576 MiB,58.12 ,8.6,7.43,
0 , 23163 MiB, 24576 MiB,58.05 ,8.8,8.49,
0 , 23163 MiB, 24576 MiB,58.05 ,9.6,9.54,
1 , 23433 MiB, 24576 MiB,58.03 ,8.7,10.61,
5 , 23633 MiB, 24576 MiB,119.96 ,8.8,11.68,
28 , 23633 MiB, 24576 MiB,86.12 ,9.0,12.75,
5 , 23633 MiB, 24576 MiB,63.09 ,9.1,13.83,
6 , 23633 MiB, 24576 MiB,60.61 ,9.2,14.91,
7 , 23633 MiB, 24576 MiB,60.63 ,9.0,15.99,
7 , 23633 MiB, 24576 MiB,61.21 ,8.8,17.06,
7 , 23633 MiB, 24576 MiB,62.02 ,9.5,18.14,
7 , 23633 MiB, 24576 MiB,60.39 ,9.2,19.21,
7 , 23633 MiB, 24576 MiB,62.71 ,9.1,20.29,
7 , 23633 MiB, 24576 MiB,60.53 ,9.0,21.37,
7 , 23633 MiB, 24576 MiB,62.65 ,9.0,22.45,
7 , 23633 MiB, 24576 MiB,60.38 ,8.8,23.53,
7 , 23633 MiB, 24576 MiB,62.55 ,9.5,24.6,
7 , 23633 MiB, 24576 MiB,62.69 ,8.8,25.67,
7 , 23633 MiB, 24576 MiB,60.47 ,9.1,26.75,
7 , 23633 MiB, 24576 MiB,62.08 ,8.9,27.82,
7 , 23633 MiB, 24576 MiB,62.58 ,9.3,28.9,
7 , 23633 MiB, 24576 MiB,60.20 ,9.0,29.98,
7 , 23633 MiB, 24576 MiB,61.64 ,9.2,31.07,
7 , 23633 MiB, 24576 MiB,60.40 ,9.2,32.16,
7 , 23633 MiB, 24576 MiB,62.47 ,9.2,33.24,
7 , 23633 MiB, 24576 MiB,60.43 ,9.3,34.33,
7 , 23633 MiB, 24576 MiB,60.21 ,9.1,35.41,
7 , 23633 MiB, 24576 MiB,60.36 ,9.1,36.5,
7 , 23633 MiB, 24576 MiB,58.10 ,9.1,37.63,
5 , 23633 MiB, 24576 MiB,60.44 ,8.9,38.71,
6 , 23633 MiB, 24576 MiB,60.28 ,9.6,39.79,
7 , 23633 MiB, 24576 MiB,62.81 ,9.0,40.87,
7 , 23633 MiB, 24576 MiB,62.69 ,9.2,41.95,
7 , 23633 MiB, 24576 MiB,62.63 ,9.0,43.03,
7 , 23633 MiB, 24576 MiB,60.53 ,9.2,44.12,
7 , 23633 MiB, 24576 MiB,62.59 ,9.1,45.19,
7 , 23633 MiB, 24576 MiB,62.01 ,9.4,46.27,
7 , 23633 MiB, 24576 MiB,60.43 ,9.2,47.35,
7 , 23633 MiB, 24576 MiB,62.35 ,9.3,48.44,
7 , 23633 MiB, 24576 MiB,60.41 ,9.1,49.51,
7 , 23633 MiB, 24576 MiB,62.38 ,9.0,50.6,
7 , 23633 MiB, 24576 MiB,60.77 ,9.2,51.67,
7 , 23633 MiB, 24576 MiB,61.86 ,8.7,52.75,
7 , 23633 MiB, 24576 MiB,60.08 ,9.6,53.84,
7 , 23633 MiB, 24576 MiB,60.40 ,9.1,54.92,
7 , 23633 MiB, 24576 MiB,61.04 ,10.5,56.01,
7 , 23633 MiB, 24576 MiB,62.60 ,9.8,57.1,
7 , 23633 MiB, 24576 MiB,61.78 ,9.3,58.17,
7 , 23633 MiB, 24576 MiB,60.44 ,9.2,59.26,
