utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 24576 MiB,13.73 ,8.9,1.07,
0 , 3 MiB, 24576 MiB,12.63 ,8.7,2.11,
0 , 3 MiB, 24576 MiB,13.12 ,8.8,3.15,
0 , 3 MiB, 24576 MiB,12.81 ,9.8,4.18,
0 , 3 MiB, 24576 MiB,13.03 ,8.8,5.22,
0 , 3 MiB, 24576 MiB,12.73 ,9.5,6.26,
0 , 3 MiB, 24576 MiB,12.60 ,8.9,7.3,
0 , 3 MiB, 24576 MiB,12.23 ,8.7,8.34,
0 , 3 MiB, 24576 MiB,12.38 ,11.2,9.38,
0 , 3 MiB, 24576 MiB,12.29 ,12.3,10.44,
0 , 3 MiB, 24576 MiB,12.18 ,12.1,11.49,
0 , 3 MiB, 24576 MiB,12.24 ,11.6,12.53,
0 , 3 MiB, 24576 MiB,12.15 ,11.8,13.57,
0 , 3 MiB, 24576 MiB,12.21 ,11.9,14.61,
0 , 3 MiB, 24576 MiB,12.10 ,11.9,15.66,
0 , 3 MiB, 24576 MiB,12.23 ,11.9,16.7,
0 , 3 MiB, 24576 MiB,11.54 ,11.8,17.75,
0 , 3 MiB, 24576 MiB,11.48 ,12.2,18.8,
0 , 3 MiB, 24576 MiB,11.23 ,11.8,19.85,
0 , 3 MiB, 24576 MiB,11.07 ,11.7,20.89,
0 , 3 MiB, 24576 MiB,11.33 ,11.5,21.94,
0 , 3 MiB, 24576 MiB,11.13 ,11.7,22.98,
0 , 3 MiB, 24576 MiB,11.08 ,11.7,24.02,
0 , 3 MiB, 24576 MiB,11.69 ,11.8,25.06,
0 , 3 MiB, 24576 MiB,11.79 ,11.9,26.11,
0 , 3 MiB, 24576 MiB,10.51 ,11.8,27.16,
0 , 3 MiB, 24576 MiB,10.90 ,11.6,28.21,
0 , 3 MiB, 24576 MiB,11.04 ,11.8,29.26,
0 , 3 MiB, 24576 MiB,11.22 ,11.5,30.31,
0 , 3 MiB, 24576 MiB,10.97 ,11.4,31.34,
0 , 3 MiB, 24576 MiB,10.85 ,11.4,32.39,
0 , 3 MiB, 24576 MiB,10.71 ,12.4,33.44,
0 , 3 MiB, 24576 MiB,10.68 ,11.6,34.48,
0 , 3 MiB, 24576 MiB,10.57 ,11.7,35.53,
0 , 3 MiB, 24576 MiB,10.30 ,11.6,36.58,
0 , 3 MiB, 24576 MiB,10.50 ,11.9,37.62,
0 , 3 MiB, 24576 MiB,10.52 ,11.6,38.66,
0 , 3 MiB, 24576 MiB,10.51 ,12.0,39.7,
0 , 3 MiB, 24576 MiB,10.39 ,11.6,40.75,
0 , 3 MiB, 24576 MiB,10.31 ,12.0,41.79,
0 , 3 MiB, 24576 MiB,10.55 ,11.7,42.85,
0 , 3 MiB, 24576 MiB,10.02 ,11.7,43.9,
0 , 3 MiB, 24576 MiB,10.00 ,12.2,44.94,
0 , 3 MiB, 24576 MiB,10.19 ,11.8,45.98,
0 , 3 MiB, 24576 MiB,9.60 ,11.7,47.02,
0 , 3 MiB, 24576 MiB,9.84 ,11.7,48.06,
0 , 3 MiB, 24576 MiB,10.38 ,12.7,49.1,
0 , 3 MiB, 24576 MiB,10.19 ,11.8,50.14,
0 , 3 MiB, 24576 MiB,8.86 ,11.9,51.19,
0 , 3 MiB, 24576 MiB,9.13 ,11.7,52.24,
0 , 3 MiB, 24576 MiB,8.94 ,12.0,53.29,
0 , 3 MiB, 24576 MiB,10.30 ,11.7,54.34,
0 , 3 MiB, 24576 MiB,10.20 ,11.6,55.39,
0 , 3 MiB, 24576 MiB,9.62 ,11.6,56.44,
0 , 3 MiB, 24576 MiB,9.89 ,12.2,57.48,
0 , 3 MiB, 24576 MiB,9.87 ,11.8,58.51,
0 , 3 MiB, 24576 MiB,10.06 ,12.0,59.55,
0 , 3 MiB, 24576 MiB,9.44 ,11.3,60.59,
0 , 3 MiB, 24576 MiB,9.17 ,11.6,61.64,
0 , 3 MiB, 24576 MiB,9.21 ,12.0,62.69,
0 , 3 MiB, 24576 MiB,9.34 ,12.2,63.75,
0 , 3 MiB, 24576 MiB,9.15 ,12.2,64.8,
0 , 3 MiB, 24576 MiB,9.73 ,11.7,65.86,
0 , 3 MiB, 24576 MiB,10.18 ,11.9,66.92,
0 , 3 MiB, 24576 MiB,9.70 ,11.6,67.97,
0 , 3 MiB, 24576 MiB,9.48 ,11.7,69.02,
0 , 3 MiB, 24576 MiB,9.75 ,12.1,70.07,
0 , 3 MiB, 24576 MiB,14.72 ,11.7,71.15,
0 , 3 MiB, 24576 MiB,10.18 ,12.2,72.2,
0 , 3 MiB, 24576 MiB,9.60 ,11.1,73.25,
0 , 3 MiB, 24576 MiB,10.25 ,11.5,74.3,
0 , 3 MiB, 24576 MiB,9.84 ,11.7,75.35,
0 , 3 MiB, 24576 MiB,10.02 ,11.5,76.39,
0 , 3 MiB, 24576 MiB,9.41 ,11.7,77.44,
0 , 3 MiB, 24576 MiB,9.52 ,12.4,78.5,
0 , 3 MiB, 24576 MiB,8.82 ,11.6,79.55,
0 , 3 MiB, 24576 MiB,9.65 ,11.6,80.59,
0 , 3 MiB, 24576 MiB,9.37 ,11.8,81.65,
0 , 3 MiB, 24576 MiB,8.73 ,11.7,82.7,
0 , 3 MiB, 24576 MiB,8.72 ,11.9,83.75,
0 , 3 MiB, 24576 MiB,9.30 ,12.1,84.81,
0 , 3 MiB, 24576 MiB,9.63 ,11.8,85.87,
0 , 3 MiB, 24576 MiB,9.40 ,11.7,86.92,
0 , 3 MiB, 24576 MiB,9.23 ,12.1,87.97,
0 , 3 MiB, 24576 MiB,9.48 ,11.8,89.02,
0 , 3 MiB, 24576 MiB,9.36 ,11.9,90.08,
0 , 3 MiB, 24576 MiB,9.05 ,11.6,91.12,
0 , 3 MiB, 24576 MiB,9.48 ,11.5,92.16,
0 , 3 MiB, 24576 MiB,10.28 ,11.6,93.2,
0 , 3 MiB, 24576 MiB,9.85 ,12.3,94.24,
0 , 3 MiB, 24576 MiB,9.16 ,11.6,95.28,
0 , 3 MiB, 24576 MiB,9.62 ,11.4,96.33,
0 , 3 MiB, 24576 MiB,9.60 ,11.7,97.38,
0 , 3 MiB, 24576 MiB,9.68 ,11.9,98.44,
0 , 3 MiB, 24576 MiB,9.17 ,11.5,99.49,
0 , 3 MiB, 24576 MiB,8.81 ,11.9,100.54,
