utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 24576 MiB,9.75 ,8.7,1.07,
0 , 3 MiB, 24576 MiB,9.58 ,8.5,2.11,
0 , 3 MiB, 24576 MiB,9.96 ,8.6,3.15,
0 , 3 MiB, 24576 MiB,8.86 ,8.6,4.18,
0 , 3 MiB, 24576 MiB,10.08 ,8.6,5.22,
0 , 3 MiB, 24576 MiB,9.79 ,9.5,6.25,
0 , 3 MiB, 24576 MiB,9.60 ,8.7,7.29,
0 , 3 MiB, 24576 MiB,9.64 ,8.5,8.32,
0 , 3 MiB, 24576 MiB,9.83 ,9.1,9.36,
0 , 3 MiB, 24576 MiB,9.71 ,9.0,10.4,
0 , 3 MiB, 24576 MiB,10.25 ,8.7,11.43,
0 , 3 MiB, 24576 MiB,9.67 ,8.9,12.47,
0 , 3 MiB, 24576 MiB,9.83 ,8.9,13.51,
0 , 3 MiB, 24576 MiB,10.09 ,9.1,14.54,
0 , 3 MiB, 24576 MiB,9.33 ,9.1,15.58,
0 , 3 MiB, 24576 MiB,9.50 ,9.0,16.62,
0 , 3 MiB, 24576 MiB,9.08 ,9.2,17.65,
0 , 3 MiB, 24576 MiB,9.13 ,8.8,18.69,
0 , 3 MiB, 24576 MiB,8.51 ,8.8,19.73,
0 , 3 MiB, 24576 MiB,8.52 ,9.3,20.77,
0 , 3 MiB, 24576 MiB,9.32 ,8.8,21.8,
0 , 3 MiB, 24576 MiB,8.81 ,9.7,22.84,
0 , 3 MiB, 24576 MiB,8.77 ,8.9,23.88,
0 , 3 MiB, 24576 MiB,9.94 ,9.0,24.91,
0 , 3 MiB, 24576 MiB,9.24 ,8.8,25.95,
0 , 3 MiB, 24576 MiB,9.89 ,8.9,26.99,
0 , 3 MiB, 24576 MiB,10.05 ,8.8,28.03,
0 , 3 MiB, 24576 MiB,10.24 ,8.6,29.06,
0 , 3 MiB, 24576 MiB,10.22 ,8.8,30.1,
0 , 3 MiB, 24576 MiB,10.36 ,8.9,31.14,
0 , 3 MiB, 24576 MiB,9.93 ,8.9,32.17,
0 , 3 MiB, 24576 MiB,10.13 ,8.8,33.21,
0 , 3 MiB, 24576 MiB,9.39 ,8.7,34.25,
0 , 3 MiB, 24576 MiB,9.28 ,9.0,35.29,
0 , 3 MiB, 24576 MiB,9.38 ,9.5,36.33,
0 , 3 MiB, 24576 MiB,9.42 ,8.8,37.37,
0 , 3 MiB, 24576 MiB,9.59 ,9.0,38.41,
0 , 3 MiB, 24576 MiB,9.50 ,8.9,39.44,
0 , 3 MiB, 24576 MiB,9.12 ,9.4,40.48,
0 , 3 MiB, 24576 MiB,9.76 ,8.8,41.52,
0 , 3 MiB, 24576 MiB,9.55 ,9.0,42.56,
0 , 3 MiB, 24576 MiB,9.82 ,9.0,43.59,
0 , 3 MiB, 24576 MiB,9.14 ,8.8,44.63,
0 , 3 MiB, 24576 MiB,10.18 ,9.0,45.67,
0 , 3 MiB, 24576 MiB,9.60 ,9.1,46.7,
0 , 3 MiB, 24576 MiB,9.71 ,8.9,47.74,
0 , 3 MiB, 24576 MiB,9.88 ,9.0,48.78,
0 , 3 MiB, 24576 MiB,9.56 ,8.8,49.81,
0 , 3 MiB, 24576 MiB,9.69 ,9.7,50.85,
0 , 3 MiB, 24576 MiB,9.36 ,9.0,51.89,
0 , 3 MiB, 24576 MiB,9.50 ,9.1,52.93,
0 , 3 MiB, 24576 MiB,9.96 ,8.8,53.96,
0 , 3 MiB, 24576 MiB,9.98 ,9.3,55.0,
0 , 3 MiB, 24576 MiB,10.22 ,8.8,56.04,
0 , 3 MiB, 24576 MiB,9.62 ,8.9,57.08,
0 , 3 MiB, 24576 MiB,10.49 ,8.8,58.11,
0 , 3 MiB, 24576 MiB,10.46 ,8.8,59.15,
0 , 3 MiB, 24576 MiB,9.92 ,8.9,60.19,
0 , 3 MiB, 24576 MiB,10.47 ,9.1,61.23,
0 , 3 MiB, 24576 MiB,10.53 ,8.9,62.26,
0 , 3 MiB, 24576 MiB,9.70 ,9.0,63.3,
0 , 3 MiB, 24576 MiB,10.09 ,8.9,64.34,
0 , 3 MiB, 24576 MiB,9.66 ,8.7,65.38,
0 , 3 MiB, 24576 MiB,9.28 ,9.4,66.41,
0 , 3 MiB, 24576 MiB,8.98 ,9.0,67.45,
0 , 3 MiB, 24576 MiB,9.47 ,8.8,68.48,
0 , 3 MiB, 24576 MiB,9.64 ,8.7,69.52,
0 , 3 MiB, 24576 MiB,9.81 ,9.3,70.56,
0 , 3 MiB, 24576 MiB,9.65 ,9.0,71.6,
0 , 3 MiB, 24576 MiB,10.17 ,9.0,72.63,
0 , 3 MiB, 24576 MiB,10.45 ,9.0,73.67,
0 , 3 MiB, 24576 MiB,10.56 ,8.6,74.71,
0 , 3 MiB, 24576 MiB,10.74 ,9.0,75.74,
0 , 3 MiB, 24576 MiB,9.98 ,9.1,76.78,
0 , 3 MiB, 24576 MiB,9.56 ,8.9,77.82,
0 , 3 MiB, 24576 MiB,10.05 ,8.8,78.86,
0 , 3 MiB, 24576 MiB,10.15 ,8.9,79.89,
0 , 3 MiB, 24576 MiB,10.47 ,9.6,80.93,
0 , 3 MiB, 24576 MiB,10.10 ,8.9,81.97,
0 , 3 MiB, 24576 MiB,9.74 ,9.4,83.01,
0 , 3 MiB, 24576 MiB,9.82 ,9.0,84.04,
0 , 3 MiB, 24576 MiB,9.69 ,8.7,85.08,
0 , 3 MiB, 24576 MiB,9.47 ,9.2,86.12,
0 , 3 MiB, 24576 MiB,10.11 ,8.8,87.15,
0 , 3 MiB, 24576 MiB,10.44 ,9.4,88.19,
0 , 3 MiB, 24576 MiB,10.45 ,9.0,89.23,
0 , 3 MiB, 24576 MiB,10.64 ,8.8,90.27,
0 , 3 MiB, 24576 MiB,10.41 ,8.9,91.3,
0 , 3 MiB, 24576 MiB,10.54 ,9.1,92.34,
0 , 3 MiB, 24576 MiB,9.91 ,8.6,93.38,
0 , 3 MiB, 24576 MiB,10.60 ,8.8,94.42,
0 , 3 MiB, 24576 MiB,10.22 ,9.1,95.45,
0 , 3 MiB, 24576 MiB,10.12 ,9.5,96.49,
0 , 3 MiB, 24576 MiB,10.27 ,9.1,97.53,
0 , 3 MiB, 24576 MiB,10.61 ,8.8,98.56,
0 , 3 MiB, 24576 MiB,9.92 ,8.9,99.6,
0 , 3 MiB, 24576 MiB,9.94 ,9.4,100.64,
0 , 3 MiB, 24576 MiB,9.87 ,9.0,101.67,
0 , 3 MiB, 24576 MiB,10.58 ,8.9,102.71,
0 , 3 MiB, 24576 MiB,10.53 ,8.9,103.75,
0 , 3 MiB, 24576 MiB,10.34 ,8.9,104.79,
0 , 3 MiB, 24576 MiB,9.87 ,8.8,105.82,
0 , 3 MiB, 24576 MiB,10.14 ,9.1,106.86,
0 , 3 MiB, 24576 MiB,10.00 ,8.8,107.9,
0 , 3 MiB, 24576 MiB,10.62 ,8.9,108.93,
0 , 3 MiB, 24576 MiB,10.47 ,9.1,109.97,
0 , 3 MiB, 24576 MiB,10.16 ,9.4,111.01,
0 , 3 MiB, 24576 MiB,9.85 ,8.7,112.04,
0 , 3 MiB, 24576 MiB,9.97 ,8.9,113.08,
0 , 3 MiB, 24576 MiB,10.40 ,8.9,114.12,
0 , 3 MiB, 24576 MiB,10.27 ,8.9,115.16,
0 , 3 MiB, 24576 MiB,10.14 ,9.3,116.19,
0 , 3 MiB, 24576 MiB,10.27 ,8.9,117.23,
0 , 3 MiB, 24576 MiB,10.05 ,8.9,118.27,
