utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 24576 MiB,9.61 ,8.9,1.07,
0 , 3 MiB, 24576 MiB,10.11 ,8.7,2.1,
0 , 3 MiB, 24576 MiB,10.58 ,8.8,3.13,
0 , 3 MiB, 24576 MiB,10.70 ,9.0,4.16,
0 , 3 MiB, 24576 MiB,9.84 ,9.7,5.2,
0 , 3 MiB, 24576 MiB,9.84 ,9.2,6.23,
0 , 3 MiB, 24576 MiB,9.91 ,9.0,7.26,
0 , 3 MiB, 24576 MiB,10.19 ,8.9,8.3,
0 , 3 MiB, 24576 MiB,10.27 ,8.9,9.33,
0 , 3 MiB, 24576 MiB,10.32 ,8.8,10.37,
0 , 3 MiB, 24576 MiB,9.64 ,9.0,11.4,
0 , 3 MiB, 24576 MiB,9.67 ,9.3,12.44,
0 , 3 MiB, 24576 MiB,10.07 ,9.0,13.47,
0 , 3 MiB, 24576 MiB,10.36 ,8.9,14.5,
0 , 3 MiB, 24576 MiB,10.48 ,8.8,15.54,
0 , 3 MiB, 24576 MiB,10.27 ,8.8,16.57,
0 , 3 MiB, 24576 MiB,10.05 ,8.8,17.61,
0 , 3 MiB, 24576 MiB,9.35 ,9.0,18.64,
0 , 3 MiB, 24576 MiB,9.36 ,9.2,19.68,
0 , 3 MiB, 24576 MiB,9.75 ,9.5,20.71,
0 , 3 MiB, 24576 MiB,10.38 ,8.8,21.74,
0 , 3 MiB, 24576 MiB,10.40 ,8.6,22.78,
0 , 3 MiB, 24576 MiB,10.09 ,9.0,23.81,
0 , 3 MiB, 24576 MiB,10.24 ,8.8,24.84,
0 , 3 MiB, 24576 MiB,10.25 ,8.8,25.88,
0 , 3 MiB, 24576 MiB,10.51 ,9.3,26.91,
0 , 3 MiB, 24576 MiB,10.70 ,9.0,27.95,
0 , 3 MiB, 24576 MiB,10.36 ,8.8,28.98,
0 , 3 MiB, 24576 MiB,10.28 ,8.7,30.01,
0 , 3 MiB, 24576 MiB,9.91 ,8.8,31.05,
0 , 3 MiB, 24576 MiB,10.06 ,8.9,32.08,
0 , 3 MiB, 24576 MiB,10.30 ,8.9,33.12,
0 , 3 MiB, 24576 MiB,10.27 ,9.0,34.15,
0 , 3 MiB, 24576 MiB,9.89 ,9.6,35.19,
0 , 3 MiB, 24576 MiB,9.84 ,8.9,36.22,
0 , 3 MiB, 24576 MiB,10.31 ,8.9,37.25,
0 , 3 MiB, 24576 MiB,9.79 ,8.6,38.29,
0 , 3 MiB, 24576 MiB,9.88 ,8.8,39.32,
0 , 3 MiB, 24576 MiB,9.56 ,8.7,40.35,
0 , 3 MiB, 24576 MiB,9.59 ,9.0,41.39,
0 , 3 MiB, 24576 MiB,9.74 ,9.0,42.42,
0 , 3 MiB, 24576 MiB,9.71 ,8.9,43.45,
0 , 3 MiB, 24576 MiB,9.57 ,8.8,44.49,
0 , 3 MiB, 24576 MiB,9.73 ,9.1,45.52,
0 , 3 MiB, 24576 MiB,10.00 ,9.0,46.56,
0 , 3 MiB, 24576 MiB,10.57 ,8.9,47.59,
0 , 3 MiB, 24576 MiB,10.78 ,8.9,48.62,
0 , 3 MiB, 24576 MiB,10.50 ,8.8,49.66,
0 , 3 MiB, 24576 MiB,10.06 ,9.8,50.69,
0 , 3 MiB, 24576 MiB,9.81 ,8.8,51.73,
0 , 3 MiB, 24576 MiB,10.23 ,9.5,52.76,
0 , 3 MiB, 24576 MiB,9.82 ,8.7,53.79,
0 , 3 MiB, 24576 MiB,9.72 ,8.8,54.83,
0 , 3 MiB, 24576 MiB,9.97 ,9.1,55.86,
0 , 3 MiB, 24576 MiB,10.13 ,8.7,56.89,
0 , 3 MiB, 24576 MiB,9.89 ,9.2,57.93,
0 , 3 MiB, 24576 MiB,9.86 ,8.7,58.96,
0 , 3 MiB, 24576 MiB,9.73 ,8.9,60.0,
0 , 3 MiB, 24576 MiB,9.52 ,8.7,61.03,
0 , 3 MiB, 24576 MiB,10.11 ,8.9,62.07,
0 , 3 MiB, 24576 MiB,9.41 ,9.0,63.1,
0 , 3 MiB, 24576 MiB,8.78 ,9.0,64.13,
0 , 3 MiB, 24576 MiB,9.32 ,10.2,65.17,
0 , 3 MiB, 24576 MiB,8.99 ,8.9,66.2,
0 , 3 MiB, 24576 MiB,9.67 ,8.8,67.23,
0 , 3 MiB, 24576 MiB,9.81 ,8.6,68.27,
0 , 3 MiB, 24576 MiB,9.71 ,8.7,69.3,
0 , 3 MiB, 24576 MiB,9.74 ,8.7,70.34,
0 , 3 MiB, 24576 MiB,9.51 ,8.8,71.37,
0 , 3 MiB, 24576 MiB,9.93 ,9.2,72.4,
0 , 3 MiB, 24576 MiB,10.05 ,9.1,73.44,
0 , 3 MiB, 24576 MiB,10.14 ,10.1,74.47,
0 , 3 MiB, 24576 MiB,9.79 ,8.7,75.5,
0 , 3 MiB, 24576 MiB,10.36 ,8.8,76.54,
0 , 3 MiB, 24576 MiB,9.32 ,8.8,77.57,
0 , 3 MiB, 24576 MiB,9.85 ,9.2,78.61,
0 , 3 MiB, 24576 MiB,9.61 ,8.8,79.64,
0 , 3 MiB, 24576 MiB,10.67 ,14.7,80.67,
0 , 3 MiB, 24576 MiB,10.49 ,9.7,81.71,
0 , 3 MiB, 24576 MiB,10.18 ,8.9,82.74,
0 , 3 MiB, 24576 MiB,9.72 ,8.9,83.78,
0 , 3 MiB, 24576 MiB,9.66 ,9.0,84.81,
0 , 3 MiB, 24576 MiB,9.95 ,9.1,85.84,
0 , 3 MiB, 24576 MiB,10.24 ,8.9,86.88,
0 , 3 MiB, 24576 MiB,10.56 ,9.2,87.91,
0 , 3 MiB, 24576 MiB,10.32 ,8.9,88.95,
0 , 3 MiB, 24576 MiB,9.94 ,9.0,89.98,
0 , 3 MiB, 24576 MiB,9.94 ,8.9,91.01,
0 , 3 MiB, 24576 MiB,9.60 ,8.6,92.05,
0 , 3 MiB, 24576 MiB,10.21 ,8.8,93.09,
0 , 3 MiB, 24576 MiB,9.91 ,8.8,94.12,
0 , 3 MiB, 24576 MiB,10.15 ,9.5,95.15,
0 , 3 MiB, 24576 MiB,9.72 ,9.3,96.19,
0 , 3 MiB, 24576 MiB,9.00 ,8.7,97.22,
0 , 3 MiB, 24576 MiB,9.78 ,9.0,98.26,
0 , 3 MiB, 24576 MiB,9.67 ,8.8,99.29,
0 , 3 MiB, 24576 MiB,9.91 ,8.9,100.32,
0 , 3 MiB, 24576 MiB,9.87 ,8.9,101.36,
0 , 3 MiB, 24576 MiB,9.66 ,8.8,102.39,
0 , 3 MiB, 24576 MiB,9.81 ,9.0,103.42,
0 , 3 MiB, 24576 MiB,10.56 ,8.9,104.46,
0 , 3 MiB, 24576 MiB,10.06 ,8.9,105.49,
0 , 3 MiB, 24576 MiB,10.59 ,8.9,106.53,
0 , 3 MiB, 24576 MiB,10.28 ,8.6,107.56,
0 , 3 MiB, 24576 MiB,9.53 ,8.8,108.6,
0 , 3 MiB, 24576 MiB,9.58 ,8.8,109.63,
0 , 3 MiB, 24576 MiB,9.73 ,10.3,110.66,
0 , 3 MiB, 24576 MiB,9.60 ,9.6,111.7,
0 , 3 MiB, 24576 MiB,10.20 ,9.3,112.73,
0 , 3 MiB, 24576 MiB,10.35 ,8.9,113.77,
0 , 3 MiB, 24576 MiB,10.10 ,8.8,114.8,
0 , 3 MiB, 24576 MiB,10.40 ,8.8,115.83,
0 , 3 MiB, 24576 MiB,9.63 ,8.6,116.87,
0 , 3 MiB, 24576 MiB,9.51 ,8.9,117.9,
0 , 3 MiB, 24576 MiB,9.28 ,8.8,118.94,
0 , 3 MiB, 24576 MiB,10.03 ,9.0,119.97,
