utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
1 , 23163 MiB, 24576 MiB,58.03 ,8.5,1.1,
0 , 23163 MiB, 24576 MiB,58.04 ,8.7,2.15,
0 , 23163 MiB, 24576 MiB,58.02 ,8.6,3.2,
0 , 23163 MiB, 24576 MiB,58.12 ,8.7,4.25,
0 , 23163 MiB, 24576 MiB,58.05 ,8.9,5.3,
0 , 23163 MiB, 24576 MiB,58.08 ,8.9,6.35,
0 , 23163 MiB, 24576 MiB,58.15 ,8.6,7.4,
0 , 23163 MiB, 24576 MiB,58.05 ,8.6,8.45,
0 , 23163 MiB, 24576 MiB,58.19 ,9.5,9.51,
4 , 23431 MiB, 24576 MiB,58.14 ,9.0,10.57,
22 , 23633 MiB, 24576 MiB,198.81 ,8.9,11.64,
13 , 23633 MiB, 24576 MiB,96.17 ,8.9,12.72,
5 , 23633 MiB, 24576 MiB,65.12 ,9.3,13.81,
7 , 23633 MiB, 24576 MiB,65.09 ,9.0,14.88,
7 , 23633 MiB, 24576 MiB,67.16 ,8.9,15.96,
7 , 23633 MiB, 24576 MiB,61.30 ,8.9,17.03,
7 , 23633 MiB, 24576 MiB,64.62 ,9.0,18.1,
7 , 23633 MiB, 24576 MiB,62.17 ,8.8,19.18,
6 , 23633 MiB, 24576 MiB,61.57 ,9.0,20.25,
7 , 23633 MiB, 24576 MiB,64.64 ,9.0,21.33,
7 , 23633 MiB, 24576 MiB,61.32 ,8.9,22.41,
7 , 23633 MiB, 24576 MiB,64.56 ,8.9,23.48,
7 , 23633 MiB, 24576 MiB,64.65 ,9.6,24.55,
7 , 23633 MiB, 24576 MiB,64.61 ,9.4,25.63,
7 , 23633 MiB, 24576 MiB,61.48 ,9.1,26.71,
7 , 23633 MiB, 24576 MiB,64.74 ,8.9,27.78,
7 , 23633 MiB, 24576 MiB,64.54 ,9.3,28.85,
7 , 23633 MiB, 24576 MiB,61.28 ,9.0,29.93,
7 , 23633 MiB, 24576 MiB,61.53 ,8.9,31.0,
7 , 23633 MiB, 24576 MiB,64.89 ,8.8,32.08,
7 , 23633 MiB, 24576 MiB,64.78 ,8.7,33.16,
7 , 23633 MiB, 24576 MiB,61.47 ,8.9,34.23,
7 , 23633 MiB, 24576 MiB,64.73 ,9.0,35.31,
7 , 23633 MiB, 24576 MiB,63.28 ,9.1,36.39,
7 , 23633 MiB, 24576 MiB,64.79 ,9.1,37.48,
7 , 23633 MiB, 24576 MiB,61.50 ,8.7,38.56,
7 , 23633 MiB, 24576 MiB,64.69 ,9.7,39.66,
7 , 23633 MiB, 24576 MiB,64.68 ,9.2,40.74,
7 , 23633 MiB, 24576 MiB,61.62 ,8.8,41.82,
7 , 23633 MiB, 24576 MiB,64.90 ,9.0,42.89,
7 , 23633 MiB, 24576 MiB,64.75 ,9.5,43.97,
7 , 23633 MiB, 24576 MiB,61.50 ,8.9,45.06,
7 , 23633 MiB, 24576 MiB,61.47 ,9.0,46.15,
7 , 23633 MiB, 24576 MiB,61.62 ,8.8,47.22,
7 , 23633 MiB, 24576 MiB,64.73 ,8.8,48.3,
7 , 23633 MiB, 24576 MiB,58.10 ,9.0,49.38,
5 , 23633 MiB, 24576 MiB,61.41 ,8.9,50.47,
6 , 23633 MiB, 24576 MiB,61.46 ,9.1,51.55,
6 , 23633 MiB, 24576 MiB,64.69 ,9.0,52.63,
7 , 23633 MiB, 24576 MiB,64.81 ,9.0,53.71,
7 , 23633 MiB, 24576 MiB,62.26 ,10.1,54.8,
8 , 23633 MiB, 24576 MiB,61.53 ,9.9,55.88,
7 , 23633 MiB, 24576 MiB,64.56 ,9.2,56.96,
7 , 23633 MiB, 24576 MiB,61.55 ,9.2,58.05,
7 , 23633 MiB, 24576 MiB,61.44 ,9.1,59.13,
7 , 23633 MiB, 24576 MiB,64.65 ,9.2,60.22,
7 , 23633 MiB, 24576 MiB,64.73 ,9.1,61.32,
7 , 23633 MiB, 24576 MiB,61.28 ,8.7,62.4,
7 , 23633 MiB, 24576 MiB,61.25 ,8.9,63.48,
7 , 23633 MiB, 24576 MiB,63.67 ,9.0,64.56,
7 , 23633 MiB, 24576 MiB,64.58 ,9.1,65.64,
7 , 23633 MiB, 24576 MiB,64.75 ,9.1,66.74,
7 , 23633 MiB, 24576 MiB,61.47 ,9.2,67.83,
7 , 23633 MiB, 24576 MiB,61.62 ,9.6,68.92,
7 , 23633 MiB, 24576 MiB,61.52 ,9.1,70.0,
7 , 23633 MiB, 24576 MiB,64.83 ,9.2,71.09,
7 , 23633 MiB, 24576 MiB,64.63 ,9.1,72.17,
7 , 23633 MiB, 24576 MiB,64.86 ,9.1,73.26,
7 , 23633 MiB, 24576 MiB,64.87 ,9.1,74.34,
7 , 23633 MiB, 24576 MiB,64.87 ,9.0,75.42,
7 , 23633 MiB, 24576 MiB,64.75 ,8.8,76.51,
7 , 23633 MiB, 24576 MiB,61.62 ,9.0,77.59,
7 , 23633 MiB, 24576 MiB,64.81 ,10.3,78.68,
7 , 23633 MiB, 24576 MiB,61.48 ,8.9,79.86,
5 , 23633 MiB, 24576 MiB,64.78 ,9.1,80.96,
6 , 23633 MiB, 24576 MiB,64.65 ,9.1,82.03,
7 , 23633 MiB, 24576 MiB,61.38 ,8.8,83.11,
7 , 23633 MiB, 24576 MiB,61.33 ,10.0,84.2,
7 , 23633 MiB, 24576 MiB,64.77 ,8.9,85.28,
7 , 23633 MiB, 24576 MiB,64.77 ,9.4,86.37,
7 , 23633 MiB, 24576 MiB,61.47 ,9.0,87.46,
7 , 23633 MiB, 24576 MiB,61.44 ,9.0,88.55,
7 , 23633 MiB, 24576 MiB,62.47 ,9.1,89.64,
7 , 23633 MiB, 24576 MiB,64.82 ,9.0,90.74,
7 , 23633 MiB, 24576 MiB,64.70 ,8.9,91.82,
7 , 23633 MiB, 24576 MiB,64.26 ,8.9,92.9,
