utilization_gpu,memory_used,memory_total,poer_dra,cpu_usage,time,
0 , 3 MiB, 24576 MiB,9.47 ,8.6,1.07,
0 , 3 MiB, 24576 MiB,9.41 ,8.8,2.11,
0 , 3 MiB, 24576 MiB,9.09 ,9.1,3.14,
0 , 3 MiB, 24576 MiB,9.80 ,8.9,4.18,
0 , 3 MiB, 24576 MiB,9.47 ,8.9,5.22,
0 , 3 MiB, 24576 MiB,9.25 ,9.4,6.25,
0 , 3 MiB, 24576 MiB,10.19 ,8.7,7.28,
0 , 3 MiB, 24576 MiB,9.52 ,9.5,8.31,
0 , 3 MiB, 24576 MiB,9.44 ,8.9,9.35,
0 , 3 MiB, 24576 MiB,10.02 ,8.8,10.39,
0 , 3 MiB, 24576 MiB,10.32 ,8.9,11.42,
0 , 3 MiB, 24576 MiB,10.33 ,8.9,12.46,
0 , 3 MiB, 24576 MiB,10.00 ,8.7,13.49,
0 , 3 MiB, 24576 MiB,9.99 ,9.3,14.53,
0 , 3 MiB, 24576 MiB,10.01 ,8.9,15.57,
0 , 3 MiB, 24576 MiB,10.15 ,8.8,16.6,
0 , 3 MiB, 24576 MiB,10.30 ,8.8,17.64,
0 , 3 MiB, 24576 MiB,10.19 ,9.2,18.68,
0 , 3 MiB, 24576 MiB,10.52 ,9.1,19.71,
0 , 3 MiB, 24576 MiB,10.93 ,9.3,20.75,
0 , 3 MiB, 24576 MiB,10.22 ,9.2,21.78,
0 , 3 MiB, 24576 MiB,9.66 ,8.8,22.82,
0 , 3 MiB, 24576 MiB,9.87 ,8.6,23.85,
0 , 3 MiB, 24576 MiB,10.29 ,8.9,24.89,
0 , 3 MiB, 24576 MiB,10.20 ,8.8,25.92,
0 , 3 MiB, 24576 MiB,9.68 ,8.9,26.96,
0 , 3 MiB, 24576 MiB,10.23 ,8.9,27.99,
0 , 3 MiB, 24576 MiB,9.69 ,9.0,29.03,
0 , 3 MiB, 24576 MiB,9.68 ,10.8,30.06,
0 , 3 MiB, 24576 MiB,9.97 ,9.0,31.1,
0 , 3 MiB, 24576 MiB,10.07 ,8.8,32.13,
0 , 3 MiB, 24576 MiB,9.99 ,9.0,33.17,
0 , 3 MiB, 24576 MiB,10.24 ,9.2,34.2,
0 , 3 MiB, 24576 MiB,9.93 ,8.9,35.24,
0 , 3 MiB, 24576 MiB,10.54 ,9.7,36.27,
0 , 3 MiB, 24576 MiB,10.71 ,8.9,37.31,
0 , 3 MiB, 24576 MiB,10.51 ,8.7,38.35,
0 , 3 MiB, 24576 MiB,10.21 ,8.9,39.39,
0 , 3 MiB, 24576 MiB,10.27 ,9.0,40.42,
0 , 3 MiB, 24576 MiB,9.98 ,8.7,41.46,
0 , 3 MiB, 24576 MiB,10.38 ,8.8,42.49,
0 , 3 MiB, 24576 MiB,9.81 ,8.8,43.53,
0 , 3 MiB, 24576 MiB,10.16 ,9.1,44.56,
0 , 3 MiB, 24576 MiB,9.81 ,8.8,45.6,
0 , 3 MiB, 24576 MiB,9.80 ,9.0,46.63,
0 , 3 MiB, 24576 MiB,9.84 ,8.8,47.67,
0 , 3 MiB, 24576 MiB,9.57 ,9.1,48.7,
0 , 3 MiB, 24576 MiB,10.18 ,8.9,49.74,
0 , 3 MiB, 24576 MiB,9.46 ,9.3,50.77,
0 , 3 MiB, 24576 MiB,10.48 ,8.8,51.81,
0 , 3 MiB, 24576 MiB,10.66 ,9.0,52.85,
0 , 3 MiB, 24576 MiB,10.07 ,8.7,53.88,
0 , 3 MiB, 24576 MiB,9.96 ,8.9,54.92,
0 , 3 MiB, 24576 MiB,9.90 ,8.9,55.95,
0 , 3 MiB, 24576 MiB,9.82 ,8.9,56.98,
0 , 3 MiB, 24576 MiB,10.39 ,9.0,58.02,
0 , 3 MiB, 24576 MiB,9.72 ,8.7,59.06,
0 , 3 MiB, 24576 MiB,9.64 ,9.2,60.09,
0 , 3 MiB, 24576 MiB,10.02 ,8.9,61.13,
0 , 3 MiB, 24576 MiB,10.24 ,8.8,62.17,
0 , 3 MiB, 24576 MiB,10.48 ,9.0,63.2,
0 , 3 MiB, 24576 MiB,10.35 ,9.3,64.24,
0 , 3 MiB, 24576 MiB,10.16 ,8.9,65.27,
0 , 3 MiB, 24576 MiB,9.84 ,9.5,66.31,
0 , 3 MiB, 24576 MiB,10.16 ,8.9,67.34,
0 , 3 MiB, 24576 MiB,9.85 ,9.4,68.38,
0 , 3 MiB, 24576 MiB,10.12 ,9.0,69.41,
0 , 3 MiB, 24576 MiB,9.91 ,8.8,70.45,
0 , 3 MiB, 24576 MiB,10.06 ,8.8,71.48,
0 , 3 MiB, 24576 MiB,9.82 ,8.8,72.52,
0 , 3 MiB, 24576 MiB,9.59 ,9.1,73.56,
0 , 3 MiB, 24576 MiB,9.91 ,9.1,74.6,
0 , 3 MiB, 24576 MiB,9.94 ,9.3,75.64,
0 , 3 MiB, 24576 MiB,8.93 ,8.8,76.68,
0 , 3 MiB, 24576 MiB,9.21 ,8.6,77.72,
0 , 3 MiB, 24576 MiB,9.57 ,9.1,78.76,
0 , 3 MiB, 24576 MiB,9.85 ,9.2,79.79,
0 , 3 MiB, 24576 MiB,9.69 ,9.8,80.83,
0 , 3 MiB, 24576 MiB,10.18 ,9.0,81.87,
0 , 3 MiB, 24576 MiB,9.52 ,8.8,82.91,
0 , 3 MiB, 24576 MiB,10.04 ,8.9,83.94,
0 , 3 MiB, 24576 MiB,9.31 ,8.8,84.98,
0 , 3 MiB, 24576 MiB,9.87 ,8.6,86.01,
0 , 3 MiB, 24576 MiB,9.72 ,9.0,87.05,
0 , 3 MiB, 24576 MiB,9.21 ,8.7,88.08,
0 , 3 MiB, 24576 MiB,9.62 ,8.9,89.12,
0 , 3 MiB, 24576 MiB,9.81 ,8.9,90.15,
0 , 3 MiB, 24576 MiB,10.09 ,8.9,91.19,
0 , 3 MiB, 24576 MiB,9.72 ,9.0,92.22,
0 , 3 MiB, 24576 MiB,10.03 ,8.9,93.26,
0 , 3 MiB, 24576 MiB,10.27 ,9.4,94.29,
0 , 3 MiB, 24576 MiB,10.23 ,8.8,95.33,
0 , 3 MiB, 24576 MiB,10.26 ,10.0,96.37,
0 , 3 MiB, 24576 MiB,9.69 ,8.8,97.4,
0 , 3 MiB, 24576 MiB,9.45 ,8.9,98.43,
0 , 3 MiB, 24576 MiB,9.37 ,9.4,99.47,
0 , 3 MiB, 24576 MiB,9.34 ,8.7,100.51,
0 , 3 MiB, 24576 MiB,9.19 ,9.0,101.54,
0 , 3 MiB, 24576 MiB,9.08 ,8.8,102.58,
0 , 3 MiB, 24576 MiB,9.18 ,8.8,103.61,
0 , 3 MiB, 24576 MiB,10.11 ,8.9,104.64,
0 , 3 MiB, 24576 MiB,9.05 ,9.2,105.68,
0 , 3 MiB, 24576 MiB,9.52 ,8.9,106.72,
0 , 3 MiB, 24576 MiB,9.40 ,9.0,107.75,
0 , 3 MiB, 24576 MiB,9.26 ,8.8,108.79,
0 , 3 MiB, 24576 MiB,9.66 ,9.3,109.82,
0 , 3 MiB, 24576 MiB,9.51 ,9.2,110.86,
0 , 3 MiB, 24576 MiB,9.86 ,8.8,111.89,
0 , 3 MiB, 24576 MiB,9.70 ,8.8,112.93,
0 , 3 MiB, 24576 MiB,10.43 ,8.9,113.97,
0 , 3 MiB, 24576 MiB,9.71 ,8.7,115.0,
0 , 3 MiB, 24576 MiB,9.35 ,9.1,116.04,
0 , 3 MiB, 24576 MiB,9.73 ,8.8,117.07,
0 , 3 MiB, 24576 MiB,9.03 ,8.8,118.11,
0 , 3 MiB, 24576 MiB,9.81 ,8.9,119.15,
0 , 3 MiB, 24576 MiB,9.10 ,8.9,120.18,
0 , 3 MiB, 24576 MiB,9.53 ,9.3,121.22,
0 , 3 MiB, 24576 MiB,9.42 ,9.0,122.25,
0 , 3 MiB, 24576 MiB,9.27 ,8.7,123.29,
0 , 3 MiB, 24576 MiB,8.66 ,8.8,124.32,
0 , 3 MiB, 24576 MiB,9.07 ,9.3,125.36,
0 , 3 MiB, 24576 MiB,9.18 ,9.2,126.39,
0 , 3 MiB, 24576 MiB,10.51 ,9.1,127.43,
0 , 3 MiB, 24576 MiB,9.41 ,10.5,128.46,
0 , 3 MiB, 24576 MiB,9.25 ,9.6,129.5,
0 , 3 MiB, 24576 MiB,9.53 ,8.8,130.53,
0 , 3 MiB, 24576 MiB,9.94 ,8.9,131.57,
0 , 3 MiB, 24576 MiB,10.02 ,9.2,132.6,
0 , 3 MiB, 24576 MiB,9.97 ,8.9,133.64,
0 , 3 MiB, 24576 MiB,9.87 ,9.0,134.67,
0 , 3 MiB, 24576 MiB,9.57 ,9.2,135.71,
0 , 3 MiB, 24576 MiB,9.59 ,8.8,136.74,
0 , 3 MiB, 24576 MiB,9.41 ,9.0,137.78,
0 , 3 MiB, 24576 MiB,9.61 ,8.8,138.82,
0 , 3 MiB, 24576 MiB,9.85 ,9.4,139.85,
0 , 3 MiB, 24576 MiB,9.78 ,9.6,140.89,
0 , 3 MiB, 24576 MiB,9.73 ,8.9,141.92,
0 , 3 MiB, 24576 MiB,9.98 ,8.9,142.96,
0 , 3 MiB, 24576 MiB,9.90 ,8.9,143.99,
0 , 3 MiB, 24576 MiB,9.83 ,9.0,145.03,
0 , 3 MiB, 24576 MiB,10.82 ,8.9,146.06,
0 , 3 MiB, 24576 MiB,9.72 ,9.0,147.09,
0 , 3 MiB, 24576 MiB,10.13 ,8.8,148.13,
0 , 3 MiB, 24576 MiB,10.01 ,9.2,149.17,
0 , 3 MiB, 24576 MiB,9.94 ,8.8,150.2,
0 , 3 MiB, 24576 MiB,10.27 ,9.1,151.24,
0 , 3 MiB, 24576 MiB,10.11 ,9.0,152.27,
0 , 3 MiB, 24576 MiB,10.52 ,8.9,153.31,
0 , 3 MiB, 24576 MiB,10.21 ,8.9,154.34,
0 , 3 MiB, 24576 MiB,9.51 ,9.3,155.37,
0 , 3 MiB, 24576 MiB,10.11 ,9.7,156.41,
0 , 3 MiB, 24576 MiB,10.11 ,9.2,157.45,
0 , 3 MiB, 24576 MiB,9.85 ,9.1,158.48,
0 , 3 MiB, 24576 MiB,9.35 ,9.1,159.52,
0 , 3 MiB, 24576 MiB,9.90 ,8.8,160.55,
0 , 3 MiB, 24576 MiB,10.44 ,8.9,161.59,
0 , 3 MiB, 24576 MiB,9.39 ,8.9,162.62,
0 , 3 MiB, 24576 MiB,9.06 ,8.7,163.66,
0 , 3 MiB, 24576 MiB,10.22 ,8.8,164.69,
0 , 3 MiB, 24576 MiB,10.31 ,8.9,165.73,
0 , 3 MiB, 24576 MiB,10.37 ,9.0,166.76,
0 , 3 MiB, 24576 MiB,10.12 ,9.0,167.8,
0 , 3 MiB, 24576 MiB,9.41 ,8.8,168.83,
0 , 3 MiB, 24576 MiB,10.07 ,9.0,169.87,
0 , 3 MiB, 24576 MiB,9.81 ,9.8,170.91,
0 , 3 MiB, 24576 MiB,9.97 ,9.0,171.94,
0 , 3 MiB, 24576 MiB,9.58 ,8.9,172.98,
0 , 3 MiB, 24576 MiB,9.89 ,8.8,174.01,
0 , 3 MiB, 24576 MiB,9.94 ,8.6,175.05,
0 , 3 MiB, 24576 MiB,9.25 ,8.7,176.08,
0 , 3 MiB, 24576 MiB,10.11 ,8.9,177.12,
0 , 3 MiB, 24576 MiB,10.36 ,8.8,178.15,
0 , 3 MiB, 24576 MiB,9.95 ,8.8,179.19,
0 , 3 MiB, 24576 MiB,10.28 ,8.8,180.22,
0 , 3 MiB, 24576 MiB,9.72 ,9.1,181.26,
0 , 3 MiB, 24576 MiB,10.12 ,9.0,182.29,
0 , 3 MiB, 24576 MiB,9.86 ,8.7,183.33,
0 , 3 MiB, 24576 MiB,9.94 ,8.7,184.37,
0 , 3 MiB, 24576 MiB,10.11 ,8.8,185.4,
0 , 3 MiB, 24576 MiB,10.06 ,9.7,186.44,
0 , 3 MiB, 24576 MiB,10.26 ,9.4,187.47,
0 , 3 MiB, 24576 MiB,9.69 ,8.7,188.51,
0 , 3 MiB, 24576 MiB,10.12 ,8.7,189.54,
0 , 3 MiB, 24576 MiB,10.08 ,8.9,190.57,
0 , 3 MiB, 24576 MiB,10.39 ,8.9,191.61,
0 , 3 MiB, 24576 MiB,10.24 ,9.0,192.65,
0 , 3 MiB, 24576 MiB,9.79 ,8.9,193.68,
0 , 3 MiB, 24576 MiB,9.65 ,8.9,194.72,
0 , 3 MiB, 24576 MiB,9.94 ,9.0,195.76,
0 , 3 MiB, 24576 MiB,9.86 ,9.2,196.79,
0 , 3 MiB, 24576 MiB,9.99 ,8.9,197.83,
0 , 3 MiB, 24576 MiB,9.15 ,9.0,198.86,
0 , 3 MiB, 24576 MiB,9.55 ,8.9,199.9,
0 , 3 MiB, 24576 MiB,9.47 ,9.7,200.93,
0 , 3 MiB, 24576 MiB,8.84 ,8.8,201.97,
