utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
1 %, 23443 MiB, 24576 MiB,61.31 W,42.8,1.13, 0.9012,289674270,
4 %, 23633 MiB, 24576 MiB,61.75 W,32.8,2.22,
2 %, 23633 MiB, 24576 MiB,61.71 W,25.1,3.33,
2 %, 23633 MiB, 24576 MiB,61.92 W,24.0,4.41,
2 %, 23633 MiB, 24576 MiB,61.83 W,23.2,5.5,
2 %, 23633 MiB, 24576 MiB,62.47 W,42.6,6.59,
2 %, 23633 MiB, 24576 MiB,62.38 W,38.8,7.7,
2 %, 23633 MiB, 24576 MiB,62.31 W,29.8,8.79,
2 %, 23633 MiB, 24576 MiB,62.28 W,31.7,9.88,
2 %, 23633 MiB, 24576 MiB,62.26 W,42.4,10.99,
2 %, 23633 MiB, 24576 MiB,62.19 W,45.6,12.08,
2 %, 23633 MiB, 24576 MiB,62.44 W,44.0,13.18,
2 %, 23633 MiB, 24576 MiB,62.32 W,39.5,14.29,
2 %, 23633 MiB, 24576 MiB,62.62 W,40.5,15.37,
2 %, 23633 MiB, 24576 MiB,62.60 W,39.4,16.46,
2 %, 23633 MiB, 24576 MiB,62.70 W,40.0,17.57,
2 %, 23633 MiB, 24576 MiB,62.35 W,22.8,18.69,
2 %, 23633 MiB, 24576 MiB,62.45 W,16.0,19.78,
2 %, 23633 MiB, 24576 MiB,61.88 W,28.0,20.89,
2 %, 23633 MiB, 24576 MiB,62.32 W,26.2,21.98,
2 %, 23633 MiB, 24576 MiB,62.22 W,42.2,23.07,
2 %, 23633 MiB, 24576 MiB,62.74 W,42.3,24.16,
2 %, 23633 MiB, 24576 MiB,63.08 W,39.8,25.26,
2 %, 23633 MiB, 24576 MiB,62.93 W,35.4,26.35,
2 %, 23633 MiB, 24576 MiB,62.96 W,46.6,27.44,
2 %, 23633 MiB, 24576 MiB,62.53 W,30.2,28.53,
2 %, 23633 MiB, 24576 MiB,62.62 W,42.4,29.64,
2 %, 23633 MiB, 24576 MiB,63.21 W,52.3,30.73,
2 %, 23633 MiB, 24576 MiB,63.04 W,41.0,31.82,
2 %, 23633 MiB, 24576 MiB,62.65 W,37.7,32.91,
2 %, 23633 MiB, 24576 MiB,62.78 W,35.7,34.0,
2 %, 23633 MiB, 24576 MiB,62.22 W,29.5,35.1,
2 %, 23633 MiB, 24576 MiB,62.63 W,33.7,36.21,
2 %, 23633 MiB, 24576 MiB,62.27 W,8.3,37.29,
2 %, 23633 MiB, 24576 MiB,62.72 W,16.0,38.39,
2 %, 23633 MiB, 24576 MiB,63.03 W,45.9,39.49,
2 %, 23633 MiB, 24576 MiB,62.97 W,45.5,40.59,
2 %, 23633 MiB, 24576 MiB,63.10 W,40.5,41.68,
2 %, 23633 MiB, 24576 MiB,63.15 W,42.2,42.77,
2 %, 23633 MiB, 24576 MiB,62.84 W,42.2,43.88,
2 %, 23633 MiB, 24576 MiB,62.99 W,47.1,44.97,
2 %, 23633 MiB, 24576 MiB,62.62 W,37.4,46.08,
2 %, 23633 MiB, 24576 MiB,62.47 W,47.1,47.19,
2 %, 23633 MiB, 24576 MiB,62.63 W,34.5,48.27,
2 %, 23633 MiB, 24576 MiB,62.64 W,38.0,49.39,
2 %, 23633 MiB, 24576 MiB,62.97 W,33.9,50.48,
2 %, 23633 MiB, 24576 MiB,62.64 W,26.2,51.57,
2 %, 23633 MiB, 24576 MiB,62.53 W,18.0,52.66,
2 %, 23633 MiB, 24576 MiB,61.79 W,31.5,53.76,
2 %, 23633 MiB, 24576 MiB,62.47 W,45.1,54.86,
2 %, 23633 MiB, 24576 MiB,62.61 W,44.2,55.96,
2 %, 23633 MiB, 24576 MiB,62.85 W,40.8,57.05,
2 %, 23633 MiB, 24576 MiB,62.62 W,40.2,58.16,
2 %, 23633 MiB, 24576 MiB,63.42 W,39.3,59.25,
2 %, 23633 MiB, 24576 MiB,62.72 W,42.9,60.36,
2 %, 23633 MiB, 24576 MiB,63.01 W,39.3,61.45,
2 %, 23633 MiB, 24576 MiB,63.08 W,41.6,62.54,
2 %, 23633 MiB, 24576 MiB,62.92 W,38.1,63.64,
2 %, 23633 MiB, 24576 MiB,63.19 W,29.7,64.74,
2 %, 23633 MiB, 24576 MiB,62.74 W,20.6,65.83,
2 %, 23633 MiB, 24576 MiB,62.64 W,14.6,66.91,
2 %, 23633 MiB, 24576 MiB,62.38 W,19.9,68.07,
2 %, 23633 MiB, 24576 MiB,62.76 W,33.7,69.16,
2 %, 23633 MiB, 24576 MiB,62.87 W,46.2,70.26,
2 %, 23633 MiB, 24576 MiB,62.62 W,35.2,71.36,
2 %, 23633 MiB, 24576 MiB,63.32 W,37.7,72.45,
2 %, 23633 MiB, 24576 MiB,62.44 W,39.3,73.55,
2 %, 23633 MiB, 24576 MiB,62.43 W,48.2,74.64,
2 %, 23633 MiB, 24576 MiB,62.91 W,41.3,75.73,
2 %, 23633 MiB, 24576 MiB,63.26 W,31.9,76.82,
2 %, 23633 MiB, 24576 MiB,62.76 W,42.0,77.93,
2 %, 23633 MiB, 24576 MiB,62.83 W,45.4,79.02,
2 %, 23633 MiB, 24576 MiB,63.21 W,42.7,80.11,
2 %, 23633 MiB, 24576 MiB,63.29 W,20.4,81.22,
2 %, 23633 MiB, 24576 MiB,62.62 W,16.9,82.33,
2 %, 23633 MiB, 24576 MiB,63.31 W,16.6,83.42,
2 %, 23633 MiB, 24576 MiB,63.11 W,29.8,84.51,
2 %, 23633 MiB, 24576 MiB,63.19 W,43.4,85.62,
2 %, 23633 MiB, 24576 MiB,63.52 W,40.7,86.71,
2 %, 23633 MiB, 24576 MiB,63.41 W,45.6,87.82,
2 %, 23633 MiB, 24576 MiB,63.31 W,38.5,88.91,
2 %, 23633 MiB, 24576 MiB,62.81 W,45.5,90.0,
2 %, 23633 MiB, 24576 MiB,63.05 W,32.0,91.09,
2 %, 23633 MiB, 24576 MiB,62.31 W,42.9,92.21,
2 %, 23633 MiB, 24576 MiB,62.79 W,43.0,93.3,
2 %, 23633 MiB, 24576 MiB,62.91 W,38.5,94.41,
2 %, 23633 MiB, 24576 MiB,62.93 W,38.6,95.49,
2 %, 23633 MiB, 24576 MiB,62.74 W,38.3,96.58,
2 %, 23633 MiB, 24576 MiB,63.03 W,28.9,97.69,
2 %, 23633 MiB, 24576 MiB,63.39 W,21.2,98.77,
2 %, 23633 MiB, 24576 MiB,63.35 W,22.8,99.86,
2 %, 23633 MiB, 24576 MiB,63.15 W,16.3,100.94,
2 %, 23633 MiB, 24576 MiB,62.68 W,35.5,102.03,
2 %, 23633 MiB, 24576 MiB,62.45 W,40.7,103.13,
2 %, 23633 MiB, 24576 MiB,62.82 W,49.7,104.22,
2 %, 23633 MiB, 24576 MiB,63.23 W,41.2,105.31,
2 %, 23633 MiB, 24576 MiB,62.83 W,31.5,106.42,
2 %, 23633 MiB, 24576 MiB,62.61 W,42.8,107.53,
2 %, 23633 MiB, 24576 MiB,62.84 W,42.9,108.64,
2 %, 23633 MiB, 24576 MiB,63.04 W,42.7,109.73,
2 %, 23633 MiB, 24576 MiB,63.04 W,38.3,110.84,
2 %, 23633 MiB, 24576 MiB,63.17 W,27.6,111.93,
2 %, 23633 MiB, 24576 MiB,63.07 W,34.5,113.04,
2 %, 23633 MiB, 24576 MiB,63.40 W,28.4,114.13,
2 %, 23633 MiB, 24576 MiB,62.63 W,25.5,115.25,
2 %, 23633 MiB, 24576 MiB,62.93 W,10.4,116.35,
2 %, 23633 MiB, 24576 MiB,63.14 W,16.9,117.44,
2 %, 23633 MiB, 24576 MiB,63.27 W,47.4,118.54,
2 %, 23633 MiB, 24576 MiB,63.42 W,42.3,119.62,
2 %, 23633 MiB, 24576 MiB,63.45 W,38.5,120.72,
2 %, 23633 MiB, 24576 MiB,63.20 W,33.9,121.84,
2 %, 23633 MiB, 24576 MiB,63.40 W,46.1,122.94,
2 %, 23633 MiB, 24576 MiB,63.38 W,47.5,124.04,
2 %, 23633 MiB, 24576 MiB,63.58 W,41.4,125.13,
