utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,15.79 W,37.5,1.08, 0.9012,289674270,
0 %, 3 MiB, 24576 MiB,15.88 W,20.3,2.12,
0 %, 3 MiB, 24576 MiB,15.33 W,16.4,3.16,
0 %, 3 MiB, 24576 MiB,15.52 W,19.5,4.21,
0 %, 3 MiB, 24576 MiB,15.74 W,39.3,5.24,
0 %, 3 MiB, 24576 MiB,15.53 W,45.1,6.28,
0 %, 3 MiB, 24576 MiB,15.43 W,41.5,7.32,
0 %, 3 MiB, 24576 MiB,15.85 W,30.9,8.36,
0 %, 3 MiB, 24576 MiB,15.73 W,44.6,9.4,
0 %, 3 MiB, 24576 MiB,15.40 W,48.1,10.44,
0 %, 3 MiB, 24576 MiB,15.38 W,48.5,11.48,
0 %, 3 MiB, 24576 MiB,15.66 W,38.6,12.51,
0 %, 3 MiB, 24576 MiB,15.62 W,39.0,13.55,
0 %, 3 MiB, 24576 MiB,15.80 W,40.5,14.58,
0 %, 3 MiB, 24576 MiB,15.80 W,39.4,15.62,
0 %, 3 MiB, 24576 MiB,15.89 W,29.4,16.65,
0 %, 3 MiB, 24576 MiB,14.97 W,21.5,17.69,
0 %, 3 MiB, 24576 MiB,15.61 W,23.0,18.74,
0 %, 3 MiB, 24576 MiB,15.77 W,30.4,19.78,
0 %, 3 MiB, 24576 MiB,15.90 W,27.1,20.82,
0 %, 3 MiB, 24576 MiB,15.62 W,42.6,21.86,
0 %, 3 MiB, 24576 MiB,15.62 W,39.4,22.9,
0 %, 3 MiB, 24576 MiB,15.57 W,43.6,23.94,
0 %, 3 MiB, 24576 MiB,15.55 W,40.7,24.98,
0 %, 3 MiB, 24576 MiB,16.55 W,42.1,26.02,
0 %, 3 MiB, 24576 MiB,16.58 W,51.8,27.06,
0 %, 3 MiB, 24576 MiB,16.48 W,39.7,28.09,
0 %, 3 MiB, 24576 MiB,14.34 W,39.7,29.13,
0 %, 3 MiB, 24576 MiB,14.38 W,46.4,30.17,
0 %, 3 MiB, 24576 MiB,15.44 W,40.5,31.21,
0 %, 3 MiB, 24576 MiB,14.45 W,45.9,32.25,
0 %, 3 MiB, 24576 MiB,15.68 W,35.3,33.29,
0 %, 3 MiB, 24576 MiB,15.55 W,35.7,34.32,
0 %, 3 MiB, 24576 MiB,15.44 W,28.9,35.36,
0 %, 3 MiB, 24576 MiB,15.44 W,24.1,36.4,
0 %, 3 MiB, 24576 MiB,15.74 W,24.0,37.44,
0 %, 3 MiB, 24576 MiB,15.77 W,21.8,38.47,
0 %, 3 MiB, 24576 MiB,15.74 W,43.8,39.51,
0 %, 3 MiB, 24576 MiB,15.69 W,42.1,40.56,
0 %, 3 MiB, 24576 MiB,15.31 W,47.7,41.59,
0 %, 3 MiB, 24576 MiB,15.80 W,47.4,42.63,
0 %, 3 MiB, 24576 MiB,15.77 W,41.5,43.67,
0 %, 3 MiB, 24576 MiB,15.82 W,43.8,44.71,
0 %, 3 MiB, 24576 MiB,14.85 W,44.4,45.75,
0 %, 3 MiB, 24576 MiB,15.52 W,42.9,46.8,
0 %, 3 MiB, 24576 MiB,15.58 W,41.1,47.84,
0 %, 3 MiB, 24576 MiB,15.74 W,43.6,48.87,
0 %, 3 MiB, 24576 MiB,15.40 W,47.4,49.92,
0 %, 3 MiB, 24576 MiB,15.01 W,31.4,50.96,
0 %, 3 MiB, 24576 MiB,14.63 W,29.6,51.99,
0 %, 3 MiB, 24576 MiB,15.09 W,25.9,53.03,
0 %, 3 MiB, 24576 MiB,16.56 W,24.6,54.07,
0 %, 3 MiB, 24576 MiB,15.93 W,28.9,55.11,
0 %, 3 MiB, 24576 MiB,16.56 W,32.5,56.14,
