utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,15.90 W,32.1,1.07, 0.9000,289674270,
0 %, 3 MiB, 24576 MiB,14.69 W,25.5,2.1,
0 %, 3 MiB, 24576 MiB,15.83 W,39.8,3.14,
0 %, 3 MiB, 24576 MiB,15.72 W,24.2,4.17,
0 %, 3 MiB, 24576 MiB,15.74 W,31.9,5.21,
0 %, 3 MiB, 24576 MiB,14.91 W,34.2,6.24,
0 %, 3 MiB, 24576 MiB,15.19 W,37.7,7.28,
0 %, 3 MiB, 24576 MiB,15.70 W,24.4,8.32,
0 %, 3 MiB, 24576 MiB,15.71 W,38.6,9.35,
0 %, 3 MiB, 24576 MiB,15.64 W,31.4,10.39,
0 %, 3 MiB, 24576 MiB,15.45 W,31.9,11.43,
0 %, 3 MiB, 24576 MiB,15.49 W,30.8,12.47,
0 %, 3 MiB, 24576 MiB,16.16 W,25.5,13.5,
0 %, 3 MiB, 24576 MiB,16.11 W,36.8,14.54,
0 %, 3 MiB, 24576 MiB,14.32 W,32.1,15.58,
0 %, 3 MiB, 24576 MiB,15.85 W,36.1,16.61,
0 %, 3 MiB, 24576 MiB,15.74 W,31.5,17.64,
0 %, 3 MiB, 24576 MiB,15.78 W,35.9,18.68,
0 %, 3 MiB, 24576 MiB,15.09 W,32.5,19.71,
0 %, 3 MiB, 24576 MiB,15.77 W,21.9,20.75,
0 %, 3 MiB, 24576 MiB,15.74 W,36.2,21.79,
0 %, 3 MiB, 24576 MiB,15.73 W,29.8,22.82,
0 %, 3 MiB, 24576 MiB,15.73 W,31.4,23.87,
0 %, 3 MiB, 24576 MiB,15.88 W,32.7,24.9,
0 %, 3 MiB, 24576 MiB,14.50 W,40.6,25.93,
0 %, 3 MiB, 24576 MiB,14.47 W,35.2,26.98,
0 %, 3 MiB, 24576 MiB,15.58 W,38.1,28.01,
0 %, 3 MiB, 24576 MiB,15.62 W,30.2,29.05,
0 %, 3 MiB, 24576 MiB,15.64 W,35.2,30.08,
0 %, 3 MiB, 24576 MiB,14.82 W,31.3,31.12,
0 %, 3 MiB, 24576 MiB,15.68 W,32.7,32.16,
0 %, 3 MiB, 24576 MiB,14.84 W,37.0,33.2,
0 %, 3 MiB, 24576 MiB,15.52 W,40.2,34.23,
0 %, 3 MiB, 24576 MiB,15.91 W,35.4,35.27,
0 %, 3 MiB, 24576 MiB,15.84 W,33.2,36.31,
0 %, 3 MiB, 24576 MiB,15.61 W,33.4,37.35,
0 %, 3 MiB, 24576 MiB,14.46 W,36.0,38.38,
0 %, 3 MiB, 24576 MiB,15.69 W,22.2,39.42,
0 %, 3 MiB, 24576 MiB,15.71 W,42.3,40.45,
0 %, 3 MiB, 24576 MiB,15.87 W,38.7,41.49,
0 %, 3 MiB, 24576 MiB,15.86 W,31.4,42.52,
0 %, 3 MiB, 24576 MiB,15.99 W,35.9,43.56,
0 %, 3 MiB, 24576 MiB,14.87 W,38.3,44.59,
0 %, 3 MiB, 24576 MiB,15.69 W,33.2,45.63,
0 %, 3 MiB, 24576 MiB,15.72 W,27.7,46.66,
0 %, 3 MiB, 24576 MiB,16.28 W,29.9,47.7,
0 %, 3 MiB, 24576 MiB,16.08 W,35.1,48.73,
0 %, 3 MiB, 24576 MiB,16.08 W,40.0,49.76,
0 %, 3 MiB, 24576 MiB,14.78 W,34.0,50.8,
0 %, 3 MiB, 24576 MiB,14.24 W,27.3,51.83,
0 %, 3 MiB, 24576 MiB,15.46 W,30.5,52.87,
0 %, 3 MiB, 24576 MiB,15.86 W,30.5,53.9,
0 %, 3 MiB, 24576 MiB,15.61 W,33.1,54.94,
0 %, 3 MiB, 24576 MiB,15.73 W,32.0,55.98,
0 %, 3 MiB, 24576 MiB,15.57 W,24.0,57.01,
0 %, 3 MiB, 24576 MiB,15.72 W,31.0,58.05,
0 %, 3 MiB, 24576 MiB,15.44 W,38.4,59.08,
0 %, 3 MiB, 24576 MiB,15.73 W,38.0,60.11,
