utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,15.78 W,30.9,1.07,0.880,289674270,
0 %, 3 MiB, 24576 MiB,14.45 W,31.6,2.1,
0 %, 3 MiB, 24576 MiB,15.51 W,36.3,3.13,
0 %, 3 MiB, 24576 MiB,15.82 W,36.3,4.17,
0 %, 3 MiB, 24576 MiB,15.66 W,33.2,5.2,
0 %, 3 MiB, 24576 MiB,15.70 W,32.5,6.24,
0 %, 3 MiB, 24576 MiB,14.78 W,33.5,7.27,
0 %, 3 MiB, 24576 MiB,15.88 W,27.2,8.31,
0 %, 3 MiB, 24576 MiB,15.85 W,31.8,9.35,
0 %, 3 MiB, 24576 MiB,15.56 W,31.5,10.38,
0 %, 3 MiB, 24576 MiB,15.58 W,31.5,11.42,
0 %, 3 MiB, 24576 MiB,14.55 W,41.1,12.45,
0 %, 3 MiB, 24576 MiB,15.24 W,27.8,13.49,
0 %, 3 MiB, 24576 MiB,15.59 W,33.4,14.53,
0 %, 3 MiB, 24576 MiB,15.60 W,34.7,15.56,
0 %, 3 MiB, 24576 MiB,15.54 W,33.7,16.6,
0 %, 3 MiB, 24576 MiB,15.38 W,40.1,17.63,
0 %, 3 MiB, 24576 MiB,15.48 W,22.8,18.67,
0 %, 3 MiB, 24576 MiB,15.72 W,32.2,19.7,
0 %, 3 MiB, 24576 MiB,15.87 W,40.0,20.74,
0 %, 3 MiB, 24576 MiB,15.74 W,33.0,21.77,
0 %, 3 MiB, 24576 MiB,16.31 W,32.0,22.81,
0 %, 3 MiB, 24576 MiB,15.50 W,38.0,23.85,
0 %, 3 MiB, 24576 MiB,16.16 W,37.0,24.88,
0 %, 3 MiB, 24576 MiB,15.70 W,27.9,25.92,
0 %, 3 MiB, 24576 MiB,15.86 W,34.2,26.95,
0 %, 3 MiB, 24576 MiB,14.51 W,41.2,27.99,
0 %, 3 MiB, 24576 MiB,15.06 W,29.7,29.03,
0 %, 3 MiB, 24576 MiB,15.55 W,29.7,30.07,
0 %, 3 MiB, 24576 MiB,15.54 W,34.2,31.1,
0 %, 3 MiB, 24576 MiB,15.57 W,36.7,32.14,
0 %, 3 MiB, 24576 MiB,15.58 W,38.8,33.18,
0 %, 3 MiB, 24576 MiB,15.77 W,28.8,34.21,
0 %, 3 MiB, 24576 MiB,15.69 W,32.0,35.24,
0 %, 3 MiB, 24576 MiB,15.54 W,45.5,36.28,
0 %, 3 MiB, 24576 MiB,15.56 W,31.1,37.32,
0 %, 3 MiB, 24576 MiB,15.80 W,34.4,38.35,
0 %, 3 MiB, 24576 MiB,15.44 W,33.6,39.39,
0 %, 3 MiB, 24576 MiB,15.76 W,21.2,40.42,
0 %, 3 MiB, 24576 MiB,15.69 W,34.3,41.45,
0 %, 3 MiB, 24576 MiB,14.62 W,36.8,42.48,
0 %, 3 MiB, 24576 MiB,15.56 W,19.1,43.52,
0 %, 3 MiB, 24576 MiB,15.77 W,38.5,44.56,
0 %, 3 MiB, 24576 MiB,15.80 W,38.7,45.59,
0 %, 3 MiB, 24576 MiB,14.68 W,35.9,46.63,
0 %, 3 MiB, 24576 MiB,15.23 W,26.8,47.66,
0 %, 3 MiB, 24576 MiB,14.48 W,43.2,48.69,
0 %, 3 MiB, 24576 MiB,15.26 W,29.6,49.73,
0 %, 3 MiB, 24576 MiB,15.72 W,33.3,50.76,
0 %, 3 MiB, 24576 MiB,15.69 W,24.1,51.8,
0 %, 3 MiB, 24576 MiB,15.84 W,38.6,52.83,
0 %, 3 MiB, 24576 MiB,15.99 W,39.2,53.86,
0 %, 3 MiB, 24576 MiB,14.48 W,39.7,54.9,
0 %, 3 MiB, 24576 MiB,14.76 W,28.8,55.93,
0 %, 3 MiB, 24576 MiB,14.52 W,41.7,56.97,
0 %, 3 MiB, 24576 MiB,14.35 W,27.1,58.01,
0 %, 3 MiB, 24576 MiB,15.68 W,33.0,59.04,
0 %, 3 MiB, 24576 MiB,15.64 W,32.0,60.07,
0 %, 3 MiB, 24576 MiB,15.67 W,33.3,61.11,
