utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,14.31 W,35.9,1.07,0.10,289674270,
0 %, 3 MiB, 24576 MiB,15.83 W,31.4,2.11,
0 %, 3 MiB, 24576 MiB,15.44 W,32.4,3.14,
0 %, 3 MiB, 24576 MiB,15.58 W,30.6,4.18,
0 %, 3 MiB, 24576 MiB,15.52 W,34.2,5.21,
0 %, 3 MiB, 24576 MiB,15.23 W,42.0,6.25,
0 %, 3 MiB, 24576 MiB,14.77 W,33.6,7.29,
0 %, 3 MiB, 24576 MiB,15.61 W,35.0,8.32,
0 %, 3 MiB, 24576 MiB,13.91 W,39.7,9.35,
0 %, 3 MiB, 24576 MiB,15.48 W,34.7,10.39,
0 %, 3 MiB, 24576 MiB,15.42 W,31.6,11.42,
0 %, 3 MiB, 24576 MiB,15.99 W,35.2,12.46,
0 %, 3 MiB, 24576 MiB,15.83 W,41.4,13.49,
0 %, 3 MiB, 24576 MiB,14.72 W,32.2,14.53,
0 %, 3 MiB, 24576 MiB,16.16 W,30.9,15.56,
0 %, 3 MiB, 24576 MiB,15.06 W,38.7,16.59,
0 %, 3 MiB, 24576 MiB,16.26 W,31.6,17.63,
0 %, 3 MiB, 24576 MiB,15.69 W,32.2,18.66,
0 %, 3 MiB, 24576 MiB,15.73 W,36.4,19.69,
0 %, 3 MiB, 24576 MiB,15.69 W,36.2,20.73,
0 %, 3 MiB, 24576 MiB,14.61 W,33.2,21.77,
0 %, 3 MiB, 24576 MiB,15.54 W,28.9,22.8,
0 %, 3 MiB, 24576 MiB,15.53 W,39.8,23.84,
0 %, 3 MiB, 24576 MiB,15.41 W,30.2,24.87,
0 %, 3 MiB, 24576 MiB,13.64 W,36.5,25.91,
0 %, 3 MiB, 24576 MiB,15.62 W,21.1,26.94,
0 %, 3 MiB, 24576 MiB,15.72 W,25.9,27.97,
0 %, 3 MiB, 24576 MiB,15.77 W,31.0,29.01,
