utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
1 %, 23439 MiB, 24576 MiB,58.55 W,53.3,1.13,0.9149,152832030,289674270
4 %, 23633 MiB, 24576 MiB,59.64 W,53.0,2.22,
3 %, 23633 MiB, 24576 MiB,59.37 W,51.3,3.32,
2 %, 23633 MiB, 24576 MiB,59.28 W,54.9,4.42,
2 %, 23633 MiB, 24576 MiB,59.33 W,53.5,5.51,
2 %, 23633 MiB, 24576 MiB,59.07 W,49.8,6.6,
2 %, 23633 MiB, 24576 MiB,59.17 W,50.0,7.69,
2 %, 23633 MiB, 24576 MiB,59.07 W,58.6,8.78,
2 %, 23633 MiB, 24576 MiB,59.58 W,43.7,9.87,
2 %, 23633 MiB, 24576 MiB,59.51 W,46.7,10.96,
2 %, 23633 MiB, 24576 MiB,59.21 W,57.1,12.05,
2 %, 23633 MiB, 24576 MiB,59.16 W,50.6,13.15,
2 %, 23633 MiB, 24576 MiB,59.14 W,56.7,14.24,
2 %, 23633 MiB, 24576 MiB,58.78 W,52.9,15.32,
2 %, 23633 MiB, 24576 MiB,59.47 W,56.4,16.42,
2 %, 23633 MiB, 24576 MiB,59.33 W,53.8,17.5,
2 %, 23633 MiB, 24576 MiB,59.04 W,51.4,18.61,
2 %, 23633 MiB, 24576 MiB,59.50 W,45.2,19.7,
2 %, 23633 MiB, 24576 MiB,59.35 W,54.7,20.79,
2 %, 23633 MiB, 24576 MiB,59.03 W,47.6,21.87,
2 %, 23633 MiB, 24576 MiB,58.97 W,47.1,22.96,
2 %, 23633 MiB, 24576 MiB,59.14 W,50.5,24.05,
2 %, 23633 MiB, 24576 MiB,59.41 W,59.4,25.14,
2 %, 23633 MiB, 24576 MiB,59.58 W,56.4,26.22,
2 %, 23633 MiB, 24576 MiB,59.87 W,56.0,27.31,
2 %, 23633 MiB, 24576 MiB,59.53 W,50.0,28.4,
2 %, 23633 MiB, 24576 MiB,59.22 W,50.0,29.48,
2 %, 23633 MiB, 24576 MiB,59.51 W,56.2,30.57,
2 %, 23633 MiB, 24576 MiB,59.13 W,44.0,31.68,
2 %, 23633 MiB, 24576 MiB,59.03 W,51.5,32.77,
2 %, 23633 MiB, 24576 MiB,59.37 W,58.3,33.86,
2 %, 23633 MiB, 24576 MiB,59.47 W,55.2,34.95,
2 %, 23633 MiB, 24576 MiB,59.73 W,53.0,36.06,
2 %, 23633 MiB, 24576 MiB,59.85 W,57.9,37.15,
2 %, 23633 MiB, 24576 MiB,59.71 W,41.8,38.25,
2 %, 23633 MiB, 24576 MiB,59.26 W,56.1,39.36,
2 %, 23633 MiB, 24576 MiB,59.29 W,47.1,40.45,
2 %, 23633 MiB, 24576 MiB,59.29 W,49.1,41.56,
2 %, 23633 MiB, 24576 MiB,59.52 W,58.1,42.65,
2 %, 23633 MiB, 24576 MiB,59.30 W,53.9,43.74,
2 %, 23633 MiB, 24576 MiB,59.10 W,52.9,44.82,
2 %, 23633 MiB, 24576 MiB,59.31 W,52.0,45.91,
2 %, 23633 MiB, 24576 MiB,59.56 W,49.6,47.0,
2 %, 23633 MiB, 24576 MiB,59.54 W,52.9,48.09,
2 %, 23633 MiB, 24576 MiB,59.20 W,49.9,49.18,
2 %, 23633 MiB, 24576 MiB,58.99 W,53.3,50.27,
2 %, 23633 MiB, 24576 MiB,59.00 W,58.7,51.35,
2 %, 23633 MiB, 24576 MiB,59.38 W,52.6,52.45,
2 %, 23633 MiB, 24576 MiB,59.70 W,56.5,53.54,
2 %, 23633 MiB, 24576 MiB,59.92 W,44.5,54.63,
2 %, 23633 MiB, 24576 MiB,59.46 W,50.8,55.74,
2 %, 23633 MiB, 24576 MiB,59.67 W,49.2,56.83,
2 %, 23633 MiB, 24576 MiB,59.73 W,47.1,57.93,
2 %, 23633 MiB, 24576 MiB,59.44 W,58.4,59.02,
2 %, 23633 MiB, 24576 MiB,59.49 W,53.5,60.11,
2 %, 23633 MiB, 24576 MiB,59.38 W,52.7,61.2,
2 %, 23633 MiB, 24576 MiB,59.09 W,53.1,62.29,
2 %, 23633 MiB, 24576 MiB,59.18 W,50.6,63.38,
2 %, 23633 MiB, 24576 MiB,59.49 W,41.0,64.49,
2 %, 23633 MiB, 24576 MiB,59.69 W,54.5,65.58,
2 %, 23633 MiB, 24576 MiB,59.97 W,51.1,66.67,
2 %, 23633 MiB, 24576 MiB,59.75 W,47.1,67.76,
2 %, 23633 MiB, 24576 MiB,59.35 W,62.4,68.84,
2 %, 23633 MiB, 24576 MiB,59.60 W,58.5,69.94,
2 %, 23633 MiB, 24576 MiB,59.66 W,56.4,71.03,
2 %, 23633 MiB, 24576 MiB,59.39 W,52.7,72.12,
2 %, 23633 MiB, 24576 MiB,59.52 W,50.0,73.21,
2 %, 23633 MiB, 24576 MiB,59.68 W,53.0,74.31,
2 %, 23633 MiB, 24576 MiB,59.74 W,52.9,75.41,
2 %, 23633 MiB, 24576 MiB,59.53 W,59.4,76.51,
2 %, 23633 MiB, 24576 MiB,59.94 W,56.5,77.6,
2 %, 23633 MiB, 24576 MiB,59.75 W,57.7,78.69,
2 %, 23633 MiB, 24576 MiB,59.67 W,50.8,79.78,
2 %, 23633 MiB, 24576 MiB,59.27 W,42.4,80.87,
2 %, 23633 MiB, 24576 MiB,59.88 W,54.0,81.96,
2 %, 23633 MiB, 24576 MiB,59.58 W,64.2,83.06,
2 %, 23633 MiB, 24576 MiB,59.74 W,54.0,84.16,
2 %, 23633 MiB, 24576 MiB,59.74 W,58.6,85.25,
2 %, 23633 MiB, 24576 MiB,59.75 W,52.6,86.34,
2 %, 23633 MiB, 24576 MiB,59.95 W,49.6,87.43,
2 %, 23633 MiB, 24576 MiB,59.52 W,52.2,88.52,
2 %, 23633 MiB, 24576 MiB,59.55 W,55.6,89.61,
2 %, 23633 MiB, 24576 MiB,59.17 W,56.2,90.7,
2 %, 23633 MiB, 24576 MiB,59.55 W,55.3,91.79,
2 %, 23633 MiB, 24576 MiB,59.24 W,50.5,92.88,
2 %, 23633 MiB, 24576 MiB,59.59 W,51.6,93.97,
2 %, 23633 MiB, 24576 MiB,59.43 W,48.6,95.05,
2 %, 23633 MiB, 24576 MiB,59.53 W,51.5,96.14,
2 %, 23633 MiB, 24576 MiB,59.43 W,53.9,97.22,
2 %, 23633 MiB, 24576 MiB,59.79 W,54.8,98.32,
2 %, 23633 MiB, 24576 MiB,59.68 W,53.7,99.4,
2 %, 23633 MiB, 24576 MiB,60.06 W,59.4,100.49,
2 %, 23633 MiB, 24576 MiB,59.97 W,47.7,101.58,
2 %, 23633 MiB, 24576 MiB,59.86 W,50.5,102.67,
2 %, 23633 MiB, 24576 MiB,59.61 W,58.5,103.79,
2 %, 23633 MiB, 24576 MiB,59.61 W,41.7,104.88,
2 %, 23633 MiB, 24576 MiB,59.44 W,54.1,106.0,
2 %, 23633 MiB, 24576 MiB,59.74 W,51.3,107.09,
2 %, 23633 MiB, 24576 MiB,59.74 W,53.7,108.18,
2 %, 23633 MiB, 24576 MiB,59.65 W,59.6,109.28,
2 %, 23633 MiB, 24576 MiB,59.77 W,55.5,110.36,
2 %, 23633 MiB, 24576 MiB,59.74 W,54.6,111.45,
2 %, 23633 MiB, 24576 MiB,59.68 W,57.0,112.55,
2 %, 23633 MiB, 24576 MiB,59.70 W,42.7,113.63,
2 %, 23633 MiB, 24576 MiB,59.91 W,51.3,114.73,
2 %, 23633 MiB, 24576 MiB,59.86 W,50.7,115.82,
2 %, 23633 MiB, 24576 MiB,59.62 W,47.2,116.9,
2 %, 23633 MiB, 24576 MiB,59.92 W,59.1,117.99,
2 %, 23633 MiB, 24576 MiB,59.44 W,56.5,119.08,
2 %, 23633 MiB, 24576 MiB,59.59 W,50.7,120.17,
2 %, 23633 MiB, 24576 MiB,59.94 W,57.3,121.26,
2 %, 23633 MiB, 24576 MiB,59.86 W,48.0,122.35,
2 %, 23633 MiB, 24576 MiB,59.88 W,52.4,123.46,
2 %, 23633 MiB, 24576 MiB,59.87 W,49.7,124.56,
2 %, 23633 MiB, 24576 MiB,59.78 W,40.4,125.66,
2 %, 23633 MiB, 24576 MiB,59.79 W,51.6,126.74,
2 %, 23633 MiB, 24576 MiB,59.52 W,58.0,127.84,
2 %, 23633 MiB, 24576 MiB,59.82 W,53.4,128.96,
2 %, 23633 MiB, 24576 MiB,59.79 W,55.0,130.06,
2 %, 23633 MiB, 24576 MiB,59.46 W,52.8,131.14,
2 %, 23633 MiB, 24576 MiB,59.70 W,50.9,132.23,
2 %, 23633 MiB, 24576 MiB,59.70 W,41.6,133.32,
2 %, 23633 MiB, 24576 MiB,59.89 W,57.2,134.42,
2 %, 23633 MiB, 24576 MiB,60.08 W,44.8,135.51,
2 %, 23633 MiB, 24576 MiB,60.24 W,53.9,136.59,
2 %, 23633 MiB, 24576 MiB,59.63 W,61.7,137.68,
2 %, 23633 MiB, 24576 MiB,60.01 W,49.3,138.77,
2 %, 23633 MiB, 24576 MiB,59.82 W,46.2,139.87,
2 %, 23633 MiB, 24576 MiB,60.05 W,49.0,140.97,
2 %, 23633 MiB, 24576 MiB,59.88 W,52.5,142.08,
2 %, 23633 MiB, 24576 MiB,59.68 W,53.4,143.2,
2 %, 23633 MiB, 24576 MiB,59.81 W,51.0,144.29,
2 %, 23633 MiB, 24576 MiB,59.61 W,54.3,145.4,
2 %, 23633 MiB, 24576 MiB,59.78 W,59.2,146.49,
2 %, 23633 MiB, 24576 MiB,59.67 W,54.2,147.58,
2 %, 23633 MiB, 24576 MiB,60.07 W,48.8,148.66,
2 %, 23633 MiB, 24576 MiB,60.23 W,51.1,149.75,
2 %, 23633 MiB, 24576 MiB,59.79 W,47.5,150.84,
2 %, 23633 MiB, 24576 MiB,59.88 W,53.4,151.93,
2 %, 23633 MiB, 24576 MiB,59.74 W,54.1,153.03,
2 %, 23633 MiB, 24576 MiB,60.03 W,58.0,154.12,
2 %, 23633 MiB, 24576 MiB,60.17 W,58.0,155.2,
2 %, 23633 MiB, 24576 MiB,59.89 W,50.2,156.31,
2 %, 23633 MiB, 24576 MiB,60.24 W,54.0,157.4,
2 %, 23633 MiB, 24576 MiB,60.38 W,53.1,158.49,
2 %, 23633 MiB, 24576 MiB,59.65 W,41.2,159.57,
2 %, 23633 MiB, 24576 MiB,59.63 W,41.3,160.66,
2 %, 23633 MiB, 24576 MiB,59.81 W,47.6,161.75,
2 %, 23633 MiB, 24576 MiB,59.86 W,53.8,162.85,
2 %, 23633 MiB, 24576 MiB,60.09 W,50.4,163.93,
2 %, 23633 MiB, 24576 MiB,59.94 W,47.3,165.02,
2 %, 23633 MiB, 24576 MiB,59.89 W,54.6,166.12,
2 %, 23633 MiB, 24576 MiB,60.05 W,57.5,167.21,
2 %, 23633 MiB, 24576 MiB,60.33 W,51.5,168.31,
2 %, 23633 MiB, 24576 MiB,59.81 W,60.1,169.41,
2 %, 23633 MiB, 24576 MiB,59.89 W,50.3,170.5,
2 %, 23633 MiB, 24576 MiB,59.32 W,46.9,171.58,
2 %, 23633 MiB, 24576 MiB,59.45 W,52.3,172.68,
2 %, 23633 MiB, 24576 MiB,59.52 W,50.7,173.78,
2 %, 23633 MiB, 24576 MiB,59.47 W,52.8,174.98,
2 %, 23633 MiB, 24576 MiB,59.86 W,64.1,176.06,
2 %, 23633 MiB, 24576 MiB,59.76 W,49.9,177.18,
2 %, 23633 MiB, 24576 MiB,59.84 W,53.5,178.27,
2 %, 23633 MiB, 24576 MiB,60.09 W,52.2,179.35,
2 %, 23633 MiB, 24576 MiB,60.00 W,50.5,180.44,
2 %, 23633 MiB, 24576 MiB,60.19 W,55.5,181.54,
2 %, 23633 MiB, 24576 MiB,59.75 W,49.3,182.63,
2 %, 23633 MiB, 24576 MiB,60.01 W,51.5,183.73,
2 %, 23633 MiB, 24576 MiB,60.14 W,59.5,184.82,
2 %, 23633 MiB, 24576 MiB,60.08 W,51.6,185.9,
