utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,13.82 W,49.1,1.07,0.9149,152832030,
0 %, 3 MiB, 24576 MiB,13.68 W,42.8,2.11,
0 %, 3 MiB, 24576 MiB,13.62 W,42.7,3.15,
0 %, 3 MiB, 24576 MiB,12.84 W,39.4,4.19,
0 %, 3 MiB, 24576 MiB,13.40 W,18.8,5.22,
0 %, 3 MiB, 24576 MiB,13.68 W,26.1,6.26,
0 %, 3 MiB, 24576 MiB,16.65 W,24.1,7.29,
0 %, 3 MiB, 24576 MiB,14.30 W,26.4,8.33,
0 %, 3 MiB, 24576 MiB,14.02 W,47.6,9.37,
0 %, 3 MiB, 24576 MiB,14.49 W,50.5,10.41,
0 %, 3 MiB, 24576 MiB,13.88 W,45.1,11.45,
0 %, 3 MiB, 24576 MiB,13.39 W,43.3,12.49,
0 %, 3 MiB, 24576 MiB,14.14 W,33.3,13.53,
0 %, 3 MiB, 24576 MiB,13.72 W,48.2,14.57,
0 %, 3 MiB, 24576 MiB,13.95 W,40.8,15.61,
0 %, 3 MiB, 24576 MiB,13.93 W,46.2,16.65,
0 %, 3 MiB, 24576 MiB,12.91 W,48.5,17.69,
0 %, 3 MiB, 24576 MiB,13.62 W,45.6,18.72,
0 %, 3 MiB, 24576 MiB,13.28 W,40.3,19.76,
0 %, 3 MiB, 24576 MiB,12.36 W,41.7,20.8,
0 %, 3 MiB, 24576 MiB,13.15 W,23.3,21.84,
0 %, 3 MiB, 24576 MiB,13.90 W,29.7,22.88,
0 %, 3 MiB, 24576 MiB,13.59 W,29.6,23.92,
0 %, 3 MiB, 24576 MiB,12.99 W,40.1,24.96,
0 %, 3 MiB, 24576 MiB,12.95 W,43.1,25.99,
0 %, 3 MiB, 24576 MiB,13.76 W,41.2,27.03,
0 %, 3 MiB, 24576 MiB,13.41 W,48.5,28.07,
0 %, 3 MiB, 24576 MiB,13.27 W,40.8,29.11,
0 %, 3 MiB, 24576 MiB,13.10 W,49.3,30.15,
0 %, 3 MiB, 24576 MiB,12.96 W,34.3,31.19,
0 %, 3 MiB, 24576 MiB,13.02 W,34.8,32.23,
0 %, 3 MiB, 24576 MiB,13.18 W,44.7,33.27,
0 %, 3 MiB, 24576 MiB,12.44 W,49.5,34.31,
0 %, 3 MiB, 24576 MiB,12.86 W,45.8,35.35,
0 %, 3 MiB, 24576 MiB,13.03 W,33.9,36.38,
0 %, 3 MiB, 24576 MiB,12.43 W,30.9,37.42,
0 %, 3 MiB, 24576 MiB,12.37 W,27.0,38.46,
0 %, 3 MiB, 24576 MiB,12.67 W,21.6,39.5,
0 %, 3 MiB, 24576 MiB,12.32 W,36.4,40.54,
0 %, 3 MiB, 24576 MiB,12.84 W,33.4,41.58,
0 %, 3 MiB, 24576 MiB,13.23 W,44.2,42.62,
0 %, 3 MiB, 24576 MiB,12.90 W,52.2,43.66,
0 %, 3 MiB, 24576 MiB,12.56 W,46.3,44.7,
0 %, 3 MiB, 24576 MiB,11.92 W,46.1,45.74,
0 %, 3 MiB, 24576 MiB,12.69 W,38.4,46.78,
0 %, 3 MiB, 24576 MiB,12.35 W,45.9,47.81,
0 %, 3 MiB, 24576 MiB,12.32 W,42.3,48.85,
0 %, 3 MiB, 24576 MiB,11.69 W,45.4,49.89,
0 %, 3 MiB, 24576 MiB,11.76 W,42.7,50.93,
0 %, 3 MiB, 24576 MiB,12.28 W,34.5,51.96,
0 %, 3 MiB, 24576 MiB,11.87 W,35.2,53.0,
0 %, 3 MiB, 24576 MiB,12.14 W,23.2,54.04,
0 %, 3 MiB, 24576 MiB,12.31 W,33.4,55.08,
0 %, 3 MiB, 24576 MiB,12.40 W,47.0,56.12,
0 %, 3 MiB, 24576 MiB,12.60 W,46.8,57.16,
0 %, 3 MiB, 24576 MiB,12.58 W,34.9,58.2,
0 %, 3 MiB, 24576 MiB,11.99 W,48.8,59.24,
0 %, 3 MiB, 24576 MiB,12.80 W,42.1,60.27,
0 %, 3 MiB, 24576 MiB,12.33 W,47.2,61.31,
0 %, 3 MiB, 24576 MiB,12.52 W,55.4,62.35,
0 %, 3 MiB, 24576 MiB,12.25 W,42.7,63.39,
0 %, 3 MiB, 24576 MiB,11.47 W,47.2,64.44,
0 %, 3 MiB, 24576 MiB,11.40 W,37.0,65.47,
0 %, 3 MiB, 24576 MiB,11.31 W,24.0,66.51,
0 %, 3 MiB, 24576 MiB,11.00 W,28.5,67.55,
0 %, 3 MiB, 24576 MiB,11.65 W,18.8,68.58,
0 %, 3 MiB, 24576 MiB,12.03 W,22.0,69.62,
0 %, 3 MiB, 24576 MiB,11.96 W,49.7,70.66,
0 %, 3 MiB, 24576 MiB,10.53 W,47.7,71.7,
0 %, 3 MiB, 24576 MiB,11.78 W,46.6,72.74,
0 %, 3 MiB, 24576 MiB,11.56 W,44.1,73.78,
0 %, 3 MiB, 24576 MiB,11.31 W,44.4,74.82,
0 %, 3 MiB, 24576 MiB,12.23 W,42.9,75.86,
0 %, 3 MiB, 24576 MiB,11.41 W,47.4,76.9,
0 %, 3 MiB, 24576 MiB,11.09 W,50.0,77.94,
0 %, 3 MiB, 24576 MiB,11.39 W,50.1,78.97,
0 %, 3 MiB, 24576 MiB,11.59 W,42.7,80.01,
0 %, 3 MiB, 24576 MiB,11.39 W,42.1,81.05,
0 %, 3 MiB, 24576 MiB,11.95 W,35.9,82.09,
0 %, 3 MiB, 24576 MiB,11.75 W,30.3,83.13,
0 %, 3 MiB, 24576 MiB,11.20 W,26.5,84.16,
0 %, 3 MiB, 24576 MiB,11.44 W,27.5,85.2,
0 %, 3 MiB, 24576 MiB,10.49 W,26.0,86.24,
0 %, 3 MiB, 24576 MiB,11.97 W,39.4,87.28,
0 %, 3 MiB, 24576 MiB,11.95 W,44.2,88.32,
0 %, 3 MiB, 24576 MiB,12.50 W,50.1,89.36,
0 %, 3 MiB, 24576 MiB,12.55 W,35.3,90.4,
0 %, 3 MiB, 24576 MiB,12.76 W,46.6,91.44,
0 %, 3 MiB, 24576 MiB,12.23 W,45.7,92.47,
0 %, 3 MiB, 24576 MiB,12.12 W,46.3,93.51,
0 %, 3 MiB, 24576 MiB,12.63 W,49.0,94.55,
