utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,9.99 W,46.8,1.07,0.10,152832030,
0 %, 3 MiB, 24576 MiB,10.17 W,47.7,2.1,
0 %, 3 MiB, 24576 MiB,10.50 W,41.5,3.14,
0 %, 3 MiB, 24576 MiB,10.32 W,46.1,4.17,
0 %, 3 MiB, 24576 MiB,10.64 W,44.8,5.2,
0 %, 3 MiB, 24576 MiB,10.67 W,33.9,6.24,
0 %, 3 MiB, 24576 MiB,10.95 W,41.7,7.27,
0 %, 3 MiB, 24576 MiB,9.84 W,39.1,8.31,
0 %, 3 MiB, 24576 MiB,10.27 W,34.6,9.34,
0 %, 3 MiB, 24576 MiB,9.94 W,33.9,10.37,
0 %, 3 MiB, 24576 MiB,10.63 W,28.7,11.4,
0 %, 3 MiB, 24576 MiB,10.51 W,13.7,12.44,
0 %, 3 MiB, 24576 MiB,11.14 W,40.5,13.47,
0 %, 3 MiB, 24576 MiB,9.81 W,45.2,14.51,
0 %, 3 MiB, 24576 MiB,10.55 W,32.5,15.54,
0 %, 3 MiB, 24576 MiB,10.25 W,42.6,16.58,
0 %, 3 MiB, 24576 MiB,10.26 W,51.4,17.61,
0 %, 3 MiB, 24576 MiB,10.27 W,46.5,18.65,
0 %, 3 MiB, 24576 MiB,9.74 W,42.7,19.68,
0 %, 3 MiB, 24576 MiB,10.63 W,48.1,20.72,
0 %, 3 MiB, 24576 MiB,11.09 W,38.6,21.75,
0 %, 3 MiB, 24576 MiB,11.08 W,40.9,22.79,
0 %, 3 MiB, 24576 MiB,10.57 W,36.7,23.83,
0 %, 3 MiB, 24576 MiB,10.54 W,35.9,24.86,
0 %, 3 MiB, 24576 MiB,10.95 W,25.3,25.89,
0 %, 3 MiB, 24576 MiB,11.12 W,27.5,26.92,
0 %, 3 MiB, 24576 MiB,10.99 W,24.8,27.96,
0 %, 3 MiB, 24576 MiB,10.92 W,23.9,28.99,
0 %, 3 MiB, 24576 MiB,10.81 W,41.4,30.03,
0 %, 3 MiB, 24576 MiB,10.54 W,45.3,31.07,
0 %, 3 MiB, 24576 MiB,10.92 W,44.9,32.1,
0 %, 3 MiB, 24576 MiB,10.86 W,34.0,33.14,
0 %, 3 MiB, 24576 MiB,10.07 W,48.2,34.17,
0 %, 3 MiB, 24576 MiB,10.44 W,49.6,35.2,
0 %, 3 MiB, 24576 MiB,10.12 W,46.6,36.24,
0 %, 3 MiB, 24576 MiB,10.87 W,40.4,37.27,
0 %, 3 MiB, 24576 MiB,10.83 W,49.1,38.31,
0 %, 3 MiB, 24576 MiB,10.82 W,49.4,39.34,
0 %, 3 MiB, 24576 MiB,10.36 W,31.7,40.38,
0 %, 3 MiB, 24576 MiB,10.53 W,22.5,41.41,
0 %, 3 MiB, 24576 MiB,10.31 W,30.7,42.44,
0 %, 3 MiB, 24576 MiB,11.02 W,24.4,43.48,
0 %, 3 MiB, 24576 MiB,10.83 W,22.0,44.51,
0 %, 3 MiB, 24576 MiB,10.64 W,29.6,45.54,
0 %, 3 MiB, 24576 MiB,10.72 W,26.9,46.58,
0 %, 3 MiB, 24576 MiB,10.76 W,48.3,47.62,
0 %, 3 MiB, 24576 MiB,11.12 W,44.4,48.65,
0 %, 3 MiB, 24576 MiB,10.54 W,42.9,49.68,
0 %, 3 MiB, 24576 MiB,10.96 W,32.7,50.72,
