utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
5 %, 23485 MiB, 24576 MiB,56.01 W,22.9,1.13,0.8617,1970516510,
4 %, 23633 MiB, 24576 MiB,59.16 W,34.2,2.23,
11 %, 23633 MiB, 24576 MiB,59.53 W,35.6,3.31,
7 %, 23633 MiB, 24576 MiB,58.95 W,35.7,4.39,
7 %, 23633 MiB, 24576 MiB,58.63 W,37.3,5.47,
7 %, 23633 MiB, 24576 MiB,58.03 W,41.6,6.55,
7 %, 23633 MiB, 24576 MiB,59.43 W,36.5,7.64,
7 %, 23633 MiB, 24576 MiB,59.14 W,36.2,8.72,
7 %, 23633 MiB, 24576 MiB,58.40 W,37.1,9.8,
7 %, 23633 MiB, 24576 MiB,57.94 W,23.1,10.89,
6 %, 23633 MiB, 24576 MiB,59.49 W,24.5,11.97,
6 %, 23633 MiB, 24576 MiB,59.03 W,36.5,13.06,
6 %, 23633 MiB, 24576 MiB,59.01 W,35.0,14.14,
7 %, 23633 MiB, 24576 MiB,58.29 W,28.9,15.23,
6 %, 23633 MiB, 24576 MiB,58.13 W,36.1,16.33,
6 %, 23633 MiB, 24576 MiB,58.40 W,36.2,17.41,
7 %, 23633 MiB, 24576 MiB,58.86 W,38.8,18.5,
7 %, 23633 MiB, 24576 MiB,60.06 W,23.1,19.58,
7 %, 23633 MiB, 24576 MiB,58.60 W,38.6,20.67,
7 %, 23633 MiB, 24576 MiB,58.52 W,24.7,21.75,
7 %, 23633 MiB, 24576 MiB,58.54 W,36.0,22.84,
6 %, 23633 MiB, 24576 MiB,58.50 W,32.9,23.92,
6 %, 23633 MiB, 24576 MiB,59.78 W,29.9,25.01,
7 %, 23633 MiB, 24576 MiB,59.78 W,38.9,26.09,
6 %, 23633 MiB, 24576 MiB,59.04 W,39.9,27.18,
6 %, 23633 MiB, 24576 MiB,58.73 W,34.6,28.26,
6 %, 23633 MiB, 24576 MiB,58.55 W,39.2,29.34,
6 %, 23633 MiB, 24576 MiB,60.11 W,31.0,30.43,
6 %, 23633 MiB, 24576 MiB,59.65 W,24.3,31.51,
6 %, 23633 MiB, 24576 MiB,58.90 W,30.3,32.6,
6 %, 23633 MiB, 24576 MiB,58.77 W,32.5,33.68,
6 %, 23633 MiB, 24576 MiB,58.71 W,36.0,34.76,
7 %, 23633 MiB, 24576 MiB,59.95 W,36.6,35.85,
7 %, 23633 MiB, 24576 MiB,59.63 W,37.7,36.93,
6 %, 23633 MiB, 24576 MiB,58.95 W,30.8,38.02,
