utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,15.77 W,29.1,1.09,0.8617,1970516510,
0 %, 3 MiB, 24576 MiB,15.59 W,21.5,2.13,
0 %, 3 MiB, 24576 MiB,15.33 W,20.4,3.17,
0 %, 3 MiB, 24576 MiB,15.74 W,19.5,4.22,
0 %, 3 MiB, 24576 MiB,15.93 W,19.9,5.26,
0 %, 3 MiB, 24576 MiB,15.60 W,21.5,6.3,
0 %, 3 MiB, 24576 MiB,15.57 W,18.3,7.34,
0 %, 3 MiB, 24576 MiB,15.65 W,19.2,8.39,
0 %, 3 MiB, 24576 MiB,15.74 W,22.6,9.43,
0 %, 3 MiB, 24576 MiB,15.71 W,21.6,10.47,
0 %, 3 MiB, 24576 MiB,15.64 W,21.2,11.51,
0 %, 3 MiB, 24576 MiB,15.62 W,21.5,12.55,
0 %, 3 MiB, 24576 MiB,15.09 W,20.2,13.59,
0 %, 3 MiB, 24576 MiB,15.95 W,19.0,14.63,
0 %, 3 MiB, 24576 MiB,15.93 W,20.1,15.67,
0 %, 3 MiB, 24576 MiB,15.69 W,21.5,16.72,
0 %, 3 MiB, 24576 MiB,15.48 W,17.9,17.76,
0 %, 3 MiB, 24576 MiB,15.76 W,20.4,18.8,
0 %, 3 MiB, 24576 MiB,16.23 W,8.6,19.85,
0 %, 3 MiB, 24576 MiB,16.39 W,21.6,20.89,
0 %, 3 MiB, 24576 MiB,15.80 W,21.7,21.93,
0 %, 3 MiB, 24576 MiB,15.70 W,22.0,22.97,
0 %, 3 MiB, 24576 MiB,15.26 W,21.8,24.01,
0 %, 3 MiB, 24576 MiB,15.46 W,19.1,25.06,
0 %, 3 MiB, 24576 MiB,15.77 W,20.0,26.1,
0 %, 3 MiB, 24576 MiB,15.65 W,21.6,27.14,
0 %, 3 MiB, 24576 MiB,15.74 W,19.1,28.18,
0 %, 3 MiB, 24576 MiB,15.56 W,19.6,29.22,
0 %, 3 MiB, 24576 MiB,15.66 W,19.9,30.27,
0 %, 3 MiB, 24576 MiB,15.80 W,21.6,31.32,
0 %, 3 MiB, 24576 MiB,15.59 W,22.2,32.36,
0 %, 3 MiB, 24576 MiB,15.50 W,21.5,33.4,
0 %, 3 MiB, 24576 MiB,15.48 W,21.6,34.44,
0 %, 3 MiB, 24576 MiB,15.78 W,19.7,35.48,
0 %, 3 MiB, 24576 MiB,15.81 W,16.3,36.53,
0 %, 3 MiB, 24576 MiB,15.71 W,25.5,37.57,
0 %, 3 MiB, 24576 MiB,15.71 W,18.3,38.62,
0 %, 3 MiB, 24576 MiB,15.58 W,32.3,39.66,
0 %, 3 MiB, 24576 MiB,15.87 W,33.0,40.7,
0 %, 3 MiB, 24576 MiB,15.90 W,35.6,41.75,
0 %, 3 MiB, 24576 MiB,14.02 W,33.9,42.79,
0 %, 3 MiB, 24576 MiB,15.48 W,26.5,43.84,
0 %, 3 MiB, 24576 MiB,16.16 W,32.6,44.89,
0 %, 3 MiB, 24576 MiB,15.89 W,42.1,45.93,
0 %, 3 MiB, 24576 MiB,16.15 W,28.9,46.98,
0 %, 3 MiB, 24576 MiB,15.88 W,28.5,48.03,
0 %, 3 MiB, 24576 MiB,15.45 W,32.7,49.09,
0 %, 3 MiB, 24576 MiB,15.56 W,39.0,50.13,
0 %, 3 MiB, 24576 MiB,15.69 W,30.1,51.18,
0 %, 3 MiB, 24576 MiB,15.42 W,33.4,52.22,
0 %, 3 MiB, 24576 MiB,15.48 W,30.2,53.27,
0 %, 3 MiB, 24576 MiB,15.56 W,34.4,54.33,
0 %, 3 MiB, 24576 MiB,14.77 W,44.7,55.38,
0 %, 3 MiB, 24576 MiB,14.05 W,39.1,56.42,
0 %, 3 MiB, 24576 MiB,15.73 W,14.3,57.47,
0 %, 3 MiB, 24576 MiB,15.56 W,37.0,58.51,
0 %, 3 MiB, 24576 MiB,15.34 W,32.6,59.55,
0 %, 3 MiB, 24576 MiB,15.80 W,32.6,60.59,
0 %, 3 MiB, 24576 MiB,14.20 W,39.4,61.64,
0 %, 3 MiB, 24576 MiB,13.51 W,38.3,62.69,
0 %, 3 MiB, 24576 MiB,15.52 W,37.4,63.75,
0 %, 3 MiB, 24576 MiB,15.72 W,34.0,64.79,
0 %, 3 MiB, 24576 MiB,15.61 W,35.4,65.84,
0 %, 3 MiB, 24576 MiB,13.91 W,37.6,66.88,
0 %, 3 MiB, 24576 MiB,15.63 W,23.5,67.93,
0 %, 3 MiB, 24576 MiB,16.44 W,25.1,68.98,
0 %, 3 MiB, 24576 MiB,16.39 W,37.3,70.03,
0 %, 3 MiB, 24576 MiB,15.64 W,36.3,71.07,
0 %, 3 MiB, 24576 MiB,15.18 W,27.9,72.12,
0 %, 3 MiB, 24576 MiB,15.38 W,34.2,73.17,
0 %, 3 MiB, 24576 MiB,15.10 W,38.8,74.21,
0 %, 3 MiB, 24576 MiB,15.73 W,39.2,75.26,
