utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,15.69 W,35.3,1.08, 0.8623,1970516510, 
0 %, 3 MiB, 24576 MiB,15.57 W,33.9,2.12,
0 %, 3 MiB, 24576 MiB,15.83 W,34.8,3.16,
0 %, 3 MiB, 24576 MiB,15.87 W,33.2,4.2,
0 %, 3 MiB, 24576 MiB,15.40 W,34.5,5.25,
0 %, 3 MiB, 24576 MiB,14.69 W,33.0,6.29,
0 %, 3 MiB, 24576 MiB,15.61 W,30.6,7.33,
0 %, 3 MiB, 24576 MiB,15.90 W,31.4,8.38,
0 %, 3 MiB, 24576 MiB,15.65 W,31.6,9.42,
0 %, 3 MiB, 24576 MiB,15.77 W,32.4,10.46,
0 %, 3 MiB, 24576 MiB,15.77 W,23.6,11.5,
0 %, 3 MiB, 24576 MiB,15.15 W,28.4,12.54,
0 %, 3 MiB, 24576 MiB,15.75 W,39.6,13.58,
0 %, 3 MiB, 24576 MiB,15.87 W,38.1,14.62,
0 %, 3 MiB, 24576 MiB,15.09 W,30.6,15.66,
0 %, 3 MiB, 24576 MiB,15.37 W,33.7,16.71,
0 %, 3 MiB, 24576 MiB,15.61 W,32.7,17.75,
0 %, 3 MiB, 24576 MiB,16.04 W,26.2,18.79,
0 %, 3 MiB, 24576 MiB,14.68 W,25.5,19.84,
0 %, 3 MiB, 24576 MiB,16.13 W,16.3,20.88,
0 %, 3 MiB, 24576 MiB,15.60 W,33.2,21.92,
0 %, 3 MiB, 24576 MiB,14.26 W,34.4,22.97,
0 %, 3 MiB, 24576 MiB,15.79 W,29.8,24.02,
0 %, 3 MiB, 24576 MiB,15.70 W,28.2,25.06,
0 %, 3 MiB, 24576 MiB,15.78 W,39.6,26.09,
0 %, 3 MiB, 24576 MiB,14.41 W,36.9,27.13,
0 %, 3 MiB, 24576 MiB,15.67 W,28.1,28.17,
0 %, 3 MiB, 24576 MiB,15.59 W,33.1,29.21,
0 %, 3 MiB, 24576 MiB,15.73 W,31.4,30.24,
0 %, 3 MiB, 24576 MiB,15.55 W,31.3,31.28,
0 %, 3 MiB, 24576 MiB,15.21 W,38.3,32.32,
0 %, 3 MiB, 24576 MiB,15.29 W,25.7,33.35,
0 %, 3 MiB, 24576 MiB,15.51 W,29.2,34.39,
0 %, 3 MiB, 24576 MiB,14.66 W,39.4,35.43,
0 %, 3 MiB, 24576 MiB,15.27 W,35.4,36.47,
0 %, 3 MiB, 24576 MiB,15.39 W,30.4,37.5,
0 %, 3 MiB, 24576 MiB,13.81 W,36.7,38.54,
0 %, 3 MiB, 24576 MiB,15.81 W,31.8,39.58,
0 %, 3 MiB, 24576 MiB,15.66 W,39.5,40.62,
0 %, 3 MiB, 24576 MiB,15.69 W,35.9,41.66,
0 %, 3 MiB, 24576 MiB,14.97 W,33.6,42.69,
0 %, 3 MiB, 24576 MiB,15.07 W,36.1,43.73,
0 %, 3 MiB, 24576 MiB,15.62 W,35.1,44.77,
0 %, 3 MiB, 24576 MiB,15.62 W,30.9,45.81,
0 %, 3 MiB, 24576 MiB,15.54 W,22.1,46.84,
0 %, 3 MiB, 24576 MiB,16.03 W,32.1,47.88,
0 %, 3 MiB, 24576 MiB,16.17 W,34.3,48.92,
0 %, 3 MiB, 24576 MiB,16.31 W,35.2,49.96,
0 %, 3 MiB, 24576 MiB,14.76 W,38.5,51.0,
0 %, 3 MiB, 24576 MiB,14.85 W,38.9,52.03,
0 %, 3 MiB, 24576 MiB,15.56 W,30.5,53.07,
0 %, 3 MiB, 24576 MiB,13.60 W,26.2,54.11,
0 %, 3 MiB, 24576 MiB,15.69 W,11.4,55.15,
0 %, 3 MiB, 24576 MiB,15.62 W,34.2,56.18,
0 %, 3 MiB, 24576 MiB,15.18 W,33.4,57.22,
0 %, 3 MiB, 24576 MiB,14.43 W,25.7,58.26,
0 %, 3 MiB, 24576 MiB,15.55 W,30.5,59.32,
0 %, 3 MiB, 24576 MiB,15.40 W,43.6,60.35,
0 %, 3 MiB, 24576 MiB,13.54 W,31.3,61.39,
0 %, 3 MiB, 24576 MiB,15.46 W,20.0,62.43,
0 %, 3 MiB, 24576 MiB,15.47 W,35.5,63.47,
0 %, 3 MiB, 24576 MiB,14.01 W,38.0,64.51,
0 %, 3 MiB, 24576 MiB,15.88 W,22.5,65.54,
0 %, 3 MiB, 24576 MiB,15.62 W,33.9,66.58,
0 %, 3 MiB, 24576 MiB,15.23 W,29.4,67.62,
0 %, 3 MiB, 24576 MiB,14.50 W,30.6,68.66,
0 %, 3 MiB, 24576 MiB,14.01 W,37.5,69.7,
0 %, 3 MiB, 24576 MiB,15.40 W,32.0,70.73,
0 %, 3 MiB, 24576 MiB,15.90 W,38.1,71.77,
0 %, 3 MiB, 24576 MiB,15.84 W,28.8,72.81,
0 %, 3 MiB, 24576 MiB,15.36 W,32.3,73.85,
0 %, 3 MiB, 24576 MiB,15.60 W,34.4,74.89,
0 %, 3 MiB, 24576 MiB,16.10 W,33.8,75.93,
0 %, 3 MiB, 24576 MiB,15.44 W,32.1,76.97,
