utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,15.15 W,36.8,1.07,0.8625,1970516510,
0 %, 3 MiB, 24576 MiB,15.61 W,23.3,2.1,
0 %, 3 MiB, 24576 MiB,15.87 W,27.3,3.14,
0 %, 3 MiB, 24576 MiB,15.80 W,28.6,4.17,
0 %, 3 MiB, 24576 MiB,15.65 W,34.5,5.21,
0 %, 3 MiB, 24576 MiB,15.56 W,17.6,6.24,
0 %, 3 MiB, 24576 MiB,15.20 W,27.0,7.27,
0 %, 3 MiB, 24576 MiB,14.05 W,31.8,8.31,
0 %, 3 MiB, 24576 MiB,15.63 W,29.3,9.34,
0 %, 3 MiB, 24576 MiB,15.79 W,29.1,10.38,
0 %, 3 MiB, 24576 MiB,15.75 W,20.1,11.41,
0 %, 3 MiB, 24576 MiB,15.53 W,32.8,12.47,
0 %, 3 MiB, 24576 MiB,15.69 W,27.2,13.5,
0 %, 3 MiB, 24576 MiB,15.11 W,26.4,14.54,
0 %, 3 MiB, 24576 MiB,15.28 W,36.3,15.57,
0 %, 3 MiB, 24576 MiB,15.79 W,20.6,16.6,
0 %, 3 MiB, 24576 MiB,15.81 W,31.3,17.64,
0 %, 3 MiB, 24576 MiB,15.35 W,34.2,18.67,
0 %, 3 MiB, 24576 MiB,15.55 W,26.9,19.71,
0 %, 3 MiB, 24576 MiB,15.65 W,30.0,20.74,
0 %, 3 MiB, 24576 MiB,15.26 W,34.2,21.79,
0 %, 3 MiB, 24576 MiB,15.16 W,28.1,22.82,
0 %, 3 MiB, 24576 MiB,15.65 W,30.8,23.86,
0 %, 3 MiB, 24576 MiB,15.82 W,25.3,24.9,
0 %, 3 MiB, 24576 MiB,15.97 W,23.2,25.93,
0 %, 3 MiB, 24576 MiB,15.93 W,35.2,26.98,
0 %, 3 MiB, 24576 MiB,15.31 W,34.7,28.01,
0 %, 3 MiB, 24576 MiB,14.94 W,26.6,29.05,
0 %, 3 MiB, 24576 MiB,15.57 W,27.7,30.08,
0 %, 3 MiB, 24576 MiB,15.61 W,34.2,31.12,
0 %, 3 MiB, 24576 MiB,15.66 W,32.3,32.15,
0 %, 3 MiB, 24576 MiB,15.68 W,28.4,33.18,
0 %, 3 MiB, 24576 MiB,15.69 W,31.6,34.22,
0 %, 3 MiB, 24576 MiB,15.89 W,20.7,35.25,
0 %, 3 MiB, 24576 MiB,15.60 W,33.2,36.29,
0 %, 3 MiB, 24576 MiB,14.45 W,32.8,37.32,
0 %, 3 MiB, 24576 MiB,15.58 W,28.0,38.36,
0 %, 3 MiB, 24576 MiB,15.41 W,25.8,39.39,
0 %, 3 MiB, 24576 MiB,15.55 W,29.2,40.43,
0 %, 3 MiB, 24576 MiB,15.63 W,34.3,41.47,
0 %, 3 MiB, 24576 MiB,15.25 W,29.1,42.51,
0 %, 3 MiB, 24576 MiB,14.39 W,36.1,43.54,
0 %, 3 MiB, 24576 MiB,15.49 W,9.5,44.58,
0 %, 3 MiB, 24576 MiB,15.83 W,20.4,45.62,
0 %, 3 MiB, 24576 MiB,15.64 W,28.2,46.66,
0 %, 3 MiB, 24576 MiB,15.66 W,34.0,47.69,
0 %, 3 MiB, 24576 MiB,15.60 W,23.4,48.73,
0 %, 3 MiB, 24576 MiB,15.43 W,29.5,49.76,
0 %, 3 MiB, 24576 MiB,13.64 W,34.0,50.8,
0 %, 3 MiB, 24576 MiB,15.63 W,33.0,51.83,
0 %, 3 MiB, 24576 MiB,15.19 W,27.8,52.87,
0 %, 3 MiB, 24576 MiB,15.69 W,29.4,53.9,
0 %, 3 MiB, 24576 MiB,16.17 W,38.6,54.93,
0 %, 3 MiB, 24576 MiB,15.75 W,25.6,55.97,
0 %, 3 MiB, 24576 MiB,15.80 W,30.9,57.0,
0 %, 3 MiB, 24576 MiB,15.53 W,29.6,58.04,
0 %, 3 MiB, 24576 MiB,15.62 W,36.9,59.08,
0 %, 3 MiB, 24576 MiB,15.67 W,29.4,60.11,
0 %, 3 MiB, 24576 MiB,15.47 W,28.9,61.15,
0 %, 3 MiB, 24576 MiB,15.10 W,36.8,62.19,
0 %, 3 MiB, 24576 MiB,15.63 W,27.7,63.22,
0 %, 3 MiB, 24576 MiB,15.83 W,36.2,64.26,
0 %, 3 MiB, 24576 MiB,15.09 W,30.9,65.29,
0 %, 3 MiB, 24576 MiB,15.98 W,25.9,66.33,
0 %, 3 MiB, 24576 MiB,15.66 W,27.5,67.36,
0 %, 3 MiB, 24576 MiB,15.46 W,30.9,68.39,
0 %, 3 MiB, 24576 MiB,15.70 W,35.2,69.43,
0 %, 3 MiB, 24576 MiB,15.64 W,36.2,70.46,
0 %, 3 MiB, 24576 MiB,15.79 W,33.1,71.5,
0 %, 3 MiB, 24576 MiB,14.86 W,36.1,72.53,
0 %, 3 MiB, 24576 MiB,14.94 W,28.7,73.57,
0 %, 3 MiB, 24576 MiB,15.43 W,24.8,74.6,
0 %, 3 MiB, 24576 MiB,14.90 W,32.3,75.64,
0 %, 3 MiB, 24576 MiB,15.50 W,43.0,76.68,
0 %, 3 MiB, 24576 MiB,15.77 W,28.9,77.71,
0 %, 3 MiB, 24576 MiB,15.63 W,34.3,78.74,
0 %, 3 MiB, 24576 MiB,13.10 W,30.1,79.78,
0 %, 3 MiB, 24576 MiB,15.38 W,29.8,80.81,
0 %, 3 MiB, 24576 MiB,13.80 W,30.1,81.85,
0 %, 3 MiB, 24576 MiB,15.41 W,19.1,82.88,
0 %, 3 MiB, 24576 MiB,15.88 W,32.3,83.92,
0 %, 3 MiB, 24576 MiB,15.90 W,34.7,84.95,
0 %, 3 MiB, 24576 MiB,15.68 W,34.7,85.98,
0 %, 3 MiB, 24576 MiB,15.60 W,37.9,87.02,
0 %, 3 MiB, 24576 MiB,13.83 W,29.1,88.05,
0 %, 3 MiB, 24576 MiB,15.69 W,22.6,89.09,
0 %, 3 MiB, 24576 MiB,14.98 W,30.0,90.12,
0 %, 3 MiB, 24576 MiB,16.30 W,8.1,91.15,
0 %, 3 MiB, 24576 MiB,16.29 W,7.1,92.19,
0 %, 3 MiB, 24576 MiB,16.21 W,20.1,93.22,
0 %, 3 MiB, 24576 MiB,15.35 W,27.3,94.26,
0 %, 3 MiB, 24576 MiB,15.56 W,28.2,95.29,
0 %, 3 MiB, 24576 MiB,13.50 W,38.8,96.33,
0 %, 3 MiB, 24576 MiB,15.80 W,33.1,97.36,
0 %, 3 MiB, 24576 MiB,15.18 W,30.8,98.39,
0 %, 3 MiB, 24576 MiB,15.04 W,28.7,99.43,
0 %, 3 MiB, 24576 MiB,14.04 W,35.5,100.46,
0 %, 3 MiB, 24576 MiB,15.57 W,31.9,101.5,
0 %, 3 MiB, 24576 MiB,15.10 W,31.0,102.53,
0 %, 3 MiB, 24576 MiB,15.83 W,25.4,103.57,
0 %, 3 MiB, 24576 MiB,14.17 W,30.1,104.6,
0 %, 3 MiB, 24576 MiB,15.75 W,33.6,105.63,
0 %, 3 MiB, 24576 MiB,15.55 W,33.2,106.67,
0 %, 3 MiB, 24576 MiB,15.65 W,33.0,107.7,
0 %, 3 MiB, 24576 MiB,15.52 W,35.3,108.73,
0 %, 3 MiB, 24576 MiB,13.49 W,34.7,109.77,
0 %, 3 MiB, 24576 MiB,14.03 W,27.4,110.8,
0 %, 3 MiB, 24576 MiB,13.84 W,31.9,111.84,
0 %, 3 MiB, 24576 MiB,15.36 W,32.0,112.87,
0 %, 3 MiB, 24576 MiB,15.40 W,31.0,113.91,
0 %, 3 MiB, 24576 MiB,15.58 W,34.6,114.95,
0 %, 3 MiB, 24576 MiB,15.54 W,28.1,115.98,
0 %, 3 MiB, 24576 MiB,15.16 W,33.9,117.02,
0 %, 3 MiB, 24576 MiB,15.57 W,28.3,118.06,
0 %, 3 MiB, 24576 MiB,15.54 W,32.8,119.09,
0 %, 3 MiB, 24576 MiB,13.74 W,31.4,120.13,
0 %, 3 MiB, 24576 MiB,15.55 W,33.4,121.16,
0 %, 3 MiB, 24576 MiB,15.46 W,28.8,122.2,
0 %, 3 MiB, 24576 MiB,16.45 W,33.1,123.23,
0 %, 3 MiB, 24576 MiB,16.34 W,33.9,124.27,
0 %, 3 MiB, 24576 MiB,15.57 W,37.7,125.3,
0 %, 3 MiB, 24576 MiB,15.79 W,25.5,126.34,
0 %, 3 MiB, 24576 MiB,15.38 W,28.2,127.37,
0 %, 3 MiB, 24576 MiB,15.64 W,27.6,128.41,
0 %, 3 MiB, 24576 MiB,15.87 W,37.5,129.45,
0 %, 3 MiB, 24576 MiB,15.65 W,32.3,130.48,
0 %, 3 MiB, 24576 MiB,15.91 W,33.0,131.52,
0 %, 3 MiB, 24576 MiB,15.40 W,29.8,132.55,
0 %, 3 MiB, 24576 MiB,14.77 W,24.2,133.58,
0 %, 3 MiB, 24576 MiB,15.56 W,36.8,134.62,
0 %, 3 MiB, 24576 MiB,15.74 W,21.5,135.65,
0 %, 3 MiB, 24576 MiB,15.66 W,7.4,136.69,
0 %, 3 MiB, 24576 MiB,15.58 W,19.0,137.72,
0 %, 3 MiB, 24576 MiB,15.53 W,28.1,138.76,
0 %, 3 MiB, 24576 MiB,15.01 W,37.9,139.79,
0 %, 3 MiB, 24576 MiB,13.93 W,30.0,140.83,
0 %, 3 MiB, 24576 MiB,15.85 W,30.5,141.87,
0 %, 3 MiB, 24576 MiB,14.66 W,31.5,142.9,
0 %, 3 MiB, 24576 MiB,15.79 W,33.2,143.93,
0 %, 3 MiB, 24576 MiB,15.05 W,29.8,144.97,
0 %, 3 MiB, 24576 MiB,15.68 W,19.3,146.0,
0 %, 3 MiB, 24576 MiB,15.50 W,32.9,147.04,
0 %, 3 MiB, 24576 MiB,13.64 W,30.3,148.07,
0 %, 3 MiB, 24576 MiB,15.29 W,31.8,149.1,
0 %, 3 MiB, 24576 MiB,15.76 W,34.0,150.14,
0 %, 3 MiB, 24576 MiB,15.15 W,33.6,151.17,
0 %, 3 MiB, 24576 MiB,15.41 W,32.9,152.21,
0 %, 3 MiB, 24576 MiB,15.59 W,29.5,153.24,
0 %, 3 MiB, 24576 MiB,16.26 W,28.7,154.28,
0 %, 3 MiB, 24576 MiB,16.03 W,30.2,155.31,
0 %, 3 MiB, 24576 MiB,14.52 W,33.4,156.35,
0 %, 3 MiB, 24576 MiB,16.35 W,33.5,157.38,
0 %, 3 MiB, 24576 MiB,15.69 W,33.8,158.42,
0 %, 3 MiB, 24576 MiB,15.20 W,32.7,159.45,
0 %, 3 MiB, 24576 MiB,15.57 W,26.4,160.49,
0 %, 3 MiB, 24576 MiB,15.88 W,33.1,161.52,
0 %, 3 MiB, 24576 MiB,14.61 W,27.9,162.55,
0 %, 3 MiB, 24576 MiB,15.83 W,17.2,163.59,
0 %, 3 MiB, 24576 MiB,15.70 W,20.6,164.62,
0 %, 3 MiB, 24576 MiB,15.70 W,33.6,165.66,
0 %, 3 MiB, 24576 MiB,15.31 W,39.7,166.69,
0 %, 3 MiB, 24576 MiB,15.60 W,29.9,167.73,
0 %, 3 MiB, 24576 MiB,15.80 W,27.2,168.77,
0 %, 3 MiB, 24576 MiB,15.15 W,37.7,169.8,
0 %, 3 MiB, 24576 MiB,15.23 W,24.2,170.84,
0 %, 3 MiB, 24576 MiB,15.60 W,29.8,171.87,
0 %, 3 MiB, 24576 MiB,15.55 W,32.4,172.9,
0 %, 3 MiB, 24576 MiB,15.69 W,20.3,173.94,
0 %, 3 MiB, 24576 MiB,15.69 W,33.6,174.97,
0 %, 3 MiB, 24576 MiB,15.45 W,36.9,176.01,
0 %, 3 MiB, 24576 MiB,14.49 W,29.5,177.06,
0 %, 3 MiB, 24576 MiB,15.62 W,24.5,178.1,
0 %, 3 MiB, 24576 MiB,15.86 W,30.5,179.14,
0 %, 3 MiB, 24576 MiB,15.51 W,29.7,180.18,
0 %, 3 MiB, 24576 MiB,15.40 W,32.4,181.21,
0 %, 3 MiB, 24576 MiB,13.91 W,36.4,182.24,
0 %, 3 MiB, 24576 MiB,15.62 W,21.2,183.28,
0 %, 3 MiB, 24576 MiB,15.75 W,20.7,184.31,
0 %, 3 MiB, 24576 MiB,15.67 W,30.2,185.35,
0 %, 3 MiB, 24576 MiB,15.74 W,25.6,186.38,
0 %, 3 MiB, 24576 MiB,15.97 W,26.1,187.42,
0 %, 3 MiB, 24576 MiB,16.16 W,29.3,188.45,
0 %, 3 MiB, 24576 MiB,15.57 W,26.9,189.48,
0 %, 3 MiB, 24576 MiB,15.62 W,32.0,190.52,
0 %, 3 MiB, 24576 MiB,14.47 W,32.2,191.55,
0 %, 3 MiB, 24576 MiB,15.64 W,24.8,192.59,
0 %, 3 MiB, 24576 MiB,15.65 W,34.2,193.62,
0 %, 3 MiB, 24576 MiB,15.62 W,37.5,194.66,
0 %, 3 MiB, 24576 MiB,15.56 W,29.1,195.69,
0 %, 3 MiB, 24576 MiB,15.53 W,33.9,196.73,
